RoundTime,RoundTimeLeft,IsBombPlanted,CTEquipmentValue,TEquipmentValue,CTPlayersAlive,TPlayersAlive,CTNumHelmets,TNumHelmets,CTNumArmors,TNumArmors,CTNumDefuseKits,CTNumSmokes,TNumSmokes,CTNumMollies,TNumMollies,CTNumHEGrenades,TNumHEGrenades,CTNumFlashes,TNumFlashes,winner,CTScore,TScore
0,115,0,4750,4900,5,5,0,0,3,3,0,1,2,0,0,2,2,2,2,0,0,1
0,115,0,9700,18600,5,5,1,5,5,5,0,4,5,0,4,4,2,3,5,0,0,2
0,115,0,2000,22100,5,5,0,5,0,5,0,3,5,0,2,0,4,0,3,0,0,3
0,115,0,25700,25500,5,5,4,4,5,5,0,5,4,3,4,3,3,4,4,0,0,4
0,115,0,26300,24000,5,5,4,5,5,5,3,5,5,4,4,4,3,5,4,0,0,5
0,115,0,10900,23150,5,5,1,5,5,5,0,5,5,2,3,4,2,1,5,1,1,5
0,115,0,26650,1500,5,5,5,0,5,0,2,5,0,5,0,4,0,5,0,1,2,5
0,115,0,27550,21450,5,5,5,5,5,5,4,5,4,5,1,4,1,4,5,1,3,5
0,115,0,27550,4150,5,5,5,0,5,1,4,5,0,5,0,5,0,5,0,1,4,5
0,115,0,29200,24900,5,5,5,5,5,5,4,4,5,4,5,3,3,5,3,0,4,6
0,115,0,26850,23800,5,5,4,5,5,5,2,5,5,4,5,4,3,4,3,1,5,6
0,115,0,28100,5700,5,5,5,0,5,2,3,5,2,4,0,4,1,5,1,1,6,6
0,115,0,28600,24400,5,5,5,5,5,5,4,5,5,4,3,4,3,5,4,1,7,6
0,115,0,4300,4150,5,5,0,0,4,3,1,1,0,0,1,0,0,0,1,1,7,9
0,115,0,31650,9850,5,5,5,3,5,4,5,4,4,6,1,5,0,5,2,1,8,6
0,115,0,19500,1500,5,5,5,0,5,0,1,3,0,3,0,3,0,4,0,1,8,9
0,115,0,23100,18600,5,5,5,4,5,4,3,5,4,5,2,4,1,4,4,0,8,10
0,115,0,29950,21500,5,5,5,5,5,5,4,5,5,2,5,4,2,5,4,0,8,11
0,115,0,1600,22850,5,5,0,5,0,5,0,0,4,0,4,0,3,0,4,0,8,12
0,115,0,31450,25150,5,5,5,4,5,5,5,5,4,4,3,4,1,5,4,1,9,6
0,115,0,22800,25700,5,5,0,5,5,5,0,5,5,2,5,3,1,2,5,1,9,12
0,115,0,23650,20450,5,5,3,5,5,5,1,5,4,4,5,4,2,3,4,1,10,12
0,115,0,26500,4200,5,5,5,0,5,2,1,5,2,4,0,4,0,3,1,1,11,12
0,115,0,27800,21500,5,5,5,5,5,5,2,5,5,5,2,4,1,5,5,1,12,12
0,115,0,28300,21100,5,5,5,5,5,5,2,5,4,5,4,5,1,5,4,1,13,12
0,115,0,28900,10350,5,5,5,1,5,4,4,5,3,5,2,5,1,5,3,1,14,12
0,115,0,29300,23050,5,5,5,5,5,5,5,3,5,4,4,4,1,5,5,1,15,12
0,115,0,29500,17150,5,5,5,4,5,5,5,5,4,5,2,5,1,5,3,0,15,13
0,115,0,30850,22600,5,5,5,5,5,5,3,5,5,5,5,5,2,5,5,1,16,13
11,104,0,31350,25250,5,5,5,4,5,5,5,3,4,3,3,2,1,4,2,1,9,6
11,104,0,28900,12450,5,5,5,2,5,5,4,3,4,5,2,3,1,4,3,1,14,12
12,103,0,26500,4800,5,5,5,0,5,2,1,4,2,2,0,0,0,2,1,1,11,12
13,102,0,23650,20950,5,5,3,5,5,5,1,4,3,1,3,1,1,2,3,1,10,12
13,102,0,29200,23050,5,5,5,5,5,5,5,1,3,0,1,2,0,5,2,1,15,12
14,101,0,23650,20950,5,4,3,4,5,4,1,4,3,0,2,1,0,2,3,1,10,12
14,101,0,26500,4800,5,4,5,0,5,2,1,3,2,2,0,0,0,2,1,1,11,12
15,100,0,23650,20950,4,4,2,4,4,4,1,3,3,0,2,1,0,2,3,1,10,12
16,99,0,28050,21850,5,5,5,5,5,5,4,4,1,2,1,1,2,3,3,1,3,5
16,99,0,23650,20950,3,3,2,3,3,3,1,2,3,0,2,1,0,2,2,1,10,12
16,99,0,26500,4800,5,3,5,0,5,1,1,3,2,2,0,0,0,2,1,1,11,12
17,98,0,26500,4800,5,1,5,0,5,0,1,3,0,1,0,0,0,2,0,1,11,12
18,97,0,28050,21850,5,4,5,4,5,4,4,4,0,2,1,1,1,2,3,1,3,5
19,96,0,27000,25500,5,5,4,4,5,5,2,3,3,2,1,2,1,5,2,0,0,4
19,96,0,28050,21850,5,3,5,3,5,3,4,4,0,2,0,1,0,2,2,1,3,5
21,94,0,11100,22950,5,5,1,5,5,5,0,3,5,2,1,1,0,1,5,1,1,5
21,94,0,29500,17650,5,5,5,4,5,5,5,3,3,1,1,3,0,4,1,0,15,13
22,93,0,28000,22850,4,5,4,5,4,5,4,2,3,1,1,1,0,4,2,1,15,12
22,93,0,29500,17650,4,4,4,3,4,4,4,2,3,1,1,3,0,3,1,0,15,13
23,92,0,28600,22850,4,4,4,4,4,4,4,2,3,2,1,1,0,3,2,1,15,12
24,91,0,28600,22850,4,3,4,3,4,3,4,2,3,2,1,1,0,3,2,1,15,12
26,89,0,28050,21850,4,3,4,3,4,3,3,1,0,0,0,1,0,2,1,1,3,5
29,86,0,9700,18600,5,5,1,5,5,5,0,3,4,0,1,0,0,2,2,0,0,2
30,85,0,23100,25400,5,5,0,5,5,5,0,2,2,1,2,1,0,1,2,1,9,12
32,83,0,4300,4350,5,5,0,0,4,3,1,1,1,0,1,0,0,0,3,1,7,9
34,81,0,11100,22950,4,4,1,4,4,4,0,2,3,1,0,1,0,0,1,1,1,5
36,79,0,9700,17700,4,5,1,5,4,5,0,2,2,0,0,0,0,1,2,0,0,2
36,79,0,29500,18250,3,4,3,3,3,4,3,1,3,1,1,2,0,3,1,0,15,13
38,77,0,9700,17700,4,4,1,4,4,4,0,2,2,0,0,0,0,1,2,0,0,2
38,77,0,24900,20950,3,2,2,2,3,2,1,1,2,1,1,1,0,2,1,1,10,12
38,77,0,28300,19800,5,5,5,5,5,5,2,2,3,1,2,0,0,3,1,1,13,12
39,76,0,28300,19800,5,4,5,4,5,4,2,2,3,1,2,0,0,3,0,1,13,12
41,74,0,28100,5200,5,5,5,0,5,2,3,3,0,1,0,1,0,4,0,1,6,6
41,74,0,4300,4350,4,5,0,0,3,3,1,1,0,0,1,0,0,0,2,1,7,9
42,73,0,27000,25100,4,5,3,4,4,5,1,2,2,1,0,2,1,4,1,0,0,4
42,73,0,28100,5200,5,4,5,0,5,1,3,2,0,1,0,1,0,4,0,1,6,6
43,72,0,26050,21850,4,2,4,2,4,2,3,2,0,0,0,1,0,1,0,1,3,5
43,72,0,27400,19800,4,4,4,4,4,4,2,2,3,1,2,0,0,3,0,1,13,12
44,71,0,9700,17700,3,3,1,3,3,3,0,1,1,0,0,0,0,0,2,0,0,2
44,71,0,27000,25100,4,4,3,4,4,4,1,2,2,1,0,2,1,3,1,0,0,4
44,71,0,28150,23600,5,5,4,5,5,5,3,2,2,3,2,3,2,4,2,0,0,5
44,71,0,26050,21850,4,1,4,1,4,1,3,2,0,0,0,1,0,1,0,1,3,5
44,71,0,28100,5200,5,3,5,0,5,1,3,1,0,1,0,1,0,4,0,1,6,6
45,70,0,9700,17700,2,3,1,3,2,3,0,0,1,0,0,0,0,0,2,0,0,2
45,70,0,28100,5200,5,2,5,0,5,0,3,1,0,1,0,1,0,4,0,1,6,6
45,70,0,4300,4350,3,5,0,0,2,3,1,1,0,0,1,0,0,0,2,1,7,9
45,70,0,23100,24600,5,4,0,4,5,4,0,2,2,1,2,1,0,0,1,1,9,12
46,69,0,27000,25100,3,4,3,4,3,4,1,1,2,0,0,1,1,2,1,0,0,4
46,69,0,28150,23600,5,4,4,4,5,4,3,2,1,3,2,3,2,4,1,0,0,5
46,69,0,28100,5200,5,1,5,0,5,0,3,1,0,1,0,1,0,4,0,1,6,6
46,69,0,4300,4350,3,4,0,0,2,2,1,1,0,0,1,0,0,0,1,1,7,9
47,68,0,28400,14950,5,3,5,1,5,3,4,1,3,2,1,0,0,4,1,1,14,12
48,67,0,29650,21500,5,5,5,5,5,5,4,2,3,0,0,0,0,2,1,0,8,11
49,66,0,28150,23600,3,4,3,4,3,4,2,1,1,2,1,2,2,2,1,0,0,5
50,65,0,28400,14950,4,2,4,0,4,2,4,0,2,1,1,0,0,4,0,1,14,12
51,64,0,1700,23150,5,5,0,5,0,5,0,0,5,0,2,0,2,0,3,0,8,12
51,64,0,28400,14950,4,1,4,0,4,1,4,0,1,1,0,0,0,4,0,1,14,12
53,62,0,4750,4600,5,5,0,0,3,3,0,1,0,0,0,1,0,0,0,0,0,1
54,61,0,26650,1500,5,5,5,0,5,0,2,2,0,2,0,1,0,3,0,1,2,5
54,61,0,23100,24600,3,3,0,3,3,3,0,1,1,0,1,1,0,0,0,1,9,12
55,60,0,4750,4600,4,5,0,0,2,3,0,1,0,0,0,1,0,0,0,0,0,1
55,60,0,11100,22950,3,4,1,4,3,4,0,1,1,0,0,0,0,0,1,1,1,5
55,60,0,28600,24400,5,5,5,5,5,5,4,2,3,0,1,1,1,4,1,1,7,6
55,60,0,23100,24600,3,2,0,2,3,2,0,1,0,0,1,1,0,0,0,1,9,12
56,59,0,2900,21400,5,5,0,5,0,5,0,1,5,0,0,0,1,0,3,0,0,3
56,59,0,11100,22950,3,3,1,3,3,3,0,1,1,0,0,0,0,0,1,1,1,5
56,59,0,26650,1500,5,4,5,0,5,0,2,2,0,2,0,1,0,3,0,1,2,5
56,59,0,28600,24400,5,3,5,3,5,3,4,2,1,0,1,1,1,4,1,1,7,6
56,59,0,23100,24600,3,1,0,1,3,1,0,1,0,0,1,1,0,0,0,1,9,12
56,59,0,27800,20900,5,5,5,5,5,5,2,1,3,0,0,0,0,2,2,1,12,12
57,58,0,4750,4600,4,4,0,0,2,2,0,1,0,0,0,1,0,0,0,0,0,1
57,58,0,11100,22950,2,3,1,3,2,3,0,1,1,0,0,0,0,0,1,1,1,5
57,58,0,26650,1500,5,2,5,0,5,0,2,2,0,2,0,1,0,3,0,1,2,5
57,58,0,4300,4150,3,3,0,0,2,1,1,0,0,0,1,0,0,0,0,1,7,9
57,58,0,1700,23150,5,4,0,4,0,4,0,0,3,0,0,0,1,0,2,0,8,12
57,58,0,27800,20900,5,4,5,4,5,4,2,1,2,0,0,0,0,2,2,1,12,12
58,40,1,27650,23600,3,3,3,3,3,3,2,1,0,1,0,2,1,2,1,0,0,5
58,57,0,12600,22950,2,2,1,2,2,2,0,1,0,0,0,0,0,0,0,1,1,5
58,57,0,26650,1500,4,2,4,0,4,0,2,1,0,1,0,1,0,2,0,1,2,5
59,56,0,4750,4600,3,4,0,0,2,2,0,1,0,0,0,1,0,1,0,0,0,1
59,40,1,29500,20450,2,4,2,3,2,4,2,1,0,1,1,0,0,2,1,0,15,13
60,40,1,4750,4600,2,4,0,0,1,2,0,1,0,0,0,1,0,1,0,0,0,1
60,55,0,2900,21400,5,4,0,4,0,4,0,0,3,0,0,0,1,0,2,0,0,3
60,55,0,12600,22950,2,1,1,1,2,1,0,1,0,0,0,0,0,0,0,1,1,5
60,55,0,26650,1500,4,1,4,0,4,0,2,1,0,1,0,1,0,2,0,1,2,5
60,55,0,4300,4150,3,2,0,0,2,0,1,0,0,0,0,0,0,0,0,1,7,9
60,55,0,30950,10500,5,5,5,3,5,5,5,2,0,1,0,0,0,3,0,1,8,6
61,54,0,30950,10500,5,4,5,3,5,4,5,2,0,1,0,0,0,3,0,1,8,6
62,53,0,4300,4150,3,1,0,0,2,0,1,0,0,0,0,0,0,0,0,1,7,9
64,36,1,4650,4550,2,4,0,0,1,2,0,1,0,0,0,1,0,2,0,0,0,1
64,51,0,5600,21100,5,3,0,3,0,3,0,1,2,0,0,0,0,0,1,0,0,3
68,47,0,28600,23900,4,3,4,3,4,3,3,2,1,0,1,1,1,2,1,1,7,6
