RoundTime,RoundTimeLeft,IsBombPlanted,CTEquipmentValue,TEquipmentValue,CTPlayersAlive,TPlayersAlive,CTPlayersTotHealth,TPlayersTotHealth,CTNumHelmets,TNumHelmets,CTNumArmors,TNumArmors,CTNumDefuseKits,CTNumSmokes,TNumSmokes,CTNumMollies,TNumMollies,CTNumHEGrenades,TNumHEGrenades,CTNumFlashes,TNumFlashes,CTScore,TScore
0,115,0,30650,20800,5,5,500,500,5,5,5,5,4,5,4,5,3,5,0,5,3,14,12
65,50,0,29850,22900,5,2,420,117,4,2,5,2,3,3,0,1,0,0,0,2,1,12,12
0,115,0,30750,26000,5,5,500,500,3,5,5,5,3,5,5,5,5,4,0,5,5,2,6
32,83,0,9950,25300,5,5,466,482,1,5,5,5,0,2,3,0,1,0,0,0,3,9,15
0,115,0,34500,8150,5,5,500,500,5,1,5,4,5,5,5,4,0,4,0,5,4,9,16
95,40,1,30150,24100,2,2,159,200,2,2,2,2,2,2,0,0,0,0,1,1,1,10,3
101,14,0,29500,26050,5,5,408,478,4,5,5,5,4,0,1,0,0,0,1,2,0,11,11
88,27,0,20750,23000,4,2,400,187,1,2,3,2,0,0,0,1,0,0,0,2,1,10,15
108,23,1,21200,13100,2,3,200,128,2,3,2,3,0,1,0,0,0,0,0,0,0,1,1
19,96,0,32150,23900,5,3,500,290,5,3,5,3,5,2,0,1,0,1,2,5,1,10,2
18,97,0,4250,4200,4,4,378,385,0,0,4,3,0,0,0,0,0,0,0,0,0,1,0
33,82,0,30050,18950,3,5,213,448,3,1,3,4,3,3,3,2,0,2,0,1,1,3,8
14,101,0,28150,27350,5,5,446,473,3,5,5,5,1,3,2,1,2,3,1,3,4,9,12
0,115,0,4400,4400,5,5,500,500,0,0,4,3,1,0,2,0,1,0,0,1,1,0,1
25,90,0,30500,8500,5,4,445,400,4,1,5,3,3,3,1,0,0,1,0,2,0,6,3
91,24,0,28500,22500,4,3,400,180,3,3,4,3,3,0,0,0,0,0,0,2,0,7,7
29,86,0,4700,26750,3,5,141,486,0,5,1,5,0,1,4,0,0,0,1,0,2,4,7
32,83,0,9350,17900,4,3,245,196,1,3,2,3,0,1,0,0,0,0,0,0,1,1,1
36,79,0,26350,26250,4,5,369,322,1,5,4,5,2,1,2,2,2,0,1,1,4,4,7
60,55,0,9050,27250,5,4,396,389,0,4,2,4,0,0,4,0,3,0,1,0,4,4,2
132,12,1,25200,21750,1,1,97,14,0,1,1,1,0,0,0,0,0,0,0,1,0,0,4
79,36,0,21350,22500,4,4,347,271,4,4,4,4,1,1,0,0,0,1,0,1,0,3,0
25,90,0,33450,25600,5,5,494,389,5,5,5,5,5,3,2,1,5,0,0,3,4,17,17
56,29,1,25200,22050,4,3,340,208,1,3,4,3,0,1,0,2,0,0,0,1,0,10,9
15,100,0,19600,1200,5,4,452,143,5,0,5,0,0,3,0,0,0,1,0,2,0,9,8
56,59,0,13200,26250,3,5,229,500,0,5,1,5,1,1,2,1,1,0,2,0,3,1,9
81,34,0,30050,25550,5,2,397,86,5,2,5,2,3,1,0,1,0,3,1,3,2,11,11
91,24,0,29000,25500,3,2,197,190,3,2,3,2,2,1,1,1,0,0,1,0,1,11,2
81,34,0,29050,13150,3,2,300,46,1,1,3,1,1,3,0,0,0,2,0,2,1,13,8
94,21,0,30250,22800,4,3,313,300,4,3,4,3,4,0,0,0,1,0,0,1,1,15,9
94,21,0,27000,26250,4,2,336,161,2,2,4,2,1,0,1,0,0,0,0,1,1,11,10
25,90,0,29850,5400,5,4,488,390,5,1,5,2,4,4,1,1,0,3,0,4,1,5,2
63,52,0,28750,25550,5,1,473,10,5,1,5,1,2,1,0,0,0,1,0,0,0,7,12
35,80,0,28300,22650,5,4,414,394,5,3,5,4,4,2,3,1,2,0,0,2,3,8,13
