RoundTime,RoundTimeLeft,IsBombPlanted,CTEquipmentValue,TEquipmentValue,CTPlayersAlive,TPlayersAlive,CTPlayersTotHealth,TPlayersTotHealth,CTNumHelmets,TNumHelmets,CTNumArmors,TNumArmors,CTNumDefuseKits,CTNumSmokes,TNumSmokes,CTNumMollies,TNumMollies,CTNumHEGrenades,TNumHEGrenades,CTNumFlashes,TNumFlashes,CTScore,TScore
53,62,0,26950,27250,5,5,413,419,3,5,5,5,0,0,3,0,0,0,1,4,3,7,8
0,115,0,30200,25050,5,5,500,500,4,5,5,5,3,5,4,5,2,4,0,3,3,7,13
25,90,0,24050,24800,5,2,454,200,1,2,5,2,2,3,0,0,1,0,0,3,0,2,4
82,33,0,30150,23200,3,4,294,352,3,4,3,4,3,1,0,1,1,1,0,1,1,7,6
110,37,1,28450,21850,3,3,209,221,2,2,3,3,3,0,0,0,0,0,0,1,1,2,4
25,90,0,26900,22900,5,4,493,363,5,4,5,4,1,3,2,1,2,1,1,2,4,6,13
50,65,0,31150,22700,4,1,319,34,3,1,4,1,1,3,1,1,0,0,0,2,0,12,14
45,70,0,1500,27650,5,5,500,483,0,5,0,5,0,1,3,0,1,0,0,0,5,4,2
51,40,1,22800,25800,2,5,200,394,1,5,2,5,0,2,2,1,2,0,1,2,4,1,4
30,85,0,20900,16200,3,1,300,12,3,1,3,1,1,2,1,0,0,1,0,1,0,2,0
21,94,0,31050,7200,4,5,350,437,4,2,4,4,4,3,1,1,1,2,0,3,0,9,0
47,68,0,30750,22250,5,4,392,258,5,4,5,4,5,3,1,0,2,1,0,4,0,10,3
111,40,1,29700,23850,1,4,100,355,1,4,1,4,1,1,1,0,0,0,0,1,1,8,4
0,115,0,34400,26400,5,5,500,500,5,4,5,5,5,5,5,5,4,5,1,5,5,10,5
24,37,1,28800,2800,5,2,458,126,5,0,5,0,4,4,0,2,0,2,0,3,0,6,15
26,89,0,27300,9300,5,4,412,341,3,2,5,4,2,4,0,1,0,1,0,3,1,9,11
0,115,0,32450,19250,5,5,500,500,5,4,5,5,5,5,3,5,1,5,0,5,3,15,15
38,77,0,30550,19200,3,4,209,347,3,3,3,4,1,1,1,0,0,1,0,1,2,14,7
0,115,0,10600,23600,5,5,500,500,1,5,4,5,0,4,5,0,4,1,1,0,5,2,1
108,-1,1,10350,19300,1,5,100,360,1,5,1,5,0,0,0,0,1,0,0,0,2,4,5
52,63,0,10850,19150,5,5,390,380,3,5,4,5,0,1,2,0,1,0,0,1,1,9,8
18,97,0,31350,19300,5,5,489,476,5,5,5,5,5,4,2,1,1,1,0,5,4,8,4
66,49,0,28250,25950,5,5,412,391,4,5,5,5,4,3,1,1,1,1,1,5,4,1,9
55,60,0,26300,26750,4,3,400,297,3,3,4,3,2,2,1,1,1,1,1,2,2,4,3
87,38,1,21800,26350,3,2,209,76,0,2,3,2,0,1,0,1,0,0,0,0,0,8,7
0,115,0,21050,15400,5,5,500,500,5,5,5,5,0,4,3,2,2,4,0,2,2,1,1
94,40,1,22350,17250,2,5,200,376,2,4,2,5,1,0,0,0,0,0,0,0,1,1,1
100,36,1,27300,25950,3,3,248,126,2,3,3,3,2,1,0,0,0,0,0,1,0,15,15
0,115,0,31950,25000,5,5,500,500,5,5,5,5,5,5,5,5,5,4,0,5,5,12,16
95,0,1,4200,4050,1,3,10,242,0,0,0,2,0,0,0,0,0,0,0,1,0,6,10
