RoundTime,RoundTimeLeft,IsBombPlanted,CTEquipmentValue,TEquipmentValue,CTPlayersAlive,TPlayersAlive,CTPlayersTotHealth,TPlayersTotHealth,CTNumHelmets,TNumHelmets,CTNumArmors,TNumArmors,CTNumDefuseKits,CTNumSmokes,TNumSmokes,CTNumMollies,TNumMollies,CTNumHEGrenades,TNumHEGrenades,CTNumFlashes,TNumFlashes,CTScore,TScore
96,19,0,30650,23800,4,5,346,436,4,5,4,5,4,0,0,0,0,0,0,0,1,14,14
35,80,0,28750,23900,5,4,430,374,4,4,5,4,2,3,0,1,2,1,1,2,3,9,9
62,40,1,15200,25750,3,3,217,236,0,3,3,3,0,0,0,0,1,0,2,0,0,6,14
60,55,0,30250,6100,4,2,390,137,4,0,4,2,3,2,0,3,0,0,0,2,0,8,1
34,81,0,7250,25000,4,5,384,427,1,5,2,5,0,1,2,0,0,0,1,0,4,4,6
69,40,1,4750,25700,3,4,300,400,0,4,2,4,0,0,1,0,0,0,0,0,1,9,13
66,49,0,30750,5650,4,1,400,18,4,0,4,0,4,1,0,0,0,1,0,1,0,5,2
115,28,1,28500,24750,3,3,269,242,2,3,3,3,2,2,2,0,1,1,1,2,1,6,2
65,50,0,26350,24500,5,4,446,399,2,4,4,4,1,1,1,0,1,1,0,2,4,8,13
41,40,1,4050,4450,5,3,411,252,0,0,3,2,1,1,0,0,0,0,0,0,0,8,8
0,115,0,30750,10650,5,5,500,500,5,2,5,4,4,5,4,5,2,4,0,5,3,7,4
35,80,0,29450,27750,4,4,312,222,2,4,4,4,3,2,0,0,2,0,1,3,3,1,8
81,34,0,22250,21000,2,2,200,187,2,2,2,2,0,0,2,0,0,0,0,0,2,5,13
98,25,1,31050,22400,4,4,316,267,4,4,4,4,3,0,0,0,0,0,0,2,0,15,12
0,115,0,26950,25650,5,5,500,500,0,5,5,5,1,5,4,4,3,5,3,5,4,12,8
27,40,1,4350,4450,4,4,400,295,0,0,3,2,1,1,0,0,0,0,0,0,1,5,11
113,38,1,27900,24100,3,3,141,187,3,3,3,3,1,0,0,0,0,0,0,0,3,4,0
46,69,0,21400,27150,4,4,400,307,0,4,4,4,0,3,2,0,2,0,1,2,2,5,6
107,8,0,4450,4300,1,1,35,69,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
28,87,0,17400,22500,4,3,319,300,2,3,4,3,0,1,1,0,2,0,0,1,2,4,15
125,19,1,29800,24500,1,1,19,74,0,1,1,1,1,0,0,0,0,0,0,0,0,10,4
20,95,0,24600,26750,5,4,419,311,0,4,5,4,0,2,3,0,2,0,0,2,4,13,13
14,101,0,31350,25950,5,5,500,465,5,5,5,5,5,4,2,0,4,2,0,5,2,16,18
104,11,0,28050,23500,1,3,53,163,0,3,1,3,0,0,0,0,0,1,1,1,0,4,15
51,64,0,31350,21500,3,2,274,200,3,2,3,2,3,2,0,1,0,0,0,1,1,10,13
0,115,0,33050,25950,5,5,500,500,5,5,5,5,5,5,5,5,4,5,1,5,4,11,4
27,40,1,4350,4400,4,4,400,317,0,0,2,2,1,1,1,0,0,0,0,1,1,0,1
0,115,0,29400,23900,5,5,500,500,4,5,5,5,3,5,5,5,3,5,1,5,3,6,2
83,32,0,24200,22100,3,5,300,432,3,5,3,5,3,1,1,0,0,1,0,3,1,2,1
62,5,1,4300,3600,2,2,121,139,0,0,1,1,1,0,0,0,0,0,0,0,0,8,8
17,98,0,30950,12400,5,3,500,294,5,3,5,3,4,3,1,0,1,2,0,2,1,9,2
21,94,0,32100,8250,5,3,436,212,5,2,5,3,4,5,3,2,0,2,0,3,0,6,0
30,85,0,11750,19250,4,5,334,456,1,4,3,5,1,1,3,0,1,0,1,1,3,6,11
22,93,0,29850,5450,5,5,452,500,5,0,5,3,2,2,1,1,0,2,0,4,0,5,1
31,84,0,2600,26750,1,5,100,456,0,5,0,5,0,0,4,0,2,0,1,0,2,1,5
19,96,0,8150,25850,5,5,500,500,0,5,3,5,0,0,2,0,2,0,0,0,4,10,11
62,53,0,26000,26750,2,4,192,338,1,4,2,4,0,0,3,1,1,1,1,1,1,9,13
58,40,1,6400,27650,2,3,200,259,1,3,2,3,0,0,0,0,0,0,0,0,2,9,11
53,62,0,31350,20550,5,3,428,258,5,3,5,3,3,1,0,1,1,2,0,3,0,9,2
134,8,1,27650,26650,2,1,200,70,0,1,2,1,0,0,0,0,0,0,0,0,1,6,3
15,100,0,30350,27150,5,5,420,401,5,5,5,5,3,4,4,2,3,1,1,4,4,11,12
