RoundTime,RoundTimeLeft,IsBombPlanted,CTEquipmentValue,TEquipmentValue,CTPlayersAlive,TPlayersAlive,CTPlayersTotHealth,TPlayersTotHealth,CTNumHelmets,TNumHelmets,CTNumArmors,TNumArmors,CTNumDefuseKits,CTNumSmokes,TNumSmokes,CTNumMollies,TNumMollies,CTNumHEGrenades,TNumHEGrenades,CTNumFlashes,TNumFlashes,CTScore,TScore
41,74,0,25000,28050,4,3,374,211,0,3,4,3,1,0,2,3,0,0,1,3,2,3,5
36,79,0,28300,25200,4,5,244,374,3,5,4,5,3,2,2,0,1,1,1,2,2,7,1
12,103,0,30350,26650,5,4,419,349,5,4,5,4,2,4,2,3,4,2,1,3,2,11,12
28,87,0,24150,14250,4,3,301,162,4,3,4,3,1,3,0,2,0,2,0,2,0,8,11
45,70,0,27600,9700,4,3,331,300,4,0,4,2,2,2,0,0,0,1,0,2,1,4,0
75,40,0,27250,26150,4,4,400,334,4,4,4,4,0,0,1,0,1,0,0,2,1,6,8
51,64,0,31650,23400,3,1,300,10,3,1,3,1,3,2,0,1,0,1,0,1,1,16,10
28,87,0,32400,25850,4,5,400,486,2,5,4,5,3,1,1,2,1,0,0,4,3,8,5
58,57,0,31150,6100,4,2,387,200,4,0,4,1,3,3,0,3,0,2,0,4,0,5,8
104,11,0,31000,24450,3,4,267,203,2,4,3,4,3,1,0,0,0,1,0,1,0,9,3
86,30,1,29750,27150,1,2,73,147,1,2,1,2,1,1,1,0,0,0,0,0,2,4,7
22,93,0,30650,17300,3,4,300,293,3,3,3,3,2,3,2,0,0,1,0,1,3,3,5
30,40,1,31150,22600,4,4,367,374,2,4,4,4,2,4,0,1,0,0,0,4,2,3,6
42,40,1,5500,20200,3,5,300,397,1,5,1,5,0,0,1,1,1,0,0,1,2,0,3
116,29,1,29400,24550,2,4,148,307,2,4,2,4,1,0,0,0,0,0,0,1,0,15,15
33,82,0,6300,27050,3,3,209,269,0,3,1,3,0,1,1,0,1,0,1,0,3,2,6
