RoundTime,RoundTimeLeft,IsBombPlanted,CTEquipmentValue,TEquipmentValue,CTPlayersAlive,TPlayersAlive,CTPlayersTotHealth,TPlayersTotHealth,CTNumHelmets,TNumHelmets,CTNumArmors,TNumArmors,CTNumDefuseKits,CTNumSmokes,TNumSmokes,CTNumMollies,TNumMollies,CTNumHEGrenades,TNumHEGrenades,CTNumFlashes,TNumFlashes,CTScore,TScore
86,2,1,26350,17350,1,1,28,1,0,1,1,1,0,0,0,0,0,0,0,0,1,4,4
0,115,0,1400,26750,5,5,500,500,0,5,0,5,0,1,5,0,4,0,0,0,4,5,5
99,16,0,29550,22800,2,2,200,157,2,2,2,2,1,0,0,1,0,1,0,1,0,14,12
103,12,0,27700,24200,3,2,192,192,3,1,3,2,2,2,1,0,0,0,0,0,1,5,4
73,-1,1,30250,25250,0,2,0,150,0,2,0,2,0,0,0,0,0,0,0,0,0,8,6
97,18,0,27000,22450,3,3,238,256,3,3,3,3,2,0,1,0,0,0,0,0,1,4,14
0,115,0,1400,26750,5,5,500,500,0,5,0,5,0,0,5,0,4,0,0,1,5,4,5
84,34,1,32900,29100,3,4,300,374,2,4,3,4,3,1,0,1,1,3,2,0,0,15,16
88,27,0,29150,22700,1,2,95,128,1,2,1,2,1,1,0,0,0,0,0,1,0,5,2
19,96,0,3250,3250,2,3,90,168,0,0,2,3,0,0,0,0,0,0,0,0,0,0,1
105,10,0,30150,20800,3,4,296,194,3,4,3,4,2,0,0,0,0,0,0,0,0,6,8
88,27,0,31050,27150,2,3,16,234,2,3,2,3,2,0,1,0,0,0,0,1,0,18,17
119,28,1,27550,25750,4,4,378,351,2,4,4,4,2,0,0,0,0,1,1,1,0,4,5
59,56,0,33300,13250,3,2,175,121,3,1,3,1,2,1,0,0,0,1,0,3,0,13,12
88,27,0,19200,1500,5,5,489,500,4,0,5,0,1,0,0,0,0,1,0,1,0,8,9
91,24,0,31500,26550,3,4,226,357,1,4,3,4,2,0,1,1,1,0,0,0,2,7,3
25,90,0,30950,24400,5,5,500,343,5,5,5,5,3,2,0,1,2,1,0,5,3,15,11
85,40,1,28650,25950,2,4,199,348,1,4,2,4,1,0,0,0,0,0,2,0,3,5,6
0,115,0,28800,8800,5,5,500,500,5,4,5,4,4,5,3,5,0,4,0,5,3,11,12
23,92,0,24250,27050,5,5,427,479,3,5,5,5,1,2,4,1,1,1,0,3,3,11,15
72,43,0,29250,18000,3,5,300,346,1,5,3,5,2,0,0,0,2,0,0,1,1,14,14
77,38,0,13800,19650,3,4,165,208,1,4,3,4,1,1,0,0,0,0,0,1,1,8,9
76,39,0,1400,20700,5,5,392,486,0,5,0,5,0,0,1,0,0,0,0,0,2,8,10
58,57,0,33600,6900,3,1,208,100,3,0,3,0,3,2,0,2,0,1,0,1,0,14,7
102,34,1,22950,24400,5,2,422,200,4,2,5,2,1,1,0,0,0,0,0,0,0,15,15
0,115,0,4200,4300,5,5,500,500,0,0,4,3,0,0,1,0,1,1,1,0,1,1,0
106,39,1,30600,24250,3,1,264,25,2,1,3,1,3,0,0,0,0,1,0,0,1,9,4
0,115,0,30650,7100,5,5,500,500,5,1,5,1,4,5,3,5,0,4,0,5,1,11,10
59,56,0,31250,8100,5,5,483,301,5,1,5,1,3,3,2,1,0,1,0,3,0,5,4
104,34,1,26700,24500,2,3,146,224,1,3,2,3,1,1,0,1,1,0,1,0,2,10,12
99,16,0,31950,23300,3,3,300,205,3,3,3,3,3,0,0,0,1,0,0,2,1,10,15
96,19,0,33200,26400,4,3,340,193,4,3,4,3,4,0,0,0,0,0,0,1,0,10,14
100,15,0,29050,7800,4,4,321,287,4,0,4,0,4,0,0,0,0,0,0,1,0,14,10
69,40,1,26800,26050,3,4,294,378,1,4,3,4,1,1,2,0,1,1,0,2,2,11,15
95,20,0,29150,24850,4,3,324,198,4,3,4,3,2,1,0,0,1,1,0,0,1,11,9
0,115,0,9550,20300,5,5,500,500,2,5,5,5,1,4,4,0,4,4,5,1,3,9,8
26,89,0,32400,27050,5,5,480,412,5,5,5,5,4,3,2,2,4,1,0,5,2,11,2
11,104,0,26000,20950,5,5,423,408,4,4,5,4,1,3,5,0,1,2,0,4,4,10,3
45,70,0,20250,1200,5,2,450,117,5,0,5,0,0,2,0,0,0,2,0,4,1,2,0
21,94,0,31450,1100,5,3,404,181,4,0,5,0,4,5,0,3,0,2,0,5,0,10,14
84,40,1,33200,26250,0,4,0,322,0,4,0,4,0,0,0,0,2,0,0,0,1,7,3
73,42,0,4400,4750,2,1,184,85,0,0,1,1,0,0,0,1,0,0,0,1,0,9,7
51,64,0,24050,24100,4,2,340,77,0,2,4,2,0,1,1,2,0,1,0,3,1,10,10
37,78,0,30550,24600,5,3,404,300,5,3,5,3,5,1,2,0,2,2,0,4,3,16,9
102,13,0,33400,25650,2,3,198,211,2,3,2,3,2,0,2,0,0,1,0,0,1,15,7
83,32,0,31750,25850,3,2,296,165,2,2,3,2,2,3,1,0,1,1,0,2,1,2,6
41,74,0,28350,25200,5,3,439,265,3,3,5,3,2,4,1,1,0,2,0,3,1,2,6
77,38,0,22550,6850,3,3,176,225,3,0,3,1,1,3,0,0,0,0,0,1,1,3,0
37,78,0,31100,6400,4,3,316,181,4,0,4,2,2,1,1,1,0,2,0,4,0,5,1
0,115,0,25550,25550,5,5,500,500,5,5,5,5,2,4,4,2,4,1,0,4,4,9,10
0,115,0,28150,26000,5,5,500,500,4,5,5,5,4,5,5,3,5,3,1,3,5,12,15
0,115,0,32250,27550,5,5,500,500,2,5,5,5,5,5,5,5,5,3,3,5,5,8,3
130,8,1,31750,25700,2,3,111,93,2,2,2,3,1,0,0,0,0,0,0,0,0,14,13
126,9,1,26750,23900,1,2,73,63,0,2,1,2,1,0,0,0,0,0,0,0,0,13,15
53,62,0,29850,5850,4,3,331,263,4,0,4,1,4,2,0,1,0,1,0,4,0,4,0
60,55,0,24100,23500,4,3,376,189,1,3,4,3,0,0,2,0,1,1,1,3,1,10,10
35,80,0,14050,27550,4,5,400,416,1,5,4,5,1,2,1,0,2,0,1,2,2,12,16
86,29,0,26400,10950,3,5,292,397,3,1,3,4,2,0,0,1,0,0,0,3,0,1,2
23,92,0,4800,4300,5,5,488,500,0,0,4,4,0,1,0,0,0,0,0,1,0,0,1
64,51,0,6400,26850,2,5,200,364,0,5,1,5,0,0,2,0,1,0,0,0,3,9,14
68,47,0,29450,17950,3,3,281,222,3,2,3,3,2,2,0,0,0,0,0,2,1,15,11
45,70,0,2200,22350,3,5,230,418,0,5,0,5,0,0,2,0,1,0,0,0,0,4,5
51,64,0,16450,28150,5,2,351,190,0,2,5,2,0,0,1,0,0,0,0,2,1,15,15
0,115,0,30300,27750,5,5,500,500,4,5,5,5,3,4,5,5,5,5,1,5,5,6,6
46,21,1,4400,4100,1,3,25,269,0,0,0,1,0,1,0,0,0,0,0,0,0,8,8
0,115,0,28900,26350,5,5,500,500,5,5,5,5,3,5,4,5,4,4,2,4,5,14,9
16,99,0,2200,23450,5,5,500,486,0,5,0,5,0,0,3,0,5,0,0,0,5,0,3
59,40,1,27200,27550,1,4,92,303,0,4,1,4,0,1,1,1,1,0,2,0,2,7,7
18,97,0,7750,24900,5,5,465,500,2,5,5,5,0,1,5,0,1,0,0,1,4,1,2
49,66,0,29800,8700,4,5,332,379,3,2,4,4,2,2,2,0,1,1,0,3,3,9,13
0,115,0,4300,4200,5,5,500,500,0,0,4,4,1,1,1,0,0,0,0,0,1,0,1
37,78,0,23050,15850,4,1,333,83,3,0,4,1,1,2,0,0,0,0,0,0,0,2,0
72,43,0,8350,26250,4,1,296,8,0,1,0,1,0,0,0,0,0,0,0,0,1,16,12
11,104,0,14900,28250,5,5,413,500,3,5,5,5,0,2,4,0,4,1,4,1,5,6,9
58,57,0,28450,27250,4,1,316,9,1,1,4,1,3,3,0,2,0,2,0,3,1,5,5
96,40,1,29450,24400,2,1,188,10,2,1,2,1,2,1,0,1,0,0,0,0,0,16,8
97,19,1,31350,16950,2,1,126,21,2,0,2,1,1,0,0,0,0,0,0,0,0,13,9
38,77,0,30450,7700,5,5,426,343,5,1,5,1,3,3,0,4,0,2,0,2,0,11,10
0,115,0,1500,23600,5,5,500,500,0,5,0,5,0,0,5,0,5,0,4,0,5,6,14
44,71,0,28300,19850,3,2,273,118,1,1,3,2,1,1,1,1,0,0,0,3,1,4,5
78,37,0,29500,26700,4,3,399,248,3,3,4,3,2,0,1,1,0,2,0,4,1,3,4
82,33,0,10050,19150,5,4,314,237,3,4,4,4,0,1,0,0,0,0,1,1,1,8,9
17,98,0,24800,26000,5,5,445,393,2,5,5,5,0,4,2,0,3,0,0,2,4,2,4
107,24,1,31000,24350,1,2,4,145,1,2,1,2,0,0,0,0,0,0,0,0,0,9,16
31,84,0,30750,19650,5,5,475,419,5,4,5,5,4,1,0,1,1,3,0,3,1,15,7
72,40,1,29500,22850,3,4,255,386,3,4,3,4,1,0,2,1,2,0,1,2,1,8,11
72,43,0,31250,23650,3,3,300,265,3,3,3,3,3,1,0,0,0,0,0,2,1,17,16
45,70,0,31700,27850,5,5,499,472,4,5,5,5,4,5,2,1,2,0,0,5,4,15,17
58,57,0,29900,7500,4,3,400,212,4,1,4,1,3,1,0,2,0,2,0,3,0,10,12
10,105,0,29100,27450,5,5,500,402,2,5,5,5,3,3,5,1,5,1,1,3,4,1,3
29,86,0,4300,4050,4,5,309,500,0,0,3,3,1,1,1,0,0,0,0,0,2,1,0
96,19,0,23000,23550,4,4,400,308,1,4,4,4,1,2,0,0,1,1,0,1,0,12,8
55,60,0,30750,21700,3,3,212,185,3,2,3,3,3,2,0,1,0,1,0,1,0,10,12
28,87,0,30300,13050,3,1,208,100,2,1,3,1,3,1,0,1,0,2,0,3,1,8,1
24,91,0,4450,4250,3,3,300,274,0,0,1,1,1,1,0,0,1,1,0,1,1,9,7
41,74,0,1100,28650,1,4,35,272,0,4,0,4,0,0,0,0,0,0,0,0,1,6,14
53,40,1,9950,19200,4,5,400,454,1,5,4,5,0,1,0,0,0,1,1,1,2,0,2
100,36,1,32600,25750,2,4,198,318,2,4,2,4,2,1,1,0,0,1,0,1,0,12,3
36,79,0,4300,21100,2,4,125,394,0,4,0,4,0,0,3,0,1,0,3,0,4,0,3
43,40,1,8500,21750,2,3,53,279,0,3,0,3,0,1,2,1,1,0,0,0,3,0,3
72,43,0,15100,26250,4,1,336,18,1,1,3,1,0,0,1,0,0,0,0,1,0,3,2
62,53,0,21450,25000,5,4,474,368,2,4,4,4,0,1,3,0,2,0,1,1,3,2,2
30,85,0,28550,23600,4,2,378,108,3,1,4,2,2,1,2,2,0,1,0,3,0,13,1
66,49,0,28700,27350,4,2,279,200,1,2,4,2,1,0,0,1,0,0,2,3,1,13,12
0,115,0,2800,7800,4,5,289,423,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
89,26,0,20800,22350,4,4,400,194,4,4,4,4,2,0,1,0,0,0,0,0,1,3,0
0,115,0,33000,7000,5,5,500,500,5,3,5,3,5,5,3,4,0,2,0,5,3,15,14
35,80,0,30700,25550,5,5,419,485,4,5,5,5,4,4,3,3,1,1,1,3,2,13,13
41,40,1,3200,21000,2,4,102,350,0,4,0,4,0,0,0,0,2,0,0,0,3,10,10
0,115,0,12950,27650,5,5,500,500,0,5,4,5,1,4,5,0,5,5,3,3,5,8,4
61,54,0,23500,22700,3,3,240,131,2,3,3,3,2,1,1,0,0,0,0,1,0,2,1
43,72,0,6900,20600,3,4,216,171,2,4,2,4,0,0,1,0,0,0,0,0,1,1,2
66,49,0,24350,15300,5,2,332,107,4,1,5,1,2,2,0,0,0,0,0,0,1,11,4
20,95,0,29350,4050,5,3,466,182,5,0,5,1,2,3,0,2,0,1,0,4,0,7,2
0,115,0,28750,25100,5,5,500,500,3,5,5,5,2,5,5,3,5,3,1,5,5,7,2
120,1,1,28650,25650,1,3,9,131,1,3,1,3,1,0,0,1,1,0,1,1,0,4,6
29,86,0,21600,3200,5,2,500,106,5,0,5,0,0,2,0,2,0,2,0,1,0,10,7
0,115,0,26050,22750,5,5,500,500,4,5,5,5,0,5,4,2,5,1,1,3,5,1,3
42,73,0,4200,4300,2,3,114,273,0,0,2,2,0,0,0,0,0,0,0,0,0,9,7
67,48,0,9550,17900,5,5,374,314,1,5,4,5,0,1,1,0,0,2,0,1,1,0,2
72,43,0,31850,24800,3,4,223,122,3,4,3,4,2,1,0,1,1,2,0,1,4,11,16
32,83,0,7100,25100,5,5,452,500,0,5,2,5,0,0,1,0,1,0,2,0,3,2,3
96,40,1,13800,27250,1,3,100,300,0,3,1,3,0,0,2,0,0,0,1,0,2,1,12
71,44,0,30450,29200,5,3,474,211,2,3,5,3,1,2,2,1,2,2,2,4,2,3,6
54,61,0,25950,27250,4,2,319,28,0,2,3,2,1,2,1,0,2,0,0,2,2,7,4
30,85,0,27100,24150,5,4,406,390,5,4,5,4,2,2,1,0,1,3,0,3,2,1,3
77,23,1,32100,25500,1,4,100,400,0,3,1,3,1,1,2,0,2,1,0,1,3,15,9
27,88,0,30800,26650,4,4,320,265,3,4,4,4,3,3,1,2,1,1,0,3,2,0,6
98,17,0,18700,2900,4,4,355,364,4,0,4,0,1,0,0,0,0,0,0,3,0,2,0
37,78,0,27800,26450,4,5,400,500,0,5,4,5,3,1,4,1,2,2,2,3,4,14,5
16,99,0,1500,23550,4,4,384,376,0,4,0,4,0,0,4,0,3,0,0,0,4,2,3
88,27,0,15700,24100,1,2,15,184,1,2,1,2,0,1,0,0,0,0,0,1,0,10,16
0,115,0,29400,25400,5,5,500,500,5,4,5,5,3,5,4,5,4,4,0,5,4,15,4
107,8,0,25800,25700,1,3,100,211,1,3,1,3,1,0,0,0,0,0,2,1,2,10,16
45,70,0,23600,27650,3,3,247,184,0,3,3,3,3,0,0,0,1,0,0,0,1,3,8
87,28,0,27900,23500,5,5,414,478,3,5,5,5,3,0,1,1,1,0,1,3,0,6,5
64,51,0,26700,26750,3,2,300,57,1,2,3,2,1,1,0,0,1,0,0,2,1,15,10
71,44,0,30800,3000,5,1,282,54,4,0,5,0,4,3,0,2,0,2,0,4,0,8,6
36,40,1,30250,26850,5,5,500,466,5,5,5,5,4,2,2,4,1,3,0,2,3,17,18
53,62,0,25900,27250,5,5,408,470,0,5,5,5,1,2,3,0,3,0,1,2,2,4,4
22,93,0,31550,21650,5,5,500,473,4,4,5,5,2,4,1,1,3,1,0,4,2,2,5
26,89,0,22050,23750,5,5,457,473,1,5,5,5,0,1,2,0,3,1,0,2,3,3,4
31,84,0,4550,4450,5,1,351,71,0,0,5,0,0,1,0,0,0,0,0,0,0,1,0
44,71,0,22600,24350,5,5,428,402,2,4,5,5,0,1,4,1,1,0,0,3,3,8,5
42,73,0,30050,24350,5,2,331,131,5,1,5,1,5,2,0,0,0,0,0,1,0,12,2
78,37,0,27500,27450,4,2,346,44,2,2,4,2,3,1,1,0,0,1,0,0,1,3,10
87,28,0,32650,8600,2,2,145,140,2,2,2,2,2,0,0,1,0,1,0,1,0,4,2
0,115,0,28050,24600,5,5,500,500,5,5,5,5,3,5,5,2,4,2,2,3,5,15,10
73,42,0,4300,4300,4,1,326,73,0,0,4,0,0,0,1,0,0,0,0,0,0,10,6
67,20,1,5050,27250,3,5,231,461,0,5,1,5,0,0,1,0,2,0,1,0,3,4,5
71,44,0,23250,9400,4,5,321,409,2,0,4,2,1,1,0,1,0,0,0,1,0,5,12
99,16,0,30600,26250,3,2,241,118,3,2,3,2,3,1,0,0,0,1,0,0,0,16,16
42,73,0,32050,24100,5,5,500,483,5,5,5,5,5,4,4,2,2,1,1,5,2,8,7
103,21,1,30550,24100,3,2,300,196,3,2,3,2,3,0,1,0,0,0,0,0,1,5,8
87,33,1,21400,16850,1,3,78,167,1,3,1,3,1,0,1,0,0,0,0,0,1,10,7
70,23,1,22450,18100,1,2,40,107,0,2,1,2,0,0,0,0,0,0,0,0,0,6,12
