RoundTime,RoundTimeLeft,IsBombPlanted,CTEquipmentValue,TEquipmentValue,CTPlayersAlive,TPlayersAlive,CTPlayersTotHealth,TPlayersTotHealth,CTNumHelmets,TNumHelmets,CTNumArmors,TNumArmors,CTNumDefuseKits,CTNumSmokes,TNumSmokes,CTNumMollies,TNumMollies,CTNumHEGrenades,TNumHEGrenades,CTNumFlashes,TNumFlashes,CTScore,TScore
72,43,0,33850,6100,3,4,300,264,3,0,3,0,3,1,0,0,0,0,0,1,0,13,13
32,83,0,30950,22400,5,4,500,315,5,4,5,4,3,2,2,0,1,1,0,2,1,10,11
12,103,0,12850,19800,5,5,386,500,1,5,4,5,0,2,2,0,1,1,0,0,1,5,12
87,28,0,32700,12050,5,1,433,14,5,1,5,1,3,1,0,1,0,1,0,2,0,12,2
80,35,0,28850,20350,4,4,375,257,3,4,4,4,2,0,1,0,0,1,0,1,1,10,10
77,25,1,4450,4750,1,2,84,151,0,0,1,2,0,0,0,0,0,0,0,0,0,4,12
61,54,0,30650,15450,3,3,206,300,3,0,3,2,2,0,2,1,0,0,0,2,1,13,11
0,115,0,4750,19550,5,5,500,500,0,5,1,5,0,1,4,0,3,0,3,0,4,0,3
22,93,0,9700,27550,4,5,393,452,0,5,3,5,0,0,4,0,3,0,0,0,5,1,12
0,115,0,17950,20900,5,5,500,500,0,5,3,5,0,5,5,1,3,4,0,4,4,4,2
45,25,1,30250,12300,4,5,376,414,4,3,4,4,4,2,0,0,0,0,0,3,0,9,14
79,36,0,27350,27050,5,5,479,440,3,5,5,5,3,0,0,0,3,0,0,5,3,4,4
13,102,0,31050,26550,5,4,500,307,5,4,5,4,4,4,3,3,2,3,1,4,2,14,7
0,115,0,6150,27150,5,5,500,500,0,5,1,5,1,1,5,0,5,0,0,1,5,8,6
53,35,1,31900,25850,4,5,318,419,1,5,4,5,3,3,2,2,1,1,0,1,3,4,2
13,102,0,4250,3950,5,5,500,500,0,0,5,3,0,0,1,0,0,0,0,0,2,8,8
64,51,0,14550,27150,5,3,411,279,1,3,3,3,1,0,1,0,1,0,1,1,2,9,5
64,51,0,32150,24150,5,5,499,384,5,4,5,5,3,1,0,0,1,1,0,2,0,5,6
56,37,1,31900,21800,1,2,74,149,1,2,1,2,1,0,1,0,1,0,0,1,0,11,2
104,11,0,28650,24450,3,1,261,68,3,1,3,1,3,1,0,1,1,1,0,2,0,8,2
61,34,1,4200,3750,1,3,100,161,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
0,115,0,24650,35550,5,5,500,500,0,5,5,5,1,5,5,3,4,4,0,5,5,4,11
75,22,1,12500,19900,1,1,19,64,0,1,1,1,0,0,0,0,0,0,0,1,0,0,2
45,70,0,31050,22150,4,4,328,314,4,3,4,3,2,2,1,3,2,4,1,1,1,6,16
105,10,0,31900,20550,4,2,285,88,3,2,4,2,4,1,0,0,0,0,0,1,0,3,4
79,36,0,24800,22500,5,3,500,184,4,3,5,3,2,1,0,0,2,0,0,0,0,3,1
88,14,1,29350,14950,1,1,9,32,1,1,1,1,1,0,0,0,0,0,0,0,0,13,10
54,61,0,32600,28150,3,5,248,424,3,5,3,5,3,0,4,1,3,0,0,0,3,5,10
51,64,0,4300,5000,5,2,399,52,0,0,4,1,0,0,0,0,0,0,0,1,0,1,0
44,71,0,34600,9050,5,5,500,311,5,2,5,5,4,1,1,3,0,3,0,5,0,3,5
