RoundTime,RoundTimeLeft,IsBombPlanted,CTEquipmentValue,TEquipmentValue,CTPlayersAlive,TPlayersAlive,CTPlayersTotHealth,TPlayersTotHealth,CTNumHelmets,TNumHelmets,CTNumArmors,TNumArmors,CTNumDefuseKits,CTNumSmokes,TNumSmokes,CTNumMollies,TNumMollies,CTNumHEGrenades,TNumHEGrenades,CTNumFlashes,TNumFlashes,CTScore,TScore
99,40,1,26150,26950,3,2,165,93,3,2,3,2,1,0,0,0,0,0,0,1,0,3,7
5,110,0,29550,7950,5,5,500,457,5,1,5,4,4,5,1,5,0,4,0,4,0,5,6
114,40,1,31200,27150,2,3,200,260,2,3,2,3,1,0,1,0,0,0,0,1,1,6,9
15,100,0,29350,23350,4,5,400,406,2,3,4,5,4,3,3,3,3,0,0,2,2,4,6
112,14,1,24850,23150,2,1,91,100,1,0,2,1,1,0,0,0,0,0,0,0,1,8,2
81,34,0,24900,14400,4,1,174,29,4,0,4,0,0,1,0,1,0,1,0,1,0,7,6
98,17,0,27350,26450,1,3,100,256,0,3,1,3,0,0,2,0,2,0,0,0,1,3,0
76,40,1,26050,26950,1,4,20,220,1,4,1,4,0,1,0,0,3,0,1,0,0,0,6
46,38,1,32800,20700,2,3,200,266,2,3,2,3,2,1,0,0,0,0,0,1,0,10,4
98,17,0,30950,23000,3,4,274,348,3,4,3,4,2,0,0,0,0,0,1,0,0,6,4
77,27,1,20600,26250,3,2,296,173,0,2,3,2,1,0,0,0,0,0,0,0,0,11,10
0,115,0,21950,20350,5,5,500,500,0,5,5,5,0,5,4,4,3,1,1,4,4,6,1
9,106,0,21850,15350,5,5,467,500,4,4,5,5,1,3,1,2,1,2,0,3,1,2,0
72,43,0,31450,26250,5,2,436,171,5,2,5,2,5,1,0,0,1,2,0,3,1,10,2
75,40,0,4400,4050,2,4,200,255,0,0,1,2,1,0,1,0,0,0,0,0,0,10,6
14,101,0,28500,27550,5,5,500,409,4,5,5,5,1,4,4,1,5,2,0,3,4,5,7
0,115,0,33600,27650,5,5,500,500,5,5,5,5,4,5,5,5,5,5,0,5,5,15,16
69,46,0,29750,26850,2,5,173,298,2,5,2,5,2,1,3,0,4,2,0,1,2,14,11
90,25,0,16900,21400,5,4,344,329,3,4,5,4,2,1,2,0,0,1,1,0,1,1,2
0,115,0,1500,27250,5,5,500,500,0,5,0,5,0,0,5,0,5,0,1,0,5,10,13
0,115,0,10350,20100,5,5,500,500,1,5,5,5,0,3,5,0,3,3,0,1,5,11,6
61,54,0,9050,19550,2,4,153,215,1,4,2,4,0,0,1,0,1,0,0,0,0,5,13
118,19,1,28300,27050,3,3,273,124,3,3,3,3,1,0,0,0,0,0,0,0,0,17,17
13,102,0,28450,28050,5,5,467,500,3,5,5,5,3,3,4,2,3,3,1,2,2,14,16
50,40,1,26050,28750,4,1,347,100,1,1,4,1,0,1,0,1,1,0,0,1,0,2,3
65,35,1,33600,26950,2,2,175,119,2,2,2,2,2,2,0,1,0,0,0,1,0,16,19
95,20,0,31600,14350,5,1,465,9,5,1,5,1,4,1,0,1,0,0,0,3,0,13,11
75,40,0,29550,26650,5,4,436,266,4,4,5,4,3,0,0,1,0,2,0,4,1,6,14
114,24,1,25750,26650,4,2,319,138,2,2,4,2,1,0,0,0,0,1,0,0,0,8,5
68,47,0,32650,23800,4,4,400,302,4,4,4,4,4,0,0,0,2,0,0,3,4,5,6
16,99,0,31050,10700,5,2,500,175,5,2,5,2,3,5,2,1,0,0,0,4,0,8,7
92,40,1,32250,24700,0,3,0,263,0,2,0,3,0,0,0,0,1,0,0,0,1,6,2
79,36,0,28550,26650,5,4,405,367,5,4,5,4,3,0,0,2,1,1,0,0,0,4,6
12,103,0,23500,21400,5,5,500,426,5,5,5,5,2,4,4,1,2,2,0,5,4,13,5
65,50,0,4200,4150,4,4,304,368,0,0,3,3,0,0,0,0,0,1,0,1,0,7,9
26,89,0,27800,6700,5,5,474,499,5,1,5,1,2,2,2,3,0,2,0,4,2,5,1
53,62,0,17800,2000,4,1,327,22,4,0,4,0,0,1,0,1,0,0,0,0,0,8,9
39,76,0,4400,4250,5,4,490,366,0,0,4,2,1,0,0,0,0,0,0,1,0,1,0
38,40,1,4400,4350,3,3,300,300,0,0,2,2,1,0,0,0,0,0,0,0,0,4,12
94,30,1,33600,25300,4,1,313,34,4,1,4,1,3,2,0,1,0,2,0,1,0,7,4
64,36,1,25750,23400,1,2,77,64,1,2,1,2,0,1,0,0,0,0,0,0,0,1,10
18,97,0,32600,24750,4,4,335,400,4,2,4,4,3,1,2,3,2,1,0,3,2,7,3
47,40,1,4300,4350,5,4,413,400,0,0,4,3,0,1,0,0,0,0,0,1,0,0,1
65,50,0,32500,19550,2,1,200,65,1,1,2,1,2,0,0,0,0,0,0,2,0,8,7
0,115,0,35500,13000,5,5,500,500,5,4,5,4,5,5,5,5,3,5,0,5,5,7,8
89,26,0,26000,30350,5,3,479,243,3,3,5,3,1,0,0,0,0,0,1,3,1,7,2
47,68,0,31050,21650,4,3,328,300,4,2,4,2,2,2,1,3,1,4,0,2,1,6,16
