RoundTime,RoundTimeLeft,IsBombPlanted,CTEquipmentValue,TEquipmentValue,CTPlayersAlive,TPlayersAlive,CTPlayersTotHealth,TPlayersTotHealth,CTNumHelmets,TNumHelmets,CTNumArmors,TNumArmors,CTNumDefuseKits,CTNumSmokes,TNumSmokes,CTNumMollies,TNumMollies,CTNumHEGrenades,TNumHEGrenades,CTNumFlashes,TNumFlashes,CTScore,TScore
69,46,0,32700,8250,5,4,499,400,5,0,5,3,4,1,0,0,0,0,0,4,1,7,5
65,50,0,4400,4050,5,4,460,304,0,0,4,2,1,0,1,0,1,0,0,1,0,10,6
88,27,0,26850,22550,5,4,412,394,1,3,5,4,1,0,0,1,1,0,0,2,0,2,5
44,71,0,30000,26250,5,3,500,152,4,3,5,3,3,3,0,2,1,1,1,3,2,11,9
62,53,0,33100,25600,1,3,100,234,1,3,1,3,1,0,0,1,1,0,0,0,1,11,4
69,32,1,21700,7100,2,2,121,111,2,1,2,1,1,0,0,1,0,0,0,0,0,7,10
59,56,0,29250,4900,5,2,379,103,5,0,5,1,3,2,0,0,0,1,0,4,1,10,4
19,96,0,7150,25750,5,3,406,135,0,3,1,3,1,0,2,0,2,0,1,0,0,6,5
0,115,0,1750,22500,5,5,500,500,0,5,0,5,0,1,5,0,4,0,0,2,5,13,5
80,40,1,29900,24150,2,5,200,447,2,5,2,5,2,1,0,1,1,0,0,2,1,9,15
81,40,1,14900,21750,2,3,125,252,1,3,1,3,1,1,1,0,0,0,0,0,0,5,13
10,105,0,30050,6950,5,5,451,409,5,2,5,3,3,5,3,2,1,2,0,4,3,5,4
103,13,1,31000,25400,1,4,48,269,1,3,1,4,1,0,0,0,0,0,0,0,1,11,4
79,36,0,6500,27150,4,5,400,457,1,5,1,5,0,0,2,0,1,0,0,0,2,3,5
0,115,0,8850,15350,5,5,500,500,1,5,4,5,0,0,5,0,4,0,2,0,5,1,2
45,70,0,4500,4250,5,2,399,195,0,0,4,1,1,0,1,0,0,0,0,1,1,1,0
74,40,1,23800,23700,2,1,180,12,1,1,2,1,0,1,0,0,0,0,0,2,0,14,5
49,66,0,31500,25150,5,3,500,201,5,3,5,3,3,1,0,1,0,0,0,3,2,7,2
32,83,0,26450,27650,3,5,215,500,0,5,3,5,0,2,1,0,2,0,0,0,1,14,14
70,45,0,33200,23800,5,3,409,270,5,2,5,3,4,0,0,0,1,1,0,2,0,13,7
10,105,0,34100,27550,5,5,500,500,5,5,5,5,5,4,4,4,4,5,1,4,5,17,17
17,98,0,15250,27550,5,5,473,500,2,5,5,5,1,2,4,0,4,1,1,4,5,2,3
99,16,0,15800,29200,1,2,28,135,0,2,1,2,0,0,1,1,0,0,0,1,2,3,8
104,11,0,30850,24450,3,1,300,22,1,1,3,1,2,1,0,0,0,0,0,2,0,6,6
39,76,0,30100,22300,2,3,150,297,1,3,2,3,2,2,3,1,3,1,0,0,2,3,3
55,60,0,26500,27350,3,2,300,200,0,2,3,2,1,0,0,1,0,0,1,2,1,2,11
25,90,0,8800,20700,5,2,472,111,0,2,4,2,0,1,1,0,0,0,0,0,0,4,14
