RoundTime,RoundTimeLeft,IsBombPlanted,CTEquipmentValue,TEquipmentValue,CTPlayersAlive,TPlayersAlive,CTPlayersTotHealth,TPlayersTotHealth,CTNumHelmets,TNumHelmets,CTNumArmors,TNumArmors,CTNumDefuseKits,CTNumSmokes,TNumSmokes,CTNumMollies,TNumMollies,CTNumHEGrenades,TNumHEGrenades,CTNumFlashes,TNumFlashes,CTScore,TScore
48,33,1,12000,27650,2,4,189,304,0,4,2,4,1,1,2,0,4,0,0,1,3,7,6
41,74,0,16500,27750,4,2,305,200,2,2,4,2,1,2,1,0,1,0,1,2,1,0,5
20,95,0,1700,24900,4,5,323,406,0,5,0,5,0,0,4,0,2,0,0,0,4,0,3
117,40,1,28500,20550,2,2,135,85,2,2,2,2,2,1,0,0,0,0,0,1,0,3,3
31,84,0,4600,4600,4,1,331,1,0,0,4,0,0,0,0,0,0,0,0,1,0,1,0
96,40,1,31150,11400,2,2,120,150,2,2,2,2,2,0,0,0,0,0,0,0,0,5,1
36,79,0,31650,27150,5,4,412,310,5,4,5,4,5,2,3,2,2,2,0,4,3,9,4
0,115,0,26000,27200,5,5,500,500,0,5,5,5,0,2,5,2,4,1,2,3,5,6,5
40,75,0,32650,27750,3,4,300,310,3,4,3,4,2,1,1,0,1,2,1,0,2,1,8
106,9,0,22250,24800,4,4,374,306,3,4,4,4,2,0,0,0,0,0,0,1,1,6,9
46,69,0,34100,26850,4,5,392,438,4,5,4,5,4,1,2,1,1,1,0,3,3,9,0
73,42,0,28650,24200,4,1,226,100,2,1,4,1,2,1,0,1,0,1,0,3,0,4,7
45,40,1,26800,26700,2,4,200,400,1,4,2,4,0,1,2,2,1,0,1,1,3,15,12
73,42,0,24250,23400,4,3,332,196,3,3,4,3,2,1,2,0,1,1,0,3,2,9,9
57,58,0,26150,2800,5,5,500,408,4,0,5,0,3,3,0,2,0,2,0,3,0,6,5
60,55,0,11000,19000,5,5,500,500,2,5,5,5,1,3,3,1,0,1,0,2,0,9,8
104,19,1,27450,24000,2,1,138,31,1,1,2,1,1,2,0,0,0,0,0,2,0,12,9
0,115,0,30850,6800,5,5,500,500,5,1,5,3,4,5,2,5,0,4,0,4,2,5,0
101,14,0,26550,6900,3,1,264,55,3,0,3,0,2,0,0,0,0,0,0,1,0,2,3
113,13,1,30450,29700,2,1,139,100,1,1,2,1,0,0,0,0,0,0,0,0,0,15,15
96,19,0,20200,24450,3,1,220,100,2,1,3,1,0,0,1,0,0,1,0,1,0,16,14
63,18,1,29500,28000,2,3,163,118,1,3,2,3,1,2,0,0,0,0,0,1,0,14,11
99,16,0,30400,25100,3,1,272,61,3,1,3,1,2,1,0,1,1,0,0,1,1,12,10
25,90,0,24350,15300,5,5,500,410,5,5,5,5,3,4,2,1,2,2,4,3,4,11,15
90,25,0,30450,26150,2,3,129,232,1,3,2,3,2,2,1,0,0,1,0,1,1,2,6
47,68,0,25400,23600,5,4,470,316,5,3,5,4,0,3,2,1,1,2,0,4,3,7,2
61,19,1,33450,25700,3,1,214,9,3,1,3,1,3,0,0,0,0,0,0,1,1,18,15
0,115,0,32850,27950,5,5,500,500,5,5,5,5,5,5,5,5,5,5,3,5,5,18,18
28,87,0,15100,26200,4,4,373,400,2,4,3,4,0,2,4,0,1,1,0,2,3,1,5
0,115,0,3600,4250,5,5,500,500,0,0,4,3,0,0,1,0,0,0,1,0,2,0,1
90,40,1,20750,24650,2,2,91,92,1,2,2,2,0,0,0,0,0,0,0,1,0,7,6
40,40,1,26250,25250,1,4,100,325,0,4,1,4,0,1,1,0,2,0,0,0,2,12,10
111,40,1,7800,21100,1,3,100,271,0,3,0,3,0,0,0,0,0,0,0,0,1,0,3
59,40,1,21650,22000,2,4,200,251,2,4,2,4,1,1,1,2,1,1,0,1,2,2,1
75,40,0,28600,27150,3,5,184,451,1,5,3,5,0,1,3,1,1,1,0,0,4,6,13
110,5,0,11400,19200,3,2,214,111,2,2,3,2,0,0,0,0,0,0,0,0,1,0,2
96,19,1,26800,18400,2,2,120,186,2,2,2,2,2,0,0,0,0,0,0,1,0,16,13
107,17,1,29350,23400,2,1,200,41,2,1,2,1,2,0,0,0,0,1,0,0,1,10,4
39,76,0,32350,25850,5,4,500,226,5,4,5,4,5,5,3,3,2,3,0,3,1,6,0
54,61,0,31450,8500,5,1,429,69,5,0,5,0,4,0,0,0,0,1,0,4,0,12,13
101,14,0,26200,22600,5,1,429,23,3,1,5,1,2,0,0,0,0,0,0,1,0,5,5
64,51,0,27800,19100,4,2,294,186,4,2,4,2,3,1,0,1,1,0,0,3,0,16,13
74,41,0,8850,24600,5,5,430,390,1,5,5,5,0,0,3,0,2,0,0,0,2,4,4
16,99,0,6100,18600,5,4,500,339,0,4,2,4,0,1,2,0,3,1,1,0,1,8,10
24,91,0,26350,7500,5,3,295,220,5,1,5,1,3,3,0,1,0,2,1,4,1,13,5
34,81,0,19850,26850,4,4,312,317,2,4,3,4,0,1,2,1,1,0,1,1,3,9,16
139,-1,1,29950,25700,2,0,111,0,2,0,2,0,1,0,0,0,0,0,0,0,0,14,14
88,31,1,25850,25150,1,3,39,203,0,3,1,3,1,1,0,0,0,0,0,1,1,7,15
100,32,1,27850,21250,3,5,250,448,2,4,3,5,3,3,1,0,0,1,0,3,2,3,8
19,96,0,4950,4050,5,5,500,500,0,0,3,3,0,1,2,1,0,1,0,1,2,0,1
67,48,0,28500,24100,4,2,381,132,4,2,4,2,0,2,0,0,0,1,0,1,0,7,12
0,115,0,15600,21700,5,5,500,500,0,5,3,5,0,3,5,3,5,2,0,3,5,2,5
44,71,0,32950,26450,5,4,500,345,4,4,5,4,5,1,3,1,3,0,0,4,1,13,11
17,98,0,32550,24500,5,5,499,410,5,5,5,5,5,5,4,3,2,2,0,5,3,10,5
15,100,0,24250,26450,4,5,399,342,2,5,4,5,2,3,4,1,2,0,0,3,4,5,5
70,45,0,20400,29250,5,2,497,136,2,2,5,2,0,1,0,0,1,0,2,1,0,7,13
24,91,0,4450,4250,3,3,300,274,0,0,1,1,1,1,0,0,1,1,0,1,1,9,7
101,14,0,30150,22100,3,3,248,240,3,3,3,3,3,0,0,0,0,1,0,3,1,7,4
51,64,0,23400,27350,4,4,400,259,1,4,4,4,1,3,1,1,0,1,0,0,2,11,15
24,91,0,4400,4800,3,5,178,374,0,0,3,3,0,0,0,0,0,0,0,0,0,5,11
0,115,0,8100,9200,5,3,440,300,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0
74,40,1,20150,14200,2,3,200,240,2,3,2,3,1,0,1,0,0,0,0,0,0,10,7
84,31,0,30450,27450,5,3,483,181,3,3,5,3,3,0,2,0,0,2,0,2,1,4,8
68,40,1,3050,19000,2,4,106,271,0,4,0,4,0,0,1,0,0,0,0,0,2,0,3
67,26,1,29400,26550,2,2,200,55,0,2,2,2,1,0,0,0,0,1,1,2,1,15,14
91,37,1,32600,25650,2,3,200,133,1,3,2,3,2,0,0,1,1,0,1,1,1,11,13
0,115,0,33300,11750,5,5,500,500,5,3,5,5,4,5,3,5,1,5,0,5,4,15,14
82,31,1,26100,24400,5,2,418,175,2,2,5,2,3,3,0,1,0,1,0,0,0,13,12
36,79,0,8850,20050,4,5,312,359,0,5,2,5,0,0,3,0,2,1,0,0,2,9,9
0,115,0,29150,7050,5,5,500,500,4,2,5,3,4,5,3,5,0,4,1,5,2,6,1
0,115,0,3600,4150,5,5,500,500,0,0,4,3,0,0,2,0,1,0,0,0,1,0,1
95,20,0,31450,20700,4,3,318,292,4,1,4,3,3,0,0,1,0,0,0,2,0,5,8
75,30,1,4450,4150,4,1,362,21,0,0,4,0,0,0,0,0,0,0,0,0,0,8,8
24,91,0,4200,4150,4,5,400,500,0,0,1,3,0,1,0,0,0,2,0,0,1,6,10
55,40,1,4450,3400,2,4,200,390,0,0,2,2,0,0,0,0,0,0,0,0,0,7,9
0,115,0,7000,20150,5,5,500,500,1,5,3,5,0,1,6,0,5,1,5,2,5,9,9
98,17,0,27650,24800,1,1,100,15,1,1,1,1,1,0,1,0,0,0,0,1,1,11,15
128,21,1,31550,22350,3,4,273,235,3,4,3,4,3,0,0,0,0,0,1,1,0,9,6
21,94,0,30950,7150,5,1,395,100,5,0,5,1,4,5,0,4,0,1,0,2,0,13,10
59,56,0,30150,9450,3,1,148,13,3,0,3,1,2,2,0,2,0,1,0,1,0,13,10
70,45,0,25700,11800,4,4,400,297,3,0,4,2,2,2,0,0,0,1,0,2,0,14,14
49,66,0,25700,19050,2,3,107,140,2,3,2,3,2,0,1,0,1,0,0,1,1,14,6
54,61,0,27500,22400,5,4,500,312,5,4,5,4,3,4,2,1,1,1,0,3,1,8,4
83,32,0,28050,23650,2,3,200,219,2,3,2,3,1,2,0,1,0,0,0,2,1,14,10
61,54,0,7950,23550,5,4,394,297,0,4,1,4,0,0,1,0,1,0,2,0,2,10,9
38,77,0,29600,21300,5,5,500,397,4,5,5,5,2,3,4,3,1,3,0,4,3,5,2
45,70,0,30200,20750,5,5,431,380,4,5,5,5,3,0,2,0,0,1,0,1,1,11,3
96,19,0,28450,27650,4,3,400,270,3,3,4,3,2,1,0,0,0,0,1,2,1,3,9
106,35,1,23200,7750,3,3,300,201,3,0,3,0,0,1,0,1,0,0,0,1,0,3,0
32,40,1,4950,4300,3,2,272,129,0,0,1,2,0,2,0,0,0,1,0,2,0,1,0
26,89,0,2450,26450,5,5,427,404,0,5,1,5,0,0,3,0,2,1,3,0,5,6,8
79,36,0,30850,26250,3,4,292,316,3,4,3,4,2,0,0,0,0,0,0,0,0,10,4
101,15,1,27650,11650,1,2,100,108,0,0,1,2,1,0,0,0,0,0,0,0,0,5,1
122,5,1,28350,25650,2,4,167,212,1,4,2,4,0,0,1,0,0,0,0,1,1,4,8
32,83,0,23350,27950,4,3,318,284,1,3,4,3,2,2,3,0,2,1,0,3,2,3,11
94,2,1,4500,3950,1,2,72,157,0,0,1,1,0,0,0,0,0,0,0,0,0,5,11
70,45,0,24250,9650,4,3,359,215,4,0,4,3,2,1,0,1,0,0,0,3,1,2,2
0,115,0,29900,26250,5,5,500,500,5,5,5,5,2,5,5,5,4,5,0,5,4,2,8
90,8,1,4150,4500,2,2,121,170,0,0,1,2,1,0,0,0,0,0,0,0,0,0,1
19,96,0,29650,21000,5,5,485,486,5,5,5,5,2,4,4,2,1,1,2,3,4,15,9
11,104,0,4400,4250,5,4,500,369,0,0,4,4,1,0,0,0,0,0,0,1,0,9,7
40,40,1,4550,4350,4,5,400,500,0,0,2,3,0,0,0,1,0,0,1,1,1,6,10
96,19,0,34200,26000,5,1,446,44,5,1,5,1,5,0,0,0,0,0,0,2,0,16,11
0,115,0,25150,24750,5,5,500,500,3,4,5,5,2,5,5,3,4,3,1,4,5,5,7
120,18,1,26350,26050,1,1,10,44,1,1,1,1,1,0,0,0,0,0,0,0,0,4,1
37,78,0,30950,23500,3,2,244,142,3,2,3,2,3,1,1,0,0,1,0,1,0,4,4
38,77,0,27550,26650,4,4,357,331,3,4,4,4,1,0,2,0,1,0,0,3,2,7,13
70,45,0,26350,24450,2,2,119,124,2,2,2,2,1,0,0,0,0,0,0,1,0,12,8
72,38,1,1200,25000,2,5,110,251,0,5,0,5,0,0,2,0,0,0,1,0,3,8,12
114,25,1,27000,26550,3,1,225,21,2,1,3,1,1,1,0,0,0,0,0,1,0,7,5
55,60,0,4200,4200,2,5,170,437,0,0,1,4,0,0,1,0,0,0,0,1,1,0,1
104,11,0,30150,22100,3,2,248,200,3,2,3,2,3,0,0,0,0,0,0,3,0,7,4
13,102,0,4500,4350,5,4,500,400,0,0,4,2,0,0,0,0,0,0,0,0,2,0,1
18,97,0,31650,25100,4,4,400,306,4,4,4,4,3,3,2,1,2,2,0,3,4,10,2
63,52,0,9050,23600,4,3,286,293,2,3,4,3,0,0,3,0,2,0,0,0,2,8,10
88,27,0,30000,25950,5,5,443,366,4,5,5,5,4,0,0,0,1,1,2,1,1,3,11
0,115,0,3450,4350,5,5,500,500,0,0,3,3,0,1,2,0,1,0,0,1,1,0,1
41,74,0,5750,27550,4,5,396,441,0,5,1,5,0,0,4,0,0,0,4,0,2,4,6
96,19,0,30300,25800,3,2,227,69,2,2,3,2,1,0,0,0,0,1,0,1,1,4,2
30,85,0,31300,24700,4,3,340,216,1,3,4,3,3,4,2,2,3,3,1,3,0,9,12
45,70,0,28900,6400,4,3,400,165,3,0,4,0,2,2,1,1,1,2,0,3,0,11,10
94,21,0,21700,7300,3,2,297,140,3,0,3,0,2,0,0,0,0,0,0,1,0,12,6
29,86,0,32250,19200,4,3,303,224,4,2,4,3,4,2,2,3,1,0,0,3,1,16,8
16,99,0,25700,24550,5,5,473,446,3,5,5,5,1,1,4,1,5,1,1,3,1,2,6
79,36,0,12650,18800,4,1,187,1,1,1,4,1,0,0,1,0,0,0,0,1,0,1,1
42,73,0,12550,19850,5,5,479,500,2,5,5,5,0,3,1,0,1,1,2,1,3,0,2
97,40,1,19250,25700,3,4,300,309,0,4,2,4,1,0,0,0,0,0,0,0,1,14,10
57,58,0,15650,25500,4,3,293,296,0,3,3,3,0,1,2,0,0,0,0,0,0,11,10
28,87,0,31550,17600,4,2,346,173,4,1,4,2,4,4,0,3,1,0,0,3,0,5,2
88,11,1,24500,24050,1,1,19,50,1,1,1,1,0,0,0,0,0,0,0,0,0,6,6
52,63,0,28200,26050,5,1,420,4,3,1,5,1,2,4,0,1,1,1,0,5,0,2,5
15,100,0,17350,26400,5,4,500,400,0,4,5,4,0,3,4,0,3,1,1,1,4,9,13
46,69,0,22600,24350,5,3,333,300,2,3,5,3,0,1,2,1,1,0,0,3,2,8,5
102,40,1,10900,18800,2,4,189,240,0,4,1,4,0,0,0,0,1,0,0,0,0,0,3
83,29,1,10650,18500,3,3,273,98,2,3,3,3,0,1,0,0,0,0,0,0,1,1,1
38,77,0,30650,8750,5,1,463,100,5,0,5,1,4,1,0,1,0,0,0,4,0,13,13
28,87,0,28900,28250,2,5,108,418,2,5,2,5,2,1,3,2,3,1,1,2,2,2,12
85,30,0,31250,14050,5,2,470,154,5,1,5,2,5,0,0,1,0,0,0,2,0,16,6
55,60,0,30150,26350,4,2,302,146,4,2,4,2,3,2,0,0,1,1,0,1,2,8,3
34,81,0,32450,12100,4,4,400,365,4,3,4,4,4,4,0,0,1,3,0,3,0,12,9
41,74,0,5550,26950,5,5,403,426,0,5,1,5,0,1,4,0,1,2,0,1,2,4,5
0,115,0,4750,25650,5,5,500,500,0,5,1,5,0,0,5,0,5,0,4,0,5,1,4
41,74,0,29950,26450,3,3,219,122,2,3,3,3,2,1,2,1,1,2,0,3,1,9,11
83,32,0,28950,19850,3,1,300,99,3,0,3,1,2,2,0,0,1,1,0,2,1,7,4
50,40,1,28300,25000,2,3,200,254,1,3,2,3,1,1,0,0,1,0,0,1,1,6,15
61,54,0,23700,27150,4,2,323,199,1,2,4,2,0,2,0,1,1,0,0,0,1,7,8
60,55,0,27500,25000,5,4,350,373,4,4,5,4,2,2,3,1,1,0,0,4,2,1,4
36,79,0,15550,28150,5,4,474,275,1,4,4,4,1,2,3,0,2,0,2,2,2,2,6
28,87,0,24600,28750,5,5,500,500,3,5,5,5,1,3,5,3,4,1,0,4,4,9,6
63,52,0,25900,26050,4,4,360,277,0,4,4,4,0,2,2,0,1,0,1,3,0,6,2
53,62,0,29550,27150,5,4,442,400,1,4,5,4,3,2,3,2,0,2,1,3,1,2,4
84,31,0,8550,23900,3,3,300,158,0,3,1,3,0,2,0,0,0,0,0,0,1,12,10
42,73,0,30650,19550,5,4,353,306,3,4,5,4,4,3,3,2,1,1,0,5,4,3,6
44,71,0,32150,7300,5,1,337,16,5,0,5,1,5,4,0,2,0,1,0,4,0,5,5
112,39,1,32050,22200,2,3,146,240,2,3,2,3,1,1,1,0,0,0,0,0,0,3,2
21,94,0,22800,25950,5,4,446,400,2,4,5,4,1,4,3,1,1,2,0,3,3,6,8
0,115,0,10150,14750,5,5,500,500,2,5,5,5,0,5,3,0,2,4,2,4,3,9,8
77,38,0,4550,4350,5,1,467,45,0,0,3,1,0,0,0,0,0,0,0,2,0,8,8
86,29,0,31550,27050,5,3,415,216,2,3,5,3,4,2,0,0,2,0,0,3,1,4,8
75,40,0,31850,25100,2,1,165,12,2,1,2,1,2,0,1,0,1,0,0,0,1,10,14
97,40,1,31050,22100,2,5,200,363,2,5,2,5,2,0,1,0,0,0,0,0,1,9,15
46,69,0,23200,22100,4,4,319,382,3,4,4,4,2,1,1,1,0,0,0,2,2,6,12
83,32,0,26150,2800,5,2,421,166,4,0,5,0,3,1,0,1,0,1,0,3,0,6,5
