RoundTime,RoundTimeLeft,IsBombPlanted,CTEquipmentValue,TEquipmentValue,CTPlayersAlive,TPlayersAlive,CTPlayersTotHealth,TPlayersTotHealth,CTNumHelmets,TNumHelmets,CTNumArmors,TNumArmors,CTNumDefuseKits,CTNumSmokes,TNumSmokes,CTNumMollies,TNumMollies,CTNumHEGrenades,TNumHEGrenades,CTNumFlashes,TNumFlashes,CTScore,TScore
108,7,0,28750,22300,3,1,213,71,3,1,3,1,3,0,0,1,0,0,0,0,1,16,10
66,49,0,27350,23400,2,4,200,310,2,4,2,4,2,0,2,0,0,1,1,1,1,4,1
130,11,1,31250,25000,1,2,70,161,1,2,1,2,1,0,0,0,0,0,0,0,1,22,23
72,27,1,4000,4250,2,1,185,92,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
97,18,0,29750,25250,2,4,105,345,1,4,2,4,2,1,0,0,0,0,0,0,2,4,6
64,51,0,24900,21200,4,5,338,301,4,5,4,5,2,2,1,0,0,0,0,1,2,8,7
46,69,0,6700,24600,4,4,312,367,2,4,2,4,0,1,4,0,0,0,0,0,3,9,9
0,115,0,29150,18450,5,5,500,500,5,5,5,5,3,5,4,2,1,3,0,4,2,16,10
61,54,0,4350,24300,4,5,278,402,1,5,2,5,0,0,3,0,2,0,1,0,4,0,3
24,91,0,11250,18300,1,3,100,187,0,3,1,3,0,0,1,0,1,0,1,0,0,4,13
60,55,0,33350,26700,4,3,242,162,4,3,4,3,4,1,1,2,1,2,0,3,0,7,8
68,16,1,26400,26000,2,2,137,200,0,2,2,2,2,1,0,0,0,1,0,0,0,13,11
13,102,0,30000,20950,5,5,500,452,5,5,5,5,4,5,5,2,1,4,1,4,4,6,7
20,95,0,30550,4450,5,5,500,405,5,1,5,2,4,4,0,3,0,3,0,3,1,9,4
24,91,0,31250,18950,5,5,413,480,5,4,5,5,5,3,4,2,0,1,1,5,3,14,11
26,89,0,32350,9300,5,2,405,200,5,1,5,1,5,3,1,1,0,2,0,3,0,14,15
116,18,1,4100,4250,1,3,100,148,0,0,0,2,0,0,0,0,0,0,0,1,0,4,12
0,115,0,31450,27250,5,5,500,500,5,5,5,5,3,5,5,5,5,5,1,5,5,3,5
96,40,1,4200,3700,1,1,100,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
84,30,1,6050,24300,1,5,39,345,0,5,1,5,0,0,1,0,0,0,0,0,2,10,11
43,25,1,4350,4150,3,3,270,244,0,0,2,2,0,1,0,0,0,0,0,0,0,0,1
34,81,0,27500,26650,4,5,368,312,3,5,4,5,2,3,4,2,2,0,0,2,3,1,4
61,54,0,26450,22100,2,1,164,73,2,1,2,1,2,1,0,0,0,0,0,1,0,12,6
71,44,0,21050,1000,5,3,409,257,5,0,5,0,2,1,0,1,0,1,0,2,0,2,0
101,14,0,19250,10700,4,2,280,51,4,2,4,2,1,0,0,0,0,0,0,2,0,2,0
77,38,0,23850,22700,3,4,211,329,1,4,3,4,0,1,3,1,1,0,1,1,1,9,3
83,32,0,17950,10150,5,5,500,405,5,4,5,5,1,1,2,0,0,2,0,0,0,2,0
94,21,0,29250,25950,4,5,397,346,1,5,4,5,3,1,2,0,0,1,1,3,0,5,8
66,49,0,27450,5650,3,4,267,252,3,0,3,1,3,1,0,0,0,0,0,2,0,15,3
32,83,0,24350,17700,4,1,319,73,4,1,4,1,3,2,1,1,1,1,0,3,1,11,15
78,37,0,21750,13600,5,5,473,407,5,3,5,3,2,0,0,0,2,0,0,2,2,11,6
88,37,1,12200,20050,3,4,203,228,1,4,3,4,0,0,0,0,0,0,0,1,0,5,14
114,36,1,28450,27000,1,1,100,72,0,1,1,1,0,0,0,0,0,0,0,0,0,0,5
0,115,0,10600,18450,5,5,500,500,2,5,4,5,0,4,3,0,2,4,1,1,5,1,1
105,10,0,28600,22600,3,1,248,73,2,1,3,1,2,1,0,0,0,0,0,0,0,14,10
103,13,1,27600,27550,1,4,8,231,1,4,1,4,1,0,0,0,0,0,0,0,0,18,16
81,12,1,33950,27350,2,4,35,212,1,4,2,4,1,0,1,0,0,0,0,0,2,10,5
16,99,0,4400,4350,4,4,370,341,0,0,3,3,1,0,0,0,0,0,0,0,0,0,1
0,115,0,24850,27350,5,5,500,500,2,5,5,5,1,3,5,3,5,1,2,4,5,10,12
15,100,0,29700,27750,4,5,308,386,4,5,4,5,1,4,4,4,3,2,0,4,4,12,15
17,98,0,30250,14100,4,2,337,200,4,1,4,1,3,3,0,4,0,2,0,3,1,12,9
92,40,1,29150,14050,1,1,100,95,1,0,1,1,1,1,0,0,0,0,0,1,1,6,1
82,33,0,29700,21750,3,3,273,235,2,2,3,3,2,0,0,0,0,0,0,3,1,10,14
120,-3,1,31750,25650,1,3,100,116,1,3,1,3,1,1,0,0,0,0,1,0,1,2,9
87,28,0,26900,24450,5,4,384,248,4,4,5,4,1,0,1,0,0,0,0,2,0,0,4
51,64,0,2000,24050,2,4,122,400,0,4,0,4,0,0,3,0,0,0,0,1,2,7,12
44,71,0,26000,22850,5,3,485,209,3,3,5,3,2,2,0,0,1,1,2,3,2,3,7
103,12,0,14750,22600,3,2,189,110,0,2,3,2,0,1,0,0,0,0,0,1,1,5,4
78,40,1,31250,23650,2,2,200,191,2,2,2,2,2,1,0,0,0,0,0,2,1,17,16
50,65,0,34800,26500,2,3,168,171,2,3,2,3,2,0,0,1,1,0,0,1,0,15,11
0,115,0,4000,4550,5,5,500,500,0,0,4,3,0,0,2,0,1,0,1,1,1,9,7
43,40,1,23950,25000,3,4,273,390,2,4,3,4,3,2,0,1,0,1,0,2,0,10,15
82,33,0,11050,17700,5,4,467,314,2,4,5,4,0,1,1,0,0,0,0,0,0,7,10
