RoundTime,RoundTimeLeft,IsBombPlanted,CTEquipmentValue,TEquipmentValue,CTPlayersAlive,TPlayersAlive,CTPlayersTotHealth,TPlayersTotHealth,CTNumHelmets,TNumHelmets,CTNumArmors,TNumArmors,CTNumDefuseKits,CTNumSmokes,TNumSmokes,CTNumMollies,TNumMollies,CTNumHEGrenades,TNumHEGrenades,CTNumFlashes,TNumFlashes,CTScore,TScore
24,91,0,4400,4350,5,1,360,12,0,0,4,0,0,0,0,0,1,1,0,0,0,5,11
30,85,0,4450,4250,4,1,345,40,0,0,3,0,1,1,1,0,0,0,0,0,0,7,9
0,115,0,30750,23100,5,5,500,500,5,5,5,5,3,5,5,5,2,4,1,5,3,3,2
38,77,0,4300,4250,5,3,497,300,0,0,4,2,1,0,0,0,0,0,0,0,0,10,6
44,71,0,4450,4250,3,4,234,386,0,0,1,2,1,1,0,0,0,1,0,1,0,8,8
81,34,0,28600,14550,2,3,173,134,2,2,2,3,1,1,1,0,0,0,0,0,0,2,3
79,21,1,28800,26350,1,1,100,25,1,1,1,1,0,1,0,0,0,0,0,0,1,2,4
109,40,1,26050,27550,1,3,100,265,0,3,1,3,0,1,1,1,0,0,0,1,0,12,14
0,115,0,29150,27650,5,5,500,500,3,5,5,5,2,5,5,5,5,4,4,5,5,14,14
65,50,0,9200,22450,2,4,116,371,0,4,2,4,0,0,2,0,1,0,0,0,1,1,2
0,115,0,34600,27950,5,5,500,500,5,5,5,5,5,5,5,5,5,5,2,5,5,19,16
37,78,0,33150,28650,5,3,410,271,5,3,5,3,5,2,2,2,0,2,0,3,3,17,16
0,115,0,27550,27850,5,5,500,500,1,5,5,5,2,4,5,4,5,4,2,5,5,7,7
20,95,0,26000,27550,5,5,500,390,1,5,5,5,2,3,4,2,2,3,3,3,4,15,10
100,15,0,28400,26650,4,4,400,271,3,4,4,4,2,0,1,0,0,0,0,1,1,9,12
0,115,0,27300,24700,5,5,500,500,5,5,5,5,5,5,5,5,5,5,3,5,3,14,1
95,20,0,22600,25800,2,3,174,211,0,3,1,3,0,0,0,0,0,0,0,0,0,11,10
83,32,0,26200,4250,4,3,400,238,4,0,4,0,2,2,0,2,0,2,0,2,0,3,0
46,69,0,27900,23300,4,4,373,322,3,4,4,4,0,1,3,1,0,0,0,1,1,4,15
0,115,0,20700,10300,5,5,500,500,5,5,5,5,2,5,4,3,0,3,2,4,2,14,3
0,115,0,10450,18050,5,5,500,500,2,5,5,5,0,4,5,1,4,1,4,0,5,0,2
97,40,1,4450,22050,1,4,100,371,0,4,0,4,0,0,2,0,1,0,0,0,2,4,14
0,115,0,8800,27850,5,5,500,500,0,5,4,5,0,5,5,0,5,4,3,0,5,12,13
18,97,0,30850,20000,4,5,322,228,4,5,4,5,2,4,2,1,2,1,1,3,2,14,14
34,81,0,16850,21400,3,4,185,330,1,4,3,4,1,2,2,0,1,2,0,3,2,7,8
86,29,0,28550,22700,5,5,319,446,5,5,5,5,3,0,1,0,0,0,0,0,1,12,9
57,58,0,29500,24600,5,5,500,367,4,5,5,5,3,1,4,2,2,0,0,3,2,5,0
115,-1,1,4000,4450,0,3,0,140,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
79,36,0,8150,19750,2,3,164,179,0,3,1,3,0,1,1,0,0,0,0,0,1,11,6
0,115,0,3950,4250,5,5,500,500,0,0,3,5,0,0,0,0,0,1,0,2,0,1,0
78,37,0,24600,27550,5,4,412,335,2,4,5,4,0,0,2,2,0,0,1,3,2,2,7
126,22,1,29250,23550,1,1,25,27,1,1,1,1,1,0,0,0,0,0,0,0,0,14,15
84,31,0,26650,22250,3,4,300,312,2,3,3,3,2,0,1,0,0,2,0,1,0,3,2
93,27,1,22650,26850,1,4,100,318,0,4,1,4,0,0,2,0,1,0,0,0,0,9,16
69,46,0,27000,26850,3,3,262,215,3,3,3,3,1,1,2,1,0,1,1,2,2,9,2
80,35,0,31750,3700,5,2,452,111,5,0,5,0,4,1,0,0,0,0,0,4,1,3,1
