RoundTime,RoundTimeLeft,IsBombPlanted,CTEquipmentValue,TEquipmentValue,CTPlayersAlive,TPlayersAlive,CTPlayersTotHealth,TPlayersTotHealth,CTNumHelmets,TNumHelmets,CTNumArmors,TNumArmors,CTNumDefuseKits,CTNumSmokes,TNumSmokes,CTNumMollies,TNumMollies,CTNumHEGrenades,TNumHEGrenades,CTNumFlashes,TNumFlashes,CTScore,TScore
21,94,0,26900,21500,4,4,400,400,0,4,4,4,0,3,1,1,4,1,0,1,1,0,4
0,115,0,25350,27550,5,5,500,500,2,5,5,5,3,5,5,5,5,4,2,5,5,9,16
0,115,0,28700,5950,5,5,500,500,5,1,5,2,3,5,2,5,0,5,0,5,0,4,2
44,71,0,30950,11850,2,4,200,342,2,1,2,2,2,0,0,0,0,0,0,2,1,7,6
0,115,0,31100,26950,5,5,500,500,4,5,5,5,5,5,4,5,4,3,1,5,6,17,17
55,60,0,4500,4250,4,1,400,99,0,0,3,1,1,0,0,0,0,0,0,1,0,11,5
0,115,0,25000,6700,5,5,500,500,3,1,5,1,2,5,3,2,0,1,0,4,1,13,13
0,115,0,29150,24750,5,5,500,500,4,5,5,5,4,5,3,5,3,3,1,4,3,15,7
67,15,1,26000,3200,2,2,115,65,2,0,2,0,1,2,0,1,0,0,0,2,0,8,15
112,21,1,29650,13550,1,1,48,18,1,0,1,1,1,0,0,1,0,0,0,0,0,4,1
87,28,0,31650,25300,4,3,317,207,4,2,4,3,3,1,1,1,1,1,0,3,1,11,12
57,58,0,26700,24100,5,5,393,402,4,5,5,5,3,1,0,2,0,2,0,3,1,7,12
56,59,0,28250,27550,2,3,130,210,0,3,2,3,1,1,1,1,0,0,1,1,3,1,11
0,115,0,28100,26450,5,5,500,500,4,5,5,5,4,5,5,5,3,3,2,5,5,12,10
136,15,1,28000,24750,1,3,100,274,0,3,1,3,0,0,1,1,0,0,2,0,1,5,7
19,96,0,32900,12550,5,4,453,400,5,4,5,4,4,2,3,3,2,2,0,2,2,16,6
47,68,0,30550,23400,3,2,261,200,3,2,3,2,2,0,0,0,1,0,0,1,1,5,2
108,10,1,14000,25850,1,3,30,239,0,3,0,3,0,1,0,0,0,0,0,0,1,3,7
0,115,0,6500,18900,5,5,500,500,1,5,1,5,0,1,4,0,2,0,2,1,4,10,8
18,97,0,32150,23650,4,5,317,486,3,5,4,5,4,2,3,3,2,2,1,3,5,8,16
66,49,0,25150,22900,4,1,216,34,1,1,4,1,0,1,0,1,1,0,1,1,1,11,14
78,37,0,32450,15000,3,1,228,92,3,1,3,1,3,1,0,0,0,0,0,0,0,15,15
96,19,0,32050,22900,2,2,143,119,2,2,2,2,2,0,1,0,0,1,0,0,1,13,7
12,103,0,30050,24850,5,5,439,448,5,4,5,5,3,5,3,2,2,4,0,4,4,7,3
41,38,1,32400,24600,3,3,248,214,2,3,3,3,2,2,0,1,2,3,1,3,2,14,14
83,32,0,31150,27050,5,4,387,301,3,4,5,4,3,1,0,2,1,1,1,3,4,16,18
39,76,0,29000,27150,2,4,200,328,1,4,2,4,1,2,1,2,1,1,0,1,2,18,19
22,93,0,27800,26850,5,4,473,333,3,4,5,4,4,3,2,4,3,1,1,5,2,14,15
14,101,0,28350,27250,5,4,500,349,5,4,5,4,1,5,3,2,3,2,1,3,4,9,13
44,71,0,28950,24250,4,3,245,286,0,3,4,3,1,2,0,0,1,0,1,4,2,5,3
28,87,0,29950,18100,4,1,400,78,4,1,4,1,3,0,0,0,0,3,0,2,1,12,3
24,91,0,34650,23200,4,5,367,441,4,5,4,5,4,2,3,1,1,3,1,2,3,10,5
0,115,0,10350,19600,5,5,500,500,2,5,4,5,0,3,5,0,1,1,0,2,3,0,2
36,79,0,28100,26250,5,4,374,225,2,4,5,4,1,2,2,0,3,1,0,2,3,1,3
0,115,0,8700,26450,5,5,500,500,1,5,3,5,0,2,5,0,5,0,0,2,5,0,5
74,41,0,24200,25700,3,2,211,24,0,2,2,2,0,1,2,0,1,0,0,2,1,5,7
68,47,0,14850,24000,3,2,172,200,0,2,1,2,0,1,1,0,0,0,0,1,0,15,10
46,69,0,27050,27000,4,2,400,113,3,2,4,2,2,1,2,1,1,0,0,1,2,10,8
40,75,0,30950,24300,4,2,271,127,4,2,4,2,3,2,1,1,2,2,0,1,1,4,0
9,106,0,29350,5150,5,4,500,400,3,1,5,2,4,4,0,2,0,3,0,4,0,8,12
21,94,0,21850,1800,5,3,500,300,5,0,5,0,2,3,1,1,0,2,0,4,0,13,5
30,85,0,29450,24900,2,5,108,410,2,5,2,5,1,1,2,0,3,1,0,1,5,3,1
23,92,0,29700,26650,5,5,441,473,4,5,5,5,2,4,2,3,3,3,0,3,4,14,10
47,68,0,29600,6800,4,3,321,198,3,0,4,0,3,2,0,1,1,1,0,3,0,12,11
0,115,0,4400,4200,5,5,500,500,0,0,4,4,1,0,1,0,0,0,0,1,1,11,5
147,-2,1,10350,18500,2,4,81,263,0,4,1,4,0,0,0,0,0,0,0,0,1,0,3
82,33,0,25000,25350,2,4,119,275,2,4,2,4,1,0,1,0,0,0,0,1,2,11,11
36,79,0,30100,9950,5,4,389,316,4,0,5,1,3,3,0,2,0,2,0,4,2,7,7
94,23,1,13000,20000,2,2,178,129,1,2,1,2,0,0,0,0,0,0,0,0,1,5,12
11,104,0,24400,26150,5,5,500,416,1,5,5,5,0,3,3,3,2,1,1,5,4,13,8
24,39,1,26400,17600,4,4,357,295,4,4,4,4,2,4,0,1,0,3,0,3,0,2,1
29,86,0,4500,25850,2,3,116,205,0,3,0,3,0,0,3,0,2,0,1,0,2,9,4
25,90,0,27000,25000,5,3,500,222,0,3,5,3,1,3,2,3,3,0,1,4,2,9,10
77,38,0,2600,26850,4,3,322,185,0,3,0,3,0,0,0,0,1,0,0,0,1,2,5
37,40,1,7850,19800,4,5,375,500,2,5,3,5,1,2,2,0,3,0,0,0,2,9,9
0,115,0,31400,27450,5,5,500,500,4,5,5,5,5,5,4,5,5,4,0,5,5,16,15
93,22,0,28250,26350,3,3,144,146,1,3,3,3,1,0,1,0,2,0,1,2,1,15,12
103,40,1,13150,21000,3,3,252,232,2,3,3,3,0,0,0,0,0,0,0,0,1,0,2
78,40,1,30700,21150,3,5,300,454,2,5,3,5,2,0,0,2,1,0,0,1,3,5,1
17,98,0,26950,8950,5,3,382,300,5,0,5,1,2,4,1,1,0,3,0,2,2,9,5
23,92,0,4300,4200,5,3,431,286,0,0,4,2,1,0,0,0,0,0,0,0,0,1,0
37,78,0,12750,16850,5,2,456,112,2,2,5,2,0,1,0,1,0,0,0,0,1,1,1
80,35,0,31650,28250,4,4,397,400,4,4,4,4,4,1,0,0,3,0,1,3,3,17,16
19,96,0,29100,27150,5,5,436,368,4,5,5,5,3,4,2,2,3,2,0,2,3,15,13
67,48,0,31450,26450,4,4,400,375,4,4,4,4,4,0,2,1,0,1,1,4,4,17,17
0,115,0,32300,8150,5,5,500,500,5,1,5,4,3,5,3,5,0,4,0,5,5,10,1
72,43,0,19150,24950,5,4,499,400,1,4,4,4,1,0,0,0,1,0,0,0,3,8,2
0,115,0,30950,24100,5,5,500,500,5,5,5,5,4,5,5,5,3,4,1,5,4,9,12
27,88,0,31850,3800,5,4,432,238,5,0,5,0,4,3,0,1,0,2,0,3,0,5,6
34,81,0,4450,4150,5,4,426,248,0,0,3,1,1,1,0,0,0,2,0,1,1,6,10
93,22,0,21600,26750,2,3,173,218,0,3,2,3,0,1,3,0,1,0,0,0,2,16,11
52,63,0,25750,7100,3,3,296,222,3,1,3,2,0,1,0,0,0,0,0,1,0,7,2
61,20,1,4450,4200,4,3,340,249,0,0,3,2,0,0,0,0,0,0,0,0,0,9,7
12,103,0,25000,1500,5,5,442,463,5,0,5,0,2,4,0,2,0,4,0,2,0,3,0
25,90,0,28100,6050,3,3,300,49,3,0,3,0,1,1,0,1,0,0,0,0,0,5,6
40,33,1,4400,4550,5,4,500,387,0,0,4,2,0,1,0,0,0,1,1,1,1,12,4
49,40,1,33650,24200,4,2,308,200,4,2,4,2,4,2,1,1,1,0,0,2,1,10,5
14,101,0,9150,19450,5,5,500,430,3,5,4,5,0,5,4,0,3,0,0,1,4,0,2
49,66,0,32550,24300,4,3,311,183,3,3,4,3,3,2,1,2,1,2,0,4,1,5,4
24,91,0,27050,21500,5,5,500,500,5,5,5,5,3,2,3,2,3,0,0,2,5,2,1
0,115,0,24750,22500,5,5,500,500,5,5,5,5,2,5,4,3,1,4,0,4,5,9,11
104,39,1,4450,4300,4,2,259,120,0,0,3,1,1,0,0,0,0,0,0,0,0,9,7
29,86,0,30950,20500,3,5,300,412,3,5,3,5,2,1,3,0,3,3,1,3,3,12,11
65,50,0,29500,7700,5,1,406,100,4,0,5,1,3,4,0,0,0,2,0,2,1,9,10
0,115,0,4300,4350,5,5,500,500,0,0,4,3,1,1,2,0,1,0,0,0,1,6,10
30,85,0,2700,21400,2,5,113,363,0,5,0,5,0,0,3,0,2,0,1,0,3,4,14
30,85,0,29950,27050,5,3,404,238,5,3,5,3,2,2,1,0,1,2,1,4,3,8,15
13,102,0,10900,19500,5,5,453,385,1,5,4,5,0,2,3,0,3,1,0,1,2,12,5
63,52,0,27550,24000,3,1,273,34,1,1,3,1,0,0,0,0,0,0,0,0,1,14,8
65,50,0,26200,24000,4,2,310,124,3,2,4,2,3,0,2,0,1,1,0,1,0,9,9
50,65,0,27700,27450,5,5,456,451,2,5,5,5,2,0,1,1,3,2,0,3,2,9,13
83,32,0,27400,27450,4,4,400,251,1,4,4,4,0,1,0,0,1,0,1,1,2,9,15
83,32,0,28700,24200,5,3,470,267,0,3,5,3,1,1,0,0,1,0,1,2,2,7,12
79,36,0,31050,1000,5,5,404,500,5,0,5,0,5,3,0,1,0,0,0,4,0,6,7
0,115,0,32050,27650,5,5,500,500,5,5,5,5,5,5,5,5,5,3,0,5,5,19,17
14,101,0,30750,8200,5,3,448,154,5,1,5,2,3,4,1,2,0,2,0,4,0,12,1
38,77,0,25000,25850,3,5,222,425,2,5,3,5,2,1,1,0,0,2,0,1,2,12,14
87,28,0,30000,27350,5,4,434,400,4,4,5,4,4,1,0,0,1,0,1,2,3,16,15
93,22,0,10250,19950,2,3,114,270,0,3,2,3,0,0,0,0,0,0,0,0,2,0,2
113,31,1,27950,27150,1,2,18,103,0,2,1,2,1,1,0,0,0,0,0,0,0,21,20
0,115,0,34200,27050,5,5,500,500,5,5,5,5,5,5,5,5,5,4,0,5,5,18,17
91,24,0,27000,18500,3,1,198,15,3,1,3,1,2,0,0,1,0,0,0,0,0,12,7
9,106,0,35300,22350,5,5,404,479,5,5,5,5,5,5,2,4,3,5,0,4,3,15,15
40,75,0,23650,11600,4,3,216,274,1,1,4,3,0,2,0,0,0,0,0,1,0,4,5
