RoundTime,RoundTimeLeft,IsBombPlanted,CTEquipmentValue,TEquipmentValue,CTPlayersAlive,TPlayersAlive,CTPlayersTotHealth,TPlayersTotHealth,CTNumHelmets,TNumHelmets,CTNumArmors,TNumArmors,CTNumDefuseKits,CTNumSmokes,TNumSmokes,CTNumMollies,TNumMollies,CTNumHEGrenades,TNumHEGrenades,CTNumFlashes,TNumFlashes,CTScore,TScore
61,54,0,5500,25600,4,1,331,8,0,1,0,1,0,0,0,0,0,0,0,0,0,3,2
0,115,0,30350,21850,5,5,500,500,5,5,5,5,4,5,3,5,2,2,0,5,3,11,3
29,86,0,4450,4250,4,4,400,400,0,0,2,2,1,1,0,0,0,2,0,1,1,0,1
63,52,0,30300,22900,2,1,146,100,2,1,2,1,1,0,0,0,0,0,1,1,1,8,13
98,17,0,29900,25850,3,1,299,100,3,1,3,1,1,0,0,1,0,0,1,1,0,9,6
28,87,0,31100,24050,5,5,468,479,4,4,5,5,3,4,1,1,3,2,1,4,4,8,3
55,19,1,4500,4350,3,5,263,344,0,0,2,3,0,0,0,0,0,0,0,1,0,7,9
38,77,0,27300,27050,5,3,333,220,2,3,4,3,1,3,0,1,2,1,0,0,2,10,15
39,76,0,18700,1500,4,3,342,253,3,0,4,0,2,3,0,0,0,0,0,3,0,10,7
53,62,0,32800,8600,3,1,297,13,3,0,3,1,3,1,0,1,0,2,0,2,0,10,3
0,115,0,32600,6900,5,5,500,500,5,0,5,2,5,5,3,5,0,5,0,5,1,5,3
73,17,1,22850,21850,5,4,390,372,0,4,5,4,0,1,0,0,0,0,0,0,0,2,3
37,78,0,4300,4400,3,5,166,327,0,0,2,3,1,1,0,0,0,0,0,0,0,0,1
23,92,0,13550,25200,5,5,492,447,0,5,4,5,1,2,4,0,4,0,2,0,4,3,5
35,80,0,31350,14500,3,2,227,78,3,1,3,2,3,0,0,0,0,0,0,2,0,5,4
23,92,0,20600,13450,5,4,438,296,5,2,5,3,1,4,1,0,0,2,1,2,0,7,10
0,115,0,22150,13400,5,5,500,500,5,3,5,4,1,3,4,1,1,1,0,0,2,1,1
