RoundTime,RoundTimeLeft,IsBombPlanted,CTEquipmentValue,TEquipmentValue,CTPlayersAlive,TPlayersAlive,CTPlayersTotHealth,TPlayersTotHealth,CTNumHelmets,TNumHelmets,CTNumArmors,TNumArmors,CTNumDefuseKits,CTNumSmokes,TNumSmokes,CTNumMollies,TNumMollies,CTNumHEGrenades,TNumHEGrenades,CTNumFlashes,TNumFlashes,CTScore,TScore
116,26,1,25450,28050,2,2,89,157,1,2,2,2,1,0,0,1,1,0,0,0,2,1,5
108,22,1,27500,25150,2,2,183,139,1,2,2,2,2,0,0,0,0,0,0,0,0,8,4
91,24,0,20050,5900,3,5,300,385,3,0,3,0,0,1,1,0,0,1,0,2,0,2,0
74,41,0,25500,24000,4,1,301,74,0,1,4,1,0,2,0,0,0,0,0,1,0,7,14
54,33,1,4350,3850,1,4,100,369,0,0,1,2,0,0,0,0,0,0,0,0,0,8,8
0,115,0,34200,26550,5,5,500,500,5,5,5,5,5,5,5,5,3,5,2,5,4,8,7
36,79,0,28800,23300,5,5,419,454,2,5,5,5,1,3,1,1,4,2,0,3,2,5,14
72,43,0,4250,4000,5,5,492,458,0,0,5,4,0,0,0,0,0,0,0,0,0,9,7
68,47,0,25500,26000,5,5,500,354,4,5,5,5,1,0,1,0,1,0,0,1,2,14,6
71,44,0,29250,27050,5,2,437,148,3,2,5,2,1,1,1,1,1,1,0,0,1,13,8
105,40,1,30300,15850,3,3,250,101,3,3,3,3,1,0,0,0,0,0,0,0,0,10,14
33,82,0,24850,13550,5,5,500,454,4,2,5,5,2,3,0,1,0,1,1,3,1,15,12
53,62,0,30800,26250,4,5,319,421,1,5,4,5,4,1,2,0,2,1,1,2,2,15,19
62,53,0,19000,20350,3,1,154,78,1,1,3,1,0,0,0,1,0,0,0,1,1,3,1
48,67,0,19050,22000,1,3,100,132,0,3,1,3,0,1,0,0,0,0,1,0,2,3,4
16,99,0,1000,25100,4,4,312,324,0,4,0,4,0,0,3,0,3,0,0,0,3,6,13
142,-1,1,15300,27350,2,2,200,147,1,2,2,2,0,0,0,0,1,0,0,0,1,2,8
37,78,0,9400,21050,5,5,413,437,1,5,3,5,0,0,1,0,1,0,0,0,3,6,13
107,36,1,27950,27150,3,2,186,113,1,2,3,2,3,1,0,1,0,0,0,0,0,21,20
86,10,1,10350,26350,3,4,194,267,0,4,2,4,0,1,0,0,0,0,1,0,2,10,10
23,92,0,31050,11350,5,5,500,420,5,3,5,4,5,2,0,3,1,1,0,4,1,9,3
58,57,0,21650,15800,2,2,200,111,2,2,2,2,1,2,0,0,0,0,0,1,0,2,0
36,79,0,32050,11500,4,4,250,264,3,1,4,3,4,1,0,1,0,1,0,1,0,3,4
146,6,1,25850,24800,1,1,8,20,1,1,1,1,1,0,0,0,0,0,0,0,0,8,2
22,93,0,30450,15300,3,1,300,100,3,1,3,1,2,2,0,1,0,1,1,2,0,15,7
74,41,0,33600,26550,5,3,499,220,5,3,5,3,5,3,0,1,3,0,0,5,1,19,19
87,28,0,21400,1500,5,5,458,389,3,0,5,0,0,0,0,0,0,0,0,1,0,2,0
15,100,0,24000,24300,4,5,400,443,1,5,4,5,1,1,2,0,5,1,1,1,2,14,15
16,99,0,31150,22200,4,5,367,331,4,5,4,5,3,2,3,1,2,2,0,2,3,6,7
67,48,0,29550,25600,3,2,274,200,1,2,3,2,1,1,0,0,0,0,0,0,1,6,2
36,79,0,22650,25200,4,3,360,239,0,3,4,3,0,1,0,0,2,0,0,1,0,6,3
17,98,0,4300,20800,4,5,322,500,0,5,2,5,0,1,4,0,4,0,1,0,4,0,3
52,63,0,23450,25000,5,5,500,500,0,5,4,5,0,1,1,0,2,0,0,2,3,8,13
10,105,0,29700,18550,5,5,474,410,4,4,5,5,2,5,2,3,3,3,0,5,3,4,4
99,40,1,5950,22900,3,2,294,102,1,2,1,2,0,0,0,0,0,0,0,0,1,2,4
18,97,0,25700,22900,5,4,419,322,5,4,5,4,3,2,1,2,2,1,0,5,2,6,12
41,74,0,4400,4400,4,1,379,85,0,0,3,1,1,0,0,0,0,0,0,0,0,8,8
94,21,0,29550,30200,5,3,466,207,2,3,5,3,2,0,1,1,2,0,0,1,1,4,9
83,32,0,9950,25200,3,4,242,290,1,4,1,4,0,0,1,0,0,0,1,1,3,2,5
19,96,0,27350,26850,4,4,400,367,0,4,4,4,0,3,2,1,4,1,1,2,2,0,4
68,47,0,31500,26050,5,2,402,177,3,2,5,2,3,2,0,1,1,1,0,3,2,8,15
27,40,1,4450,4350,4,4,400,368,0,0,2,3,1,1,0,0,0,1,0,0,0,7,9
54,61,0,20650,2400,4,4,400,374,4,0,4,0,2,1,0,0,0,0,0,1,0,12,5
104,11,0,31050,9250,3,2,201,77,3,1,3,2,3,0,0,0,0,1,0,1,1,7,0
71,27,1,9500,22150,1,3,8,221,0,3,1,3,0,0,2,0,2,0,0,0,2,0,3
18,97,0,29800,9850,5,5,500,380,4,2,5,5,3,4,1,1,0,3,0,3,1,6,0
20,95,0,27850,26150,5,4,500,317,5,4,5,4,2,4,3,1,3,3,1,5,3,5,1
93,40,1,8200,27750,1,4,100,396,1,4,1,4,0,0,1,0,1,1,0,0,1,15,13
40,75,0,28750,10850,5,5,473,377,3,1,5,4,3,1,1,1,1,2,0,4,1,5,15
39,76,0,33100,8700,5,3,431,300,5,0,5,0,4,4,0,2,0,0,0,3,0,8,15
97,18,0,29600,24650,4,1,321,100,4,1,4,1,3,0,0,0,0,1,0,0,1,6,0
96,-1,1,4400,3750,1,3,100,300,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2
0,115,0,9100,19300,5,5,500,500,1,5,4,5,0,3,5,0,3,2,1,2,4,1,16
61,54,0,33500,25200,4,4,399,400,4,3,4,4,3,1,0,0,2,2,0,2,2,7,6
77,38,0,27500,27150,4,5,332,460,2,5,4,5,0,0,2,0,2,0,1,1,4,13,14
53,62,0,27950,24400,3,4,295,236,0,4,3,4,0,0,1,0,3,1,0,3,4,2,3
73,29,1,31750,9950,3,3,129,124,2,2,3,3,2,2,0,0,0,0,0,0,0,12,8
24,91,0,1300,21450,4,5,339,428,0,5,0,5,0,0,4,0,3,0,2,1,3,0,3
44,71,0,30400,25450,5,2,424,200,4,2,5,2,4,2,0,2,1,1,0,5,1,18,16
0,115,0,26000,5300,5,5,500,500,5,1,5,1,4,4,3,5,1,4,0,4,1,8,5
67,48,0,32150,14250,5,4,499,313,4,4,5,4,2,1,0,2,1,3,0,3,1,3,4
28,87,0,2200,21450,5,3,475,235,0,3,0,3,0,0,2,0,2,0,0,0,1,9,9
0,115,0,30750,23350,5,5,500,500,5,5,5,5,3,5,5,5,5,4,0,4,5,14,14
61,40,1,29200,26250,1,3,3,300,1,3,1,3,0,0,0,0,0,0,0,0,1,4,10
24,91,0,31250,8850,4,3,400,167,4,1,4,2,4,4,0,0,0,2,0,4,0,14,7
0,115,0,3650,4200,5,5,500,500,0,0,3,4,1,1,1,0,0,0,0,0,1,0,1
0,115,0,31600,21150,5,5,500,500,3,5,5,5,3,5,5,4,3,4,0,5,5,7,6
45,37,1,4250,3850,3,2,163,169,0,0,3,1,0,0,0,0,0,0,0,0,1,11,5
68,47,0,28500,12000,2,1,98,73,2,1,2,1,2,1,0,0,0,0,0,1,0,15,15
54,61,0,24750,26650,5,3,500,247,1,3,4,3,2,0,1,0,2,0,0,1,3,3,1
37,78,0,29300,27350,5,4,500,400,4,4,5,4,3,2,0,0,1,2,1,2,3,13,14
0,115,0,26450,25950,5,5,500,500,2,5,5,5,1,4,5,4,2,4,0,4,5,5,8
14,101,0,21750,27050,5,5,446,366,2,5,5,5,0,3,3,1,3,1,1,4,5,4,1
104,11,0,29500,26050,3,2,300,142,0,2,3,2,3,0,1,0,1,0,2,0,1,22,21
79,36,0,15800,26650,4,5,374,437,0,5,4,5,0,1,1,0,1,0,1,1,1,3,16
0,115,0,26900,28250,5,5,500,500,0,5,5,5,4,5,5,5,5,5,1,5,5,6,5
34,81,0,29700,26650,4,5,399,473,3,5,4,5,2,3,1,1,2,2,0,2,3,14,10
78,37,0,28850,24950,3,2,217,111,0,2,3,2,2,0,1,0,1,0,0,0,0,18,16
34,81,0,20700,16200,5,5,455,366,5,5,5,5,1,4,1,1,0,2,0,3,1,9,8
104,40,1,32500,25750,1,3,100,275,1,3,1,3,0,0,0,0,0,0,0,0,0,9,11
15,100,0,32150,11200,4,4,400,253,4,2,4,4,4,4,0,4,0,3,0,4,1,8,1
0,115,0,3600,4300,5,5,500,500,0,0,4,3,0,0,0,0,0,0,0,0,0,1,0
90,25,0,7400,23850,2,1,116,7,0,1,0,1,0,1,0,0,0,0,0,0,0,15,8
21,94,0,33050,24900,5,5,410,479,4,5,5,5,4,4,3,1,4,1,1,2,4,12,13
98,9,1,25450,21250,1,3,75,272,1,2,1,3,0,0,0,0,0,0,0,0,0,14,16
72,43,0,30350,23700,5,3,500,292,5,3,5,3,4,0,1,0,1,0,0,3,1,7,1
40,75,0,8900,26350,2,4,65,344,0,4,1,4,0,0,2,0,2,0,0,0,3,5,7
20,95,0,30400,15050,5,4,383,317,5,2,5,2,3,3,2,2,2,2,1,4,2,16,3
83,32,0,28600,21150,1,2,47,109,1,1,1,2,1,0,1,0,0,0,0,1,0,3,2
84,31,0,35200,25950,5,5,474,412,5,5,5,5,4,1,1,0,2,0,0,3,3,10,12
50,65,0,29900,20850,5,5,500,426,5,4,5,5,3,2,1,0,1,1,0,2,0,3,4
32,83,0,31650,16750,5,5,500,406,5,5,5,5,4,3,2,1,3,2,0,3,3,16,10
92,34,1,17450,27650,2,2,146,166,0,2,2,2,0,0,0,0,0,1,0,1,0,10,16
78,19,1,12150,27150,3,2,266,97,1,2,1,2,0,0,0,0,0,0,1,0,2,3,5
54,61,0,29650,9550,4,1,279,17,4,0,4,1,4,2,0,1,0,1,0,1,0,5,2
113,29,1,26200,25850,2,2,93,149,2,2,2,2,0,0,0,0,0,0,0,1,1,9,9
9,106,0,30600,22800,5,5,500,500,4,5,5,5,4,5,2,4,3,4,0,4,2,5,1
62,53,0,4300,4000,4,5,400,485,0,0,3,4,1,1,0,0,0,0,0,0,0,11,5
86,39,1,7600,25550,4,5,400,495,0,5,0,5,0,0,0,0,0,0,0,0,3,13,8
26,89,0,24400,26850,5,5,412,451,2,5,5,5,1,1,3,1,3,1,2,2,4,3,11
0,115,0,17950,9600,5,5,500,500,5,5,5,5,1,3,3,1,0,2,0,3,1,11,6
102,13,0,24800,25250,3,2,230,112,2,2,3,2,0,1,0,0,0,1,1,0,0,15,14
67,48,0,2700,25050,3,4,234,400,0,4,0,4,0,0,0,0,0,0,1,0,3,10,12
49,36,1,32850,27050,1,4,46,290,1,4,1,4,1,1,0,0,0,0,0,1,2,10,5
0,115,0,27300,11450,5,5,500,500,5,3,5,4,2,5,3,4,0,5,0,4,1,4,0
0,115,0,20600,1500,5,5,500,500,5,0,5,0,1,3,0,1,0,1,0,1,0,2,0
100,15,0,24050,23950,3,3,221,214,2,3,3,3,1,1,0,1,0,0,0,3,1,8,11
35,80,0,21700,14400,3,2,191,105,3,2,3,2,0,1,0,0,0,0,0,0,0,6,11
17,98,0,30950,25300,5,2,422,200,3,2,5,2,4,4,0,2,2,2,0,4,1,9,6
24,91,0,32850,21300,5,4,426,259,4,3,5,4,4,4,0,2,0,2,1,3,1,7,5
29,86,0,5950,27050,2,4,126,400,0,4,1,4,0,0,1,0,2,0,1,0,3,0,5
86,29,0,31950,17150,4,3,400,105,4,3,4,3,4,1,0,0,0,0,0,1,0,13,9
