RoundTime,RoundTimeLeft,IsBombPlanted,CTEquipmentValue,TEquipmentValue,CTPlayersAlive,TPlayersAlive,CTPlayersTotHealth,TPlayersTotHealth,CTNumHelmets,TNumHelmets,CTNumArmors,TNumArmors,CTNumDefuseKits,CTNumSmokes,TNumSmokes,CTNumMollies,TNumMollies,CTNumHEGrenades,TNumHEGrenades,CTNumFlashes,TNumFlashes,CTScore,TScore
20,95,0,4000,4400,3,5,210,434,0,0,2,4,0,0,0,0,0,0,0,1,0,3,13
80,35,0,31150,26950,2,4,119,303,2,4,2,4,2,0,0,1,2,1,0,2,3,19,19
71,44,0,4200,4200,3,2,176,133,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0
122,11,1,29050,22600,1,2,19,200,1,2,1,2,1,0,0,0,0,0,0,0,0,3,2
57,58,0,32150,27050,4,5,316,466,4,5,4,5,4,0,2,0,1,1,0,3,3,5,2
70,45,0,26600,28750,3,3,208,268,1,3,3,3,1,0,0,1,1,2,0,2,2,12,3
30,85,0,33350,26800,5,4,500,308,5,4,5,4,5,2,2,1,2,1,1,5,2,4,11
80,35,0,19750,1100,5,2,423,122,5,0,5,0,0,0,0,0,0,1,0,3,0,8,9
0,115,0,30000,1600,5,5,500,500,4,0,5,0,4,5,0,5,0,3,0,5,0,4,4
98,17,0,22500,15200,2,2,200,167,2,2,2,2,0,0,1,0,0,1,0,1,0,10,7
68,47,0,9250,24300,4,4,365,306,0,4,0,4,0,1,0,0,2,0,0,0,1,10,13
58,57,0,32850,25050,5,4,397,199,5,4,5,4,5,0,0,3,2,2,0,3,3,14,9
84,31,0,26900,26550,4,2,265,200,0,2,4,2,2,1,0,1,2,1,0,2,1,10,13
0,115,0,1500,23150,5,5,500,500,0,5,0,5,0,1,4,0,4,0,4,1,5,10,9
27,88,0,27350,22300,4,5,392,398,4,5,4,5,3,3,0,0,2,1,1,2,1,6,6
34,81,0,31450,24400,4,5,305,331,2,5,4,5,3,1,1,2,1,1,1,3,4,6,6
24,91,0,31800,25200,4,5,319,408,3,5,4,5,4,3,1,2,3,2,1,2,5,5,9
100,15,0,31350,25500,4,5,390,451,4,5,4,5,3,0,0,0,0,1,0,4,0,13,13
58,10,1,25900,15350,2,1,175,46,0,0,2,1,0,0,0,0,0,0,0,1,0,8,15
0,115,0,32150,26350,5,5,500,500,5,5,5,5,5,5,5,4,4,4,1,5,5,11,1
59,56,0,31550,6300,5,2,447,80,5,0,5,0,4,2,1,1,0,0,0,4,0,10,11
108,9,1,24350,25550,1,3,100,114,1,3,1,3,0,0,0,0,0,0,0,0,2,7,16
0,115,0,20750,2000,5,5,500,500,4,0,5,0,0,4,0,1,0,4,0,3,0,12,5
43,72,0,4250,4200,1,3,100,212,0,0,1,2,0,0,0,0,0,0,0,0,0,1,15
23,92,0,19450,9900,5,2,389,109,5,0,5,2,0,1,0,0,0,0,0,2,0,2,0
33,82,0,28650,25400,4,3,320,168,1,3,4,3,2,2,0,2,2,2,1,2,2,1,3
21,94,0,31850,8500,5,5,500,327,5,0,5,4,5,2,1,2,0,1,0,4,1,7,3
62,53,0,31450,26150,4,2,372,148,4,2,4,2,3,0,1,0,1,0,0,1,2,9,11
41,40,1,33800,24950,4,4,381,400,4,4,4,4,4,2,2,2,0,3,1,4,2,9,14
29,86,0,10600,26000,3,5,171,443,0,5,3,5,0,1,2,1,4,0,0,0,4,14,16
41,74,0,33000,15750,2,3,200,238,2,1,2,3,1,0,1,1,0,1,0,1,0,8,4
67,13,1,27700,15050,1,2,27,200,1,1,1,2,1,0,0,0,0,0,0,0,0,8,5
88,27,0,28450,26050,5,4,497,319,4,4,5,4,3,0,1,0,0,0,1,2,2,10,11
34,81,0,23200,24500,5,5,500,500,0,5,4,5,0,2,0,1,3,0,1,1,2,1,4
