RoundTime,RoundTimeLeft,IsBombPlanted,CTEquipmentValue,TEquipmentValue,CTPlayersAlive,TPlayersAlive,CTPlayersTotHealth,TPlayersTotHealth,CTNumHelmets,TNumHelmets,CTNumArmors,TNumArmors,CTNumDefuseKits,CTNumSmokes,TNumSmokes,CTNumMollies,TNumMollies,CTNumHEGrenades,TNumHEGrenades,CTNumFlashes,TNumFlashes,CTScore,TScore
13,102,0,32950,26550,4,5,351,475,3,5,4,5,4,3,4,1,2,4,1,4,4,15,12
19,96,0,7700,23850,5,5,463,500,1,5,5,5,0,3,2,1,3,1,1,0,5,8,10
48,67,0,21600,24000,4,3,307,279,0,3,3,3,0,2,2,0,1,0,1,1,0,3,6
91,24,0,27700,25450,4,2,397,122,2,2,4,2,3,0,0,0,0,1,0,1,0,2,6
108,40,1,28700,25650,1,4,100,300,1,4,1,4,1,0,0,1,0,0,0,1,3,6,6
99,16,0,28050,24600,3,4,300,326,1,4,3,4,0,0,0,0,1,0,2,1,0,1,3
66,33,1,26750,27750,3,4,300,290,2,4,3,4,2,1,1,1,1,1,0,3,0,2,10
105,21,1,31750,21600,3,3,215,215,3,3,3,3,3,0,0,0,0,0,0,0,0,9,5
42,73,0,31200,22100,4,3,301,289,4,3,4,3,3,2,0,1,0,0,0,4,1,12,13
0,115,0,4350,4700,5,5,500,500,0,0,3,3,1,1,1,0,1,1,1,1,2,7,9
14,101,0,6250,25100,5,5,473,414,0,5,1,5,0,0,2,0,5,0,1,0,5,9,13
79,7,1,30750,15300,1,3,67,200,1,3,1,3,1,1,0,0,0,0,0,1,0,4,1
94,21,0,30000,25150,4,4,379,306,1,4,4,4,1,0,0,0,2,0,1,2,2,2,3
92,36,1,13300,21250,2,3,112,300,2,3,2,3,0,0,0,0,0,1,1,0,1,8,12
33,82,0,29200,7500,5,3,484,300,5,2,5,3,4,4,0,1,0,2,0,3,0,4,0
13,102,0,32150,24800,5,5,499,482,3,5,5,5,3,4,2,2,3,2,1,4,5,10,9
15,100,0,20400,16100,5,4,412,317,5,2,5,2,0,3,2,1,1,0,0,4,2,4,13
73,42,0,30450,9450,5,5,433,326,5,3,5,4,4,0,0,0,0,1,0,4,2,2,3
49,66,0,31650,27750,3,3,271,150,3,3,3,3,3,0,1,0,1,0,0,3,2,16,14
43,72,0,29400,19600,3,2,263,193,2,2,3,2,2,1,0,0,0,1,0,2,2,16,11
77,10,1,24950,19850,1,1,12,9,1,1,1,1,1,0,0,0,0,0,0,0,1,2,1
51,64,0,27600,22400,5,5,408,389,5,5,5,5,3,0,1,3,1,0,0,4,2,3,0
24,40,1,7550,22550,5,5,497,500,1,5,1,5,1,1,3,0,2,0,1,0,3,3,8
47,68,0,28800,11300,5,4,478,374,4,2,5,4,3,4,1,1,1,1,0,3,2,12,8
70,45,0,29050,24700,3,1,233,56,1,1,3,1,2,0,0,0,1,0,0,0,0,11,10
95,20,0,27000,26950,3,1,274,100,1,1,3,1,2,0,1,0,1,1,0,2,1,4,1
56,59,0,29650,27150,5,5,465,462,3,5,5,5,4,1,1,0,2,0,1,3,4,4,6
20,95,0,31150,11600,5,5,500,416,5,5,5,5,4,3,1,1,1,1,1,5,1,8,0
39,40,1,27700,15050,2,2,179,200,2,1,2,2,2,0,0,1,0,0,0,2,0,8,5
55,60,0,31150,26550,1,5,22,416,1,5,1,5,1,1,2,0,0,0,0,0,5,6,9
0,115,0,25450,23150,5,5,500,500,5,4,5,5,3,5,5,5,3,5,1,5,4,2,1
45,70,0,24750,15300,4,5,400,332,4,4,4,4,1,1,1,0,1,0,1,1,4,2,1
64,51,0,29600,23900,5,5,370,403,5,5,5,5,4,2,4,0,1,1,0,4,1,6,7
18,97,0,2000,28150,4,5,314,461,0,5,0,5,0,0,4,0,4,0,3,0,0,3,5
45,70,0,31700,24600,4,4,315,264,3,4,4,4,3,0,0,1,0,0,0,2,2,14,16
0,115,0,29700,25350,5,5,500,500,4,5,5,5,3,5,5,5,5,4,3,4,5,6,4
0,115,0,31600,25450,5,5,500,500,4,4,5,5,5,5,5,5,3,4,1,5,3,12,13
59,56,0,32650,21750,5,5,428,375,5,4,5,5,5,1,0,2,0,1,1,5,3,15,7
