RoundTime,RoundTimeLeft,IsBombPlanted,CTEquipmentValue,TEquipmentValue,CTPlayersAlive,TPlayersAlive,CTPlayersTotHealth,TPlayersTotHealth,CTNumHelmets,TNumHelmets,CTNumArmors,TNumArmors,CTNumDefuseKits,CTNumSmokes,TNumSmokes,CTNumMollies,TNumMollies,CTNumHEGrenades,TNumHEGrenades,CTNumFlashes,TNumFlashes,CTScore,TScore
62,53,0,11750,28350,2,3,173,136,0,3,1,3,0,0,2,0,1,0,0,1,1,7,7
20,95,0,1300,25300,5,5,476,424,0,5,0,5,0,0,5,0,3,0,0,0,5,2,3
32,83,0,30100,23500,5,4,423,400,4,4,5,4,4,1,1,0,0,2,0,4,3,16,7
52,40,1,4300,3850,0,3,0,209,0,0,0,2,0,0,0,0,0,0,0,0,0,8,9
48,35,1,31350,22100,1,2,73,96,1,2,1,2,1,1,0,0,0,1,0,1,1,8,2
58,40,1,26000,28100,3,1,289,100,0,1,3,1,1,1,0,2,0,1,0,2,0,6,7
85,30,0,23950,19200,1,4,16,115,1,3,1,4,1,0,0,1,0,0,0,1,2,12,7
48,67,0,4300,4250,4,4,308,344,0,0,3,2,1,1,0,0,0,0,0,0,0,1,0
48,67,0,28600,25000,4,3,368,300,3,3,4,3,2,1,2,0,3,0,0,3,2,13,11
76,39,0,1000,23450,3,5,182,390,0,5,0,5,0,0,0,0,1,0,0,0,2,13,8
0,115,0,31050,24300,5,5,500,500,5,5,5,5,4,5,5,5,5,4,1,5,4,8,15
80,35,0,29950,25450,4,3,374,207,4,3,4,3,2,0,0,0,0,0,0,1,1,15,13
52,38,1,30600,24800,1,2,68,200,1,2,1,2,1,0,1,0,0,0,1,1,0,5,5
14,101,0,23900,21550,5,4,386,345,5,4,5,4,0,4,3,0,2,2,1,5,1,7,11
34,81,0,25300,2600,5,5,500,339,5,0,5,0,3,2,0,2,0,2,0,4,0,9,9
58,57,0,30550,13950,5,5,500,403,5,5,5,5,4,1,0,2,0,1,0,3,2,6,0
79,36,0,30150,21700,4,3,374,300,4,3,4,3,3,0,0,0,1,0,0,2,2,10,13
59,56,0,32250,22100,5,1,408,9,5,1,5,1,5,2,0,0,0,0,0,2,0,6,3
29,86,0,26650,24800,4,4,400,367,2,4,4,4,1,3,1,0,2,1,0,3,3,7,5
13,102,0,4400,4550,5,5,490,468,0,0,4,3,0,1,1,0,0,1,1,1,0,0,1
0,115,0,20250,8900,5,5,500,500,5,3,5,3,1,4,3,3,0,3,1,3,0,7,10
29,86,0,27250,21600,4,1,239,90,1,1,4,1,1,2,1,0,0,1,0,2,0,6,2
96,19,0,32050,25900,5,3,352,253,5,3,5,3,5,0,0,0,0,0,0,2,0,14,13
84,31,0,30800,10250,5,3,467,227,4,0,5,0,4,1,0,0,0,2,0,2,0,14,8
88,27,0,27950,25750,1,1,73,33,1,1,1,1,1,0,0,0,0,0,0,1,0,7,16
33,82,0,27150,14050,4,3,322,250,3,2,4,3,3,2,0,0,0,1,0,3,0,6,9
67,40,1,1200,25200,3,5,290,500,0,5,0,5,0,0,1,0,0,0,0,0,3,4,7
78,37,0,29750,24900,3,4,267,283,2,4,3,4,3,0,0,1,2,0,0,3,3,7,1
92,40,1,30350,23900,4,4,341,367,4,4,4,4,4,0,0,1,1,3,1,3,1,8,1
134,-1,1,28650,21900,1,0,90,0,1,0,1,0,1,0,0,0,0,0,0,0,0,7,4
35,40,1,27200,26650,2,5,200,415,2,5,2,5,1,1,1,1,0,1,0,2,3,3,9
79,36,0,26350,21400,2,4,176,327,2,4,2,4,0,1,1,0,0,0,0,1,2,9,9
77,38,0,30450,19050,4,2,256,104,4,2,4,2,3,0,0,0,0,0,0,1,0,16,8
102,13,0,30750,24000,2,1,60,28,2,1,2,1,2,0,0,0,1,0,0,0,1,17,18
66,36,1,4200,4450,3,1,287,100,0,0,2,1,0,0,0,0,0,0,0,0,0,9,7
40,75,0,28900,21700,3,3,278,273,3,3,3,3,3,2,0,0,1,1,0,1,2,14,15
53,62,0,30150,24600,3,3,246,177,3,3,3,3,3,0,1,1,1,0,0,2,3,5,16
0,115,0,32050,21500,5,5,500,500,5,5,5,5,5,5,4,5,3,5,0,5,4,10,4
82,8,1,30500,25500,1,1,22,100,1,1,1,1,1,1,0,0,0,0,0,1,0,23,24
19,96,0,23850,27550,4,5,400,454,1,5,4,5,0,2,2,1,3,0,2,3,4,4,6
0,115,0,23600,25800,5,5,500,500,1,5,5,5,1,4,5,1,5,3,1,4,5,6,5
0,115,0,31750,20500,5,5,500,500,5,5,5,5,5,5,3,5,2,5,1,5,3,14,9
49,66,0,29650,24500,3,3,220,176,0,3,3,3,1,1,0,0,2,1,0,3,2,3,9
