RoundTime,RoundTimeLeft,IsBombPlanted,CTEquipmentValue,TEquipmentValue,CTPlayersAlive,TPlayersAlive,CTPlayersTotHealth,TPlayersTotHealth,CTNumHelmets,TNumHelmets,CTNumArmors,TNumArmors,CTNumDefuseKits,CTNumSmokes,TNumSmokes,CTNumMollies,TNumMollies,CTNumHEGrenades,TNumHEGrenades,CTNumFlashes,TNumFlashes,CTScore,TScore
95,37,1,26000,24050,3,3,219,214,2,3,3,3,2,0,0,0,0,0,0,1,1,11,11
71,44,0,4350,4250,3,2,236,180,0,0,2,1,1,1,0,0,0,0,0,0,1,7,9
100,15,0,31350,12750,3,3,298,91,3,2,3,2,3,1,0,0,0,0,0,2,0,11,14
35,80,0,31350,12950,4,3,374,274,4,0,4,3,4,2,1,1,2,2,0,2,1,12,2
67,48,0,26150,25100,5,5,445,405,5,5,5,5,3,1,3,2,1,0,0,2,2,12,7
0,115,0,28700,28050,5,5,500,500,1,5,5,5,0,3,5,4,5,3,2,4,5,12,15
91,24,0,26050,26750,4,5,219,441,1,5,4,5,1,0,2,0,1,0,1,1,1,4,4
71,44,0,33200,24700,5,4,500,326,5,4,5,4,4,2,2,1,2,4,1,3,1,6,6
25,90,0,29000,8300,5,3,397,300,4,0,5,3,2,3,1,1,1,1,0,5,2,4,0
53,62,0,28850,27450,4,5,400,380,2,5,4,5,1,2,2,2,2,1,1,2,3,15,13
61,54,0,21400,26500,4,5,373,364,1,5,4,5,1,1,3,0,3,0,1,2,3,5,2
93,22,0,28050,16450,2,3,116,228,2,2,2,3,2,0,0,1,0,0,0,1,0,9,15
57,58,0,29550,9500,2,2,140,25,2,1,2,1,2,0,1,0,0,0,0,0,0,9,1
22,93,0,30350,5950,5,5,450,403,5,0,5,3,4,4,1,0,0,1,0,3,1,6,5
19,96,0,29100,8500,5,1,470,24,5,0,5,0,4,4,0,2,0,3,0,5,1,12,9
70,21,1,26600,19500,1,2,9,156,1,0,1,2,0,0,1,0,0,0,0,0,0,1,2
69,46,0,6250,25100,3,1,300,1,0,1,1,1,0,0,0,0,0,0,0,0,0,6,2
92,23,0,26500,11000,3,1,300,73,3,1,3,1,0,0,0,0,0,1,1,1,0,6,2
87,28,0,28550,16500,3,4,161,313,3,4,3,4,2,0,1,0,0,0,1,0,0,5,1
109,37,1,27750,21900,2,2,107,200,2,1,2,2,1,0,0,0,0,0,0,1,0,1,3
102,40,1,4150,23250,3,5,300,500,0,5,0,5,0,0,0,0,0,0,0,0,3,12,11
105,10,0,12250,23950,2,3,119,175,1,3,2,3,0,0,1,0,0,0,0,0,2,1,3
42,73,0,3300,25800,5,5,430,500,0,5,2,5,0,0,5,0,3,0,1,0,3,13,13
82,33,0,32250,23850,5,4,500,395,5,3,5,3,5,1,0,1,0,2,0,3,0,14,10
17,98,0,3250,3250,4,1,247,45,0,0,4,1,0,0,0,0,0,0,0,0,0,1,0
68,47,0,30350,23800,4,1,331,100,4,1,4,1,4,1,1,1,0,1,0,4,1,8,0
16,99,0,25000,14700,5,5,500,474,5,3,5,5,2,2,0,2,2,1,0,4,2,4,15
19,96,0,33100,27250,5,5,500,406,4,5,5,5,5,4,3,1,3,2,1,3,4,17,17
84,31,0,25650,26850,4,5,368,393,1,5,4,5,0,1,2,0,0,1,0,2,3,13,9
35,80,0,32700,26200,4,5,398,320,4,4,4,5,3,3,2,0,1,1,1,3,5,9,3
80,35,0,33200,22800,3,1,214,51,3,1,3,1,2,0,0,0,0,0,0,0,0,7,5
53,62,0,23250,27550,5,4,473,303,0,4,5,4,0,1,2,0,2,0,0,2,0,11,10
103,40,1,29500,23000,3,4,238,313,3,4,3,4,2,0,0,0,0,0,1,0,0,7,13
81,39,1,4300,4250,3,3,171,164,0,0,2,2,0,0,0,0,0,0,0,0,0,7,9
12,103,0,24300,24950,5,5,483,418,1,5,5,5,1,4,2,1,2,2,0,2,5,13,9
0,115,0,22550,22500,5,5,500,500,2,5,5,5,1,5,5,4,5,3,1,3,5,1,4
82,33,0,27550,28300,3,2,300,57,2,2,3,2,1,0,0,0,1,1,0,2,1,5,9
103,12,0,29800,27100,2,1,135,9,2,1,2,1,1,0,0,0,0,0,0,0,0,17,15
58,57,0,26850,24400,3,3,293,214,0,3,3,3,1,1,0,0,1,0,1,1,0,3,5
58,40,1,28550,26850,2,5,200,318,2,5,2,5,1,1,1,1,1,0,0,1,2,11,10
26,89,0,30750,21950,5,5,500,457,5,4,5,5,4,3,2,2,1,3,1,4,5,14,8
91,24,0,25100,25500,5,5,448,446,1,5,5,5,1,0,4,2,1,1,1,3,2,3,7
46,69,0,24150,23550,3,2,273,148,0,2,3,2,0,1,0,0,1,0,0,2,1,14,7
78,37,0,32250,21000,4,4,400,378,4,4,4,4,4,0,0,0,0,0,0,1,1,10,1
89,28,1,1000,26300,3,5,195,426,0,5,0,5,0,0,1,0,0,0,0,0,2,4,3
49,66,0,16350,24000,4,3,374,259,0,3,4,3,0,0,1,0,2,0,0,2,2,15,15
0,115,0,26200,25850,5,5,500,500,3,5,5,5,2,5,5,4,3,3,0,4,3,14,9
53,62,0,33900,10900,5,4,437,325,5,3,5,4,5,1,0,3,0,1,0,4,0,10,3
73,42,0,18950,1200,5,5,500,391,5,0,5,0,2,1,0,2,0,0,0,1,0,10,7
0,115,0,33200,23900,5,5,500,500,5,5,5,5,3,5,4,5,4,5,0,5,5,7,5
21,94,0,28050,2000,5,3,404,300,5,0,5,0,3,5,0,1,0,3,0,5,0,6,14
68,47,0,4400,3950,4,2,346,186,0,0,3,1,1,0,0,0,0,0,0,1,1,1,0
0,115,0,27250,26650,5,5,500,500,5,5,5,5,3,5,5,5,4,4,0,5,5,10,9
92,23,0,28900,6350,4,2,290,115,4,0,4,2,3,0,0,0,0,0,0,3,0,6,1
38,77,0,23750,10900,3,4,242,263,3,2,3,4,2,1,0,1,0,0,0,2,1,12,9
67,48,0,19450,11950,4,4,347,336,4,2,4,2,0,0,0,0,0,0,0,0,0,2,0
108,30,1,2300,26250,1,4,30,286,0,4,0,4,0,0,2,0,1,0,0,0,2,4,3
19,96,0,1000,19250,4,5,310,500,0,5,0,5,0,0,5,0,2,0,2,0,3,7,12
24,91,0,2400,21750,4,5,400,500,0,5,0,5,0,0,4,0,1,0,1,0,3,8,10
36,79,0,32450,26600,5,4,402,400,5,4,5,4,5,3,2,2,1,2,2,2,3,14,16
41,40,1,4400,4050,3,3,300,266,0,0,2,2,1,0,0,0,0,0,0,1,1,8,8
18,97,0,27100,20250,5,5,433,381,2,5,5,5,0,4,4,2,2,1,1,0,3,3,9
20,95,0,32600,1000,5,5,500,460,5,0,5,0,3,4,0,4,0,1,0,4,0,8,12
52,63,0,26600,21900,4,2,283,190,3,2,4,2,1,1,1,0,1,0,0,2,1,1,3
79,36,0,26400,26650,4,5,339,363,4,5,4,5,1,0,3,2,2,0,1,2,3,7,4
0,115,0,20800,1500,5,5,500,500,3,0,5,0,1,4,0,3,0,3,0,3,0,2,0
82,33,0,29750,22900,3,1,300,49,3,1,3,1,2,1,0,0,0,1,0,2,0,6,5
0,115,0,31450,24500,5,5,500,500,5,5,5,5,3,4,5,4,5,5,1,5,5,10,9
97,38,1,11550,23650,3,3,208,286,2,3,3,3,0,0,1,0,0,0,0,0,0,11,16
18,97,0,32800,20350,5,5,417,496,5,5,5,5,3,2,2,4,0,4,0,4,4,7,7
0,115,0,22600,27150,5,5,500,500,1,5,5,5,0,5,5,3,5,4,1,5,5,4,3
32,83,0,7150,23150,5,4,363,400,1,4,1,4,0,0,3,0,1,0,1,1,4,1,4
45,70,0,11050,27250,5,4,473,400,0,4,4,4,0,0,3,0,3,0,2,1,4,3,10
45,70,0,10200,24000,4,2,180,200,2,2,2,2,1,0,2,0,1,0,1,1,2,5,8
18,97,0,3250,3250,5,5,446,445,0,0,5,5,0,0,0,0,0,0,0,0,0,1,0
36,79,0,29750,2600,5,5,404,426,3,0,5,0,3,3,0,1,0,0,0,4,0,2,3
71,44,0,30200,9100,5,3,463,201,4,0,5,0,4,2,0,1,0,1,0,4,0,6,3
22,93,0,30250,27250,4,5,373,403,2,5,4,5,2,3,5,1,4,1,1,4,4,11,14
70,30,1,4600,4250,3,4,300,353,0,0,3,3,1,0,0,0,0,0,0,0,0,1,0
65,50,0,4800,4650,4,1,362,86,0,0,3,1,0,2,0,0,0,0,0,2,0,1,0
35,80,0,4400,4400,3,4,300,400,0,0,2,2,0,1,2,0,1,0,0,0,1,8,8
25,90,0,2200,17800,4,5,336,358,0,5,0,5,0,0,3,0,2,0,0,0,3,0,2
0,115,0,23900,27350,5,5,500,500,1,5,4,5,0,4,5,2,4,0,2,4,5,9,5
107,38,1,19300,26750,2,2,200,85,1,2,2,2,0,1,0,0,1,0,0,1,2,2,4
110,6,1,4400,4200,1,3,40,219,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
80,35,0,21750,25700,1,2,10,132,1,2,1,2,1,0,1,0,1,0,0,0,1,8,12
111,40,1,30550,23600,3,4,234,354,2,4,3,4,2,0,0,0,0,0,0,1,0,4,2
113,40,1,32900,26900,1,2,100,188,1,2,1,2,1,0,0,0,0,0,1,0,0,18,17
16,99,0,31600,26100,5,4,448,400,3,4,5,4,1,3,3,3,2,4,2,5,4,1,6
0,115,0,26450,24300,5,5,500,500,2,5,5,5,2,5,4,2,5,2,0,4,4,10,13
93,22,0,28050,24000,2,1,200,100,2,1,2,1,2,0,1,0,0,1,0,0,0,13,6
38,77,0,4350,24900,1,3,6,111,0,3,0,3,0,0,2,0,1,0,0,0,1,15,11
74,41,0,12150,26850,2,3,173,300,1,3,1,3,0,1,3,0,2,0,1,1,2,5,8
47,68,0,31000,25400,5,4,419,373,4,4,5,4,4,2,2,3,1,0,0,4,3,19,21
125,21,1,30700,24150,2,2,124,118,2,1,2,1,2,1,0,0,0,0,0,0,1,15,9
69,46,0,30550,24100,2,1,200,8,2,1,2,1,2,2,0,0,0,0,0,2,0,10,1
58,57,0,9800,20250,5,5,369,451,1,5,5,5,0,2,4,0,3,1,0,2,3,10,7
84,8,1,20500,20600,1,1,78,1,1,1,1,1,0,1,0,0,0,0,0,0,0,2,1
0,115,0,4250,4350,5,5,500,500,0,0,5,4,0,0,1,0,1,0,0,0,0,4,12
34,81,0,31050,10250,5,5,432,461,5,2,5,3,5,3,0,2,0,2,3,4,2,9,4
27,88,0,30950,25100,5,5,500,473,5,5,5,5,4,3,4,1,2,3,1,4,5,11,2
22,93,0,4400,4300,4,3,292,205,0,0,3,2,1,0,1,0,0,0,0,0,1,2,14
31,84,0,30050,1000,5,4,500,93,3,0,5,0,4,4,0,1,0,1,0,3,0,13,15
71,44,0,30650,25100,4,5,361,376,4,4,4,5,4,1,0,1,2,1,0,2,2,3,1
118,23,1,30250,26050,1,1,11,2,1,1,1,1,1,0,0,0,0,1,0,1,1,7,13
25,90,0,23750,1700,5,1,407,90,5,0,5,0,2,3,0,0,0,0,0,2,0,3,2
0,115,0,4850,25900,5,5,500,500,0,5,3,5,0,2,5,0,4,0,1,0,5,2,2
64,51,0,30550,25300,5,5,385,479,2,5,5,5,2,2,3,1,1,2,0,5,2,10,15
0,115,0,31700,27250,5,5,500,500,3,5,5,5,3,5,5,4,5,4,1,4,5,8,4
84,31,0,29950,24500,5,5,500,495,5,5,5,5,2,1,2,1,1,1,0,2,2,13,7
59,56,0,30150,25600,5,4,500,400,5,3,5,4,3,1,2,0,1,0,0,1,2,4,0
0,115,0,30150,6000,5,5,500,500,5,0,5,4,3,4,1,5,0,4,0,5,2,4,0
98,17,0,15850,26550,1,1,100,100,0,1,0,1,0,0,1,0,1,0,1,0,1,3,10
61,22,1,4300,4150,2,1,173,79,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1
107,27,1,29950,23800,5,1,405,90,5,1,5,1,2,1,0,0,0,0,0,2,0,13,7
60,55,0,28300,26250,2,4,174,316,2,4,2,4,2,1,0,0,0,0,1,0,2,9,6
56,59,0,31550,23900,5,5,420,480,5,5,5,5,3,2,3,2,2,1,0,3,3,14,9
0,115,0,29800,21600,5,5,500,500,5,5,5,5,2,5,5,5,5,5,2,4,5,15,8
57,58,0,19250,11850,4,4,295,250,4,2,4,3,1,1,2,0,0,0,1,1,1,2,0
99,16,0,30750,16850,4,2,302,130,4,2,4,2,4,0,0,0,0,0,0,1,0,12,13
50,65,0,23050,1500,5,5,500,500,5,0,5,0,2,3,0,2,0,1,0,4,0,3,1
32,83,0,24950,20200,5,3,500,249,4,3,5,3,2,3,1,2,1,1,0,2,1,11,7
16,99,0,27600,3950,5,5,500,398,5,0,5,1,2,4,1,1,0,2,0,3,1,13,9
95,20,0,29700,26650,4,4,390,326,3,4,4,4,3,0,1,1,0,2,0,2,0,12,12
90,25,0,31050,23650,4,3,399,245,4,3,4,3,3,1,0,0,0,1,0,3,0,14,9
52,63,0,16200,27450,3,3,268,134,2,3,3,3,0,0,0,1,1,0,0,0,0,8,7
99,16,0,4400,4300,2,3,102,272,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1
0,115,0,20050,1200,5,5,500,500,5,0,5,0,2,5,0,4,0,3,0,3,1,10,7
86,29,0,28750,26850,4,5,275,478,1,5,4,5,1,0,2,0,3,0,1,0,1,1,6
71,44,0,31550,25350,4,1,397,100,4,1,4,1,4,1,0,2,0,2,0,2,1,6,1
65,50,0,29850,26000,3,2,300,187,3,1,3,2,2,2,0,1,0,0,0,2,0,5,0
0,115,0,30750,27350,5,5,500,500,3,5,5,5,4,5,5,5,5,4,2,5,5,5,6
71,40,1,29100,22000,4,4,392,400,4,4,4,4,4,2,0,1,0,0,0,4,0,8,6
74,41,0,30000,17000,2,2,97,106,2,0,2,1,2,1,0,2,0,0,0,0,0,6,5
