RoundTime,RoundTimeLeft,IsBombPlanted,CTEquipmentValue,TEquipmentValue,CTPlayersAlive,TPlayersAlive,CTPlayersTotHealth,TPlayersTotHealth,CTNumHelmets,TNumHelmets,CTNumArmors,TNumArmors,CTNumDefuseKits,CTNumSmokes,TNumSmokes,CTNumMollies,TNumMollies,CTNumHEGrenades,TNumHEGrenades,CTNumFlashes,TNumFlashes,CTScore,TScore
52,40,1,24950,17500,2,4,192,367,2,3,2,4,1,1,0,0,0,0,0,1,1,4,8
53,62,0,34800,27250,5,3,445,203,5,3,5,3,5,2,0,3,1,2,1,3,2,12,12
27,88,0,23000,25000,4,4,400,400,2,4,4,4,2,3,2,1,1,3,1,1,2,7,12
0,115,0,32850,25750,5,5,500,500,5,4,5,5,5,5,5,5,5,5,3,5,5,14,1
115,40,1,28350,20150,1,2,41,111,0,2,1,2,0,0,0,0,0,0,0,0,0,12,9
74,41,0,28850,23500,4,3,242,132,4,3,4,3,1,2,1,0,0,2,0,1,1,16,9
86,29,0,24750,26250,2,5,133,292,0,5,2,5,0,2,2,0,2,0,1,1,1,2,6
63,52,0,30250,13500,5,3,417,216,5,2,5,3,2,2,0,0,0,1,0,1,2,8,12
29,86,0,21900,27350,5,5,498,500,2,5,5,5,2,3,3,3,2,1,1,3,4,3,5
97,18,0,26700,8950,4,4,316,284,4,2,4,2,3,0,0,0,0,0,0,2,0,10,10
69,37,1,12700,27450,4,5,313,413,1,5,4,5,0,1,2,0,1,0,2,0,1,11,16
48,67,0,4200,4550,4,4,344,400,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1
74,41,0,24650,17500,2,1,143,27,2,0,2,1,0,0,0,0,0,0,0,0,0,13,7
103,4,1,4200,3700,1,1,52,13,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
33,82,0,16750,27950,4,2,347,114,1,2,3,2,1,2,2,1,1,1,1,1,2,2,8
51,64,0,24100,27550,5,5,420,443,2,5,5,5,1,1,3,0,4,0,2,2,4,7,4
28,87,0,27600,8100,5,5,500,336,5,2,5,4,2,1,0,1,0,1,0,4,0,4,0
0,115,0,27550,11900,5,5,500,500,5,4,5,4,4,5,1,5,1,4,0,5,3,3,0
50,65,0,20300,1500,5,1,383,17,5,0,5,0,1,3,0,2,0,0,0,0,0,5,12
41,74,0,24950,23450,5,4,481,349,3,4,5,4,1,3,2,0,0,2,0,1,3,11,14
97,33,1,24100,11150,1,3,100,121,1,0,1,0,1,1,0,0,0,0,0,0,0,9,9
102,40,1,20500,25800,3,2,292,105,0,2,3,2,0,0,0,0,0,0,1,0,1,8,14
56,59,0,29750,5000,5,2,340,200,5,0,5,0,4,2,0,2,0,1,0,3,0,4,0
22,93,0,34600,10250,5,5,449,478,5,3,5,5,3,4,2,1,0,1,0,3,2,5,10
88,27,0,30200,26450,4,2,320,175,2,2,4,2,4,0,1,0,0,0,0,1,1,15,17
59,56,0,29350,7000,4,4,342,351,4,0,4,0,3,1,0,1,0,2,0,1,1,12,11
0,115,0,27600,22400,5,5,500,500,2,5,5,5,2,4,5,2,4,3,2,5,3,5,14
42,73,0,22350,25900,4,2,389,200,0,2,4,2,0,1,1,0,1,0,1,0,1,16,12
78,37,0,28950,26750,4,4,366,328,2,4,4,4,2,0,3,0,2,1,1,0,3,15,8
40,75,0,29850,25200,5,5,500,437,5,5,5,5,3,3,3,1,3,2,2,3,4,11,8
114,1,0,31300,21500,1,1,100,8,0,1,1,1,0,0,0,0,0,0,0,0,1,8,3
43,72,0,30900,27350,5,5,500,477,1,5,5,5,3,1,3,1,3,1,0,3,4,4,8
74,31,1,20300,27750,3,3,236,191,0,3,3,3,0,0,0,0,0,0,0,0,2,7,14
72,43,0,30550,22900,3,2,300,149,3,2,3,2,2,1,0,0,0,1,0,2,0,6,5
27,88,0,3800,27450,4,5,242,449,0,5,2,5,0,1,3,0,3,0,3,0,4,3,5
43,72,0,31400,26350,5,3,446,299,3,3,5,3,3,2,2,1,1,0,0,3,1,5,5
55,60,0,23600,21600,4,1,227,44,1,1,4,1,1,1,0,0,0,0,0,2,0,5,1
46,69,0,20950,10550,5,4,460,306,5,2,5,3,1,2,2,1,1,0,0,1,2,2,0
48,67,0,28150,27850,4,1,400,75,1,1,4,1,2,2,1,1,0,0,1,1,0,10,5
112,39,1,17150,25000,1,2,92,43,0,2,1,2,0,0,0,0,0,0,0,0,0,2,7
99,16,0,15050,26500,2,1,24,39,1,1,2,1,1,0,0,0,0,0,0,0,0,2,2
86,29,0,29200,24500,2,2,200,200,2,2,2,2,2,0,1,0,0,0,0,0,0,3,10
46,69,0,28700,23650,4,4,353,322,2,4,4,4,2,0,2,1,2,2,1,2,2,1,4
0,115,0,30700,25700,5,5,500,500,4,4,5,5,3,5,4,5,4,4,1,5,4,8,4
