RoundTime,RoundTimeLeft,IsBombPlanted,CTEquipmentValue,TEquipmentValue,CTPlayersAlive,TPlayersAlive,CTPlayersTotHealth,TPlayersTotHealth,CTNumHelmets,TNumHelmets,CTNumArmors,TNumArmors,CTNumDefuseKits,CTNumSmokes,TNumSmokes,CTNumMollies,TNumMollies,CTNumHEGrenades,TNumHEGrenades,CTNumFlashes,TNumFlashes,CTScore,TScore
95,20,0,30550,25950,4,5,358,373,3,5,4,5,3,0,1,0,0,0,1,1,0,3,2
109,25,1,13250,26750,3,3,129,256,0,3,3,3,0,0,1,0,0,0,0,0,1,13,15
15,100,0,29400,2900,5,4,454,308,4,0,5,0,3,4,0,1,0,2,0,3,0,3,4
87,28,0,26100,23300,4,4,301,343,4,4,4,4,1,1,2,1,1,2,0,2,0,5,13
48,40,1,27750,26050,2,4,200,263,0,4,2,4,1,1,1,0,0,0,2,0,1,6,4
0,115,0,29100,6600,5,5,500,500,4,2,5,2,2,5,2,4,1,4,0,4,2,10,4
97,18,0,27450,25950,2,1,111,10,1,1,2,1,0,0,0,0,0,0,0,0,0,7,14
35,40,1,10000,18750,1,4,100,324,0,4,0,4,0,0,1,0,1,0,1,0,3,8,9
108,38,1,30950,21250,3,1,208,57,3,1,3,1,3,0,0,0,0,0,1,0,0,6,7
21,94,0,10900,19750,5,4,474,397,1,4,5,4,0,1,4,0,1,0,2,1,2,6,11
82,33,0,3850,25400,4,4,333,390,0,4,0,4,0,0,3,0,2,0,1,0,4,10,8
42,73,0,5600,24900,1,5,22,290,1,5,1,5,0,0,4,0,2,0,0,0,4,7,7
74,41,0,33750,27650,2,5,200,472,2,5,2,5,1,0,0,0,1,0,0,0,0,15,16
104,19,1,29650,16550,3,1,202,100,3,0,3,0,2,0,0,0,0,1,0,1,0,10,0
65,50,0,26500,26150,2,3,200,300,0,3,2,3,1,0,0,0,0,0,0,0,1,3,2
95,20,0,23550,18500,3,3,267,187,2,3,3,3,1,1,0,0,0,0,0,0,0,3,1
94,21,0,10850,18600,3,2,226,119,2,2,2,2,0,0,2,0,0,0,0,0,0,1,1
0,115,0,9900,18700,5,5,500,500,2,5,3,5,0,3,3,0,2,2,0,0,3,0,2
0,115,0,23200,24250,5,5,500,500,2,5,5,5,1,4,5,2,3,2,2,3,4,3,3
29,86,0,29350,25950,5,5,488,425,3,5,5,5,3,4,2,2,3,0,0,3,3,3,3
89,26,0,29350,17700,5,1,262,68,5,1,5,1,5,3,0,1,0,1,0,4,0,12,0
39,76,0,25150,27550,4,5,400,409,0,5,3,5,0,2,3,1,4,1,0,1,3,7,13
55,28,1,4250,4200,4,4,302,326,0,0,4,3,0,0,0,0,0,0,0,0,0,1,15
64,51,0,8550,21250,1,1,15,7,0,1,1,1,0,0,0,0,0,0,0,0,0,6,12
120,18,1,24700,25950,1,1,74,10,0,1,1,1,0,0,0,1,0,0,0,0,0,7,6
92,23,0,30750,23700,1,2,100,143,1,2,1,2,0,0,0,0,0,0,1,0,1,3,1
76,39,0,31250,13550,4,3,309,235,4,1,4,1,4,1,0,0,0,1,0,2,0,9,3
40,75,0,30250,6200,4,1,335,28,4,0,4,0,2,1,0,1,0,1,0,2,0,6,4
78,37,0,29350,20150,4,4,245,317,4,2,4,4,3,1,1,1,0,0,0,2,1,10,5
77,38,0,30550,21350,3,1,225,16,3,1,3,1,2,0,0,1,0,1,0,1,0,9,1
62,36,1,4300,4150,3,2,214,122,0,0,2,1,1,1,0,0,0,0,0,0,0,8,8
0,115,0,4300,3950,5,5,500,500,0,0,4,3,1,1,2,0,0,0,0,0,1,7,9
77,40,1,9350,23050,0,3,0,148,0,3,0,3,0,0,3,0,0,0,1,0,1,9,10
0,115,0,28450,26000,5,5,500,500,5,4,5,5,4,5,4,5,4,3,2,5,5,4,1
62,53,0,18250,27450,4,4,346,309,1,4,3,4,1,2,1,0,2,0,1,2,1,8,13
99,16,0,26400,26400,5,3,378,274,4,2,5,3,3,0,1,1,0,0,0,0,2,14,6
41,74,0,31150,23050,4,5,399,381,4,5,4,5,2,2,1,2,1,2,0,3,3,12,15
119,36,1,30400,23300,3,2,190,39,3,2,3,2,3,0,0,0,0,0,0,0,0,13,8
110,5,0,26650,25250,4,2,361,79,2,2,4,2,2,0,0,0,0,0,0,1,0,16,15
22,93,0,28700,4050,5,5,500,351,5,0,5,1,4,4,0,0,0,1,0,3,0,4,3
84,31,0,31550,23600,4,4,372,290,4,4,4,4,2,1,2,1,1,1,0,2,2,14,9
53,62,0,4300,4200,5,5,500,432,0,0,4,4,1,1,1,0,0,0,0,0,1,10,6
62,53,0,29900,8600,5,3,500,227,4,0,5,0,4,3,0,1,0,1,0,4,0,12,8
72,33,1,15100,29950,1,2,75,51,0,2,1,2,0,1,0,0,0,0,0,0,0,6,6
92,23,0,29950,25250,4,3,312,225,2,3,4,3,3,1,2,0,2,0,0,3,2,9,4
25,90,0,26100,12150,4,5,302,446,4,4,4,5,1,3,2,0,0,0,0,1,0,4,16
0,115,0,13100,28950,5,5,500,500,2,5,5,5,1,4,5,2,5,0,1,2,5,5,10
86,40,1,13650,26950,3,5,300,470,1,5,1,5,1,1,2,0,0,0,1,1,3,6,8
0,115,0,30600,14600,5,5,500,500,4,4,5,4,3,5,4,5,2,5,0,5,3,11,13
0,115,0,31550,27950,5,5,500,500,5,5,5,5,5,5,5,5,5,3,1,5,5,4,10
26,89,0,33300,20950,5,5,500,418,5,4,5,5,5,4,5,3,0,1,0,5,4,14,14
79,36,0,24100,18200,5,4,479,204,4,4,5,4,2,0,2,0,0,0,0,1,0,8,10
109,40,1,31000,25600,1,2,100,174,0,1,1,2,0,1,0,0,0,0,0,1,0,12,14
49,66,0,28700,21100,4,4,400,288,4,4,4,4,3,2,1,0,2,2,0,3,2,10,2
48,67,0,33400,24650,5,5,500,434,5,4,5,4,3,3,4,3,2,3,0,4,3,6,3
18,97,0,4100,4450,5,4,464,359,0,0,4,3,0,0,0,0,1,0,0,1,1,1,0
34,81,0,31650,8050,5,3,426,204,5,1,5,2,5,3,0,1,0,2,0,4,0,15,11
110,5,0,33700,24250,2,1,110,6,2,1,2,1,2,0,0,0,0,0,0,0,0,16,15
17,98,0,31050,7800,5,4,500,322,5,2,5,3,5,3,4,2,0,2,0,5,0,8,14
72,43,0,23450,23850,3,1,179,57,0,1,3,1,0,0,1,0,0,0,0,0,0,4,4
117,19,1,11000,19200,3,3,239,300,2,3,3,3,0,0,0,0,0,0,0,0,0,0,2
65,50,0,24400,5450,5,4,464,313,5,0,5,1,2,2,0,1,0,1,0,2,0,6,6
71,29,1,21450,20950,3,3,290,300,0,3,3,3,0,0,0,0,0,0,0,0,0,3,4
46,69,0,26950,22250,3,4,289,309,2,3,3,3,2,2,2,1,0,2,1,2,2,11,15
52,31,1,31950,24500,4,5,373,362,4,5,4,5,4,2,3,4,2,2,2,3,3,7,1
57,58,0,31750,3100,5,3,477,92,5,0,5,0,5,2,0,3,0,1,0,2,0,7,6
31,84,0,1400,18300,2,4,80,384,0,4,0,4,0,0,3,0,1,0,1,0,2,4,13
26,89,0,12850,25300,5,5,500,401,2,5,5,5,0,1,2,0,0,1,1,2,4,9,16
66,49,0,31600,26600,3,4,299,400,3,3,3,4,3,1,1,0,0,0,0,2,3,12,9
107,31,1,29100,25850,2,2,105,127,2,2,2,2,1,0,0,0,0,0,0,0,2,7,6
120,19,1,29850,21050,3,2,149,166,3,2,3,2,3,0,0,0,0,0,0,1,0,15,14
51,64,0,28600,11450,5,5,500,500,4,2,5,5,1,2,1,1,0,2,0,3,0,10,12
100,15,0,25650,27050,3,4,246,312,0,4,3,4,1,0,1,0,3,0,0,0,2,7,7
0,115,0,1500,27350,5,5,500,500,0,5,0,5,0,0,5,0,5,0,2,0,5,1,5
63,52,0,31150,4700,5,1,456,100,5,0,5,0,5,4,1,3,0,1,0,4,0,5,1
69,29,1,4150,20700,2,4,130,361,0,4,0,4,0,1,1,0,1,0,0,0,1,0,3
87,40,1,31650,26350,3,4,300,211,3,4,3,4,2,2,0,0,0,0,0,2,0,15,12
18,97,0,23850,26500,5,5,475,400,3,5,5,5,1,2,4,1,2,1,1,3,5,7,8
0,115,0,29950,8850,5,5,500,500,5,2,5,5,4,5,4,4,0,3,0,4,4,10,2
36,79,0,18350,26950,3,4,300,355,0,4,3,4,0,2,4,2,2,0,0,1,3,16,12
90,25,0,30050,25550,4,4,358,159,4,4,4,4,2,0,1,0,1,0,1,1,1,8,4
0,115,0,15750,27150,5,5,500,500,2,5,4,5,1,4,5,0,5,1,0,2,5,12,12
36,79,0,30750,23850,3,5,300,420,2,4,3,5,3,2,1,0,0,0,1,0,1,8,5
0,115,0,1000,26500,5,5,500,500,0,5,0,5,0,0,5,0,5,0,3,0,5,3,5
62,53,0,21350,15000,5,3,459,224,4,2,5,2,1,1,3,0,1,0,0,0,3,2,0
0,115,0,29750,26150,5,5,500,500,3,5,5,5,3,5,4,5,4,3,1,4,4,8,7
108,7,0,8600,28450,2,1,137,22,0,1,1,1,0,0,1,0,0,0,0,0,0,2,4
93,22,0,4400,23600,3,4,131,228,0,4,0,4,0,1,1,0,0,0,1,0,1,9,10
87,29,1,32050,25450,2,3,62,279,2,3,2,3,2,0,0,0,0,1,0,0,2,9,2
82,33,0,28550,26150,5,4,483,296,3,4,5,4,3,0,2,0,1,2,0,3,2,6,14
0,115,0,3700,19950,5,5,500,500,0,5,0,5,0,0,5,0,4,3,3,0,5,5,13
103,12,0,29950,26050,1,1,52,9,1,1,1,1,0,0,0,0,0,0,0,1,0,6,0
114,16,1,28250,25550,3,1,274,25,2,1,3,1,3,0,1,0,0,0,0,1,0,2,5
93,22,0,17350,24400,1,3,16,216,0,3,1,3,0,0,1,0,0,0,0,1,2,8,12
75,36,1,31150,24450,3,4,202,247,3,4,3,4,3,1,0,0,0,1,0,2,0,12,12
19,96,0,4400,4350,5,5,478,500,0,0,4,3,1,0,0,0,1,0,0,0,1,9,7
62,53,0,33750,22850,3,5,300,472,3,5,3,5,3,1,2,2,0,1,0,3,1,6,9
90,25,0,32400,19750,5,5,500,416,5,5,5,5,5,0,2,0,0,0,1,3,0,11,4
99,28,1,1200,27050,5,5,414,500,0,5,0,5,0,0,2,0,0,0,0,0,4,6,6
44,71,0,30050,21450,5,1,500,74,3,1,5,1,4,3,1,1,0,3,0,2,1,2,5
33,82,0,28100,8500,4,4,376,370,4,2,4,2,1,4,0,0,0,2,1,2,1,10,13
31,84,0,30750,25950,5,4,474,400,5,4,5,4,5,4,1,3,3,2,1,4,3,13,7
120,17,1,5050,3800,1,3,80,270,0,0,1,2,1,1,0,0,0,0,0,0,1,11,5
0,115,0,27650,26150,5,5,500,500,3,5,5,5,5,5,4,5,3,4,2,5,5,6,8
26,89,0,30250,20450,3,4,207,347,3,4,3,4,2,2,2,0,1,0,1,1,2,15,13
