RoundTime,RoundTimeLeft,IsBombPlanted,CTEquipmentValue,TEquipmentValue,CTPlayersAlive,TPlayersAlive,CTPlayersTotHealth,TPlayersTotHealth,CTNumHelmets,TNumHelmets,CTNumArmors,TNumArmors,CTNumDefuseKits,CTNumSmokes,TNumSmokes,CTNumMollies,TNumMollies,CTNumHEGrenades,TNumHEGrenades,CTNumFlashes,TNumFlashes,CTScore,TScore
32,83,0,9700,17300,4,4,313,344,2,4,4,4,0,1,1,0,1,1,1,2,2,0,2
32,40,1,4550,4400,3,2,300,137,0,0,2,2,0,1,0,0,0,0,0,0,0,1,0
99,16,0,23250,4900,4,1,400,12,4,0,4,0,2,0,0,2,0,1,0,2,0,3,0
19,96,0,28450,28450,4,5,367,497,3,5,4,5,0,1,5,2,2,1,1,2,3,3,10
92,23,0,33300,26850,4,1,365,12,4,1,4,1,4,0,0,0,1,2,0,2,0,10,11
71,44,0,28050,28150,3,4,300,316,1,4,3,4,1,1,2,2,1,1,2,1,1,11,3
17,98,0,11000,23100,5,5,424,411,1,5,4,5,0,0,2,0,3,0,1,0,4,9,9
80,40,1,26250,22850,2,2,200,200,2,2,2,2,0,0,0,1,0,0,0,1,0,4,0
23,92,0,17150,28750,5,5,500,388,0,5,5,5,2,3,2,2,3,1,3,5,5,10,16
75,40,0,21800,22050,4,2,260,154,4,2,4,2,2,0,0,0,0,0,0,0,2,11,7
98,17,0,20150,25950,3,1,252,2,1,1,3,1,0,0,0,0,1,0,0,1,0,7,6
86,29,0,31000,27650,4,4,386,357,2,4,4,4,2,0,0,0,1,1,0,3,2,7,8
0,115,0,31500,22800,5,5,500,500,4,5,5,5,3,5,4,5,4,4,2,5,4,4,1
38,77,0,34300,25750,5,2,500,149,5,2,5,2,4,3,0,0,0,0,0,2,1,11,1
52,63,0,31350,26650,2,3,200,210,2,3,2,3,1,1,0,0,1,2,0,2,1,9,4
0,115,0,30350,27850,5,5,500,500,0,5,5,5,3,5,5,4,5,3,2,5,5,10,13
54,61,0,33050,27550,4,4,374,301,4,4,4,4,4,1,0,0,1,0,0,3,0,17,18
23,92,0,12550,22350,5,5,500,414,2,5,4,5,0,0,2,0,4,1,2,1,3,2,3
60,55,0,18750,26750,4,2,359,90,1,2,4,2,1,0,0,0,1,1,0,2,1,3,1
140,8,1,30550,25550,2,1,168,100,1,1,2,1,1,0,0,0,0,0,0,0,0,7,14
99,16,0,32050,25550,3,2,194,136,3,2,3,2,2,0,0,0,0,1,0,2,1,4,3
80,35,0,29550,26950,4,4,273,400,2,4,4,4,3,0,1,1,0,0,0,3,2,11,13
44,71,0,30550,22700,1,3,19,211,1,3,1,3,0,0,2,0,0,0,0,1,2,3,2
71,34,1,20400,2850,4,2,234,107,4,0,4,0,1,1,0,0,0,0,0,2,0,4,13
0,115,0,30700,25750,5,5,500,500,5,5,5,5,4,5,5,5,4,4,0,5,5,11,14
51,64,0,31100,20450,3,2,300,105,2,2,3,2,2,1,0,1,0,1,1,3,0,8,2
32,83,0,33800,6700,5,3,479,143,5,0,5,1,4,5,0,2,0,3,0,3,0,6,6
31,84,0,21550,17050,4,2,243,66,4,2,4,2,1,2,1,1,1,0,0,1,0,1,1
31,84,0,23850,28450,4,4,373,245,0,4,4,4,0,3,0,1,2,1,1,1,2,13,14
34,81,0,4550,4300,4,1,303,63,0,0,2,1,1,0,0,0,0,0,0,0,0,1,0
31,84,0,29600,4800,3,3,300,196,3,0,3,1,3,1,0,0,0,1,0,2,0,11,8
24,91,0,31400,24700,4,5,393,436,3,4,4,5,3,3,3,1,2,2,1,3,3,8,6
39,76,0,23050,27650,3,2,275,139,0,2,3,2,1,1,1,0,0,0,0,0,1,7,8
54,61,0,27200,29200,1,3,100,201,1,3,1,3,0,0,2,1,2,1,0,1,2,0,4
28,87,0,1600,22350,5,5,426,500,0,5,0,5,0,0,3,0,0,0,0,0,4,7,4
75,16,1,35200,26050,1,4,92,290,1,4,1,4,1,0,0,0,0,0,0,0,0,10,16
73,40,1,31850,28650,1,4,100,400,1,4,1,4,1,1,2,2,1,1,1,1,2,10,3
67,21,1,32250,23100,2,2,200,85,2,2,2,2,2,2,0,0,0,0,0,2,0,7,2
76,38,1,29650,26750,3,2,282,133,3,2,3,2,2,1,1,1,0,0,0,2,2,2,3
0,115,0,31400,8000,5,5,500,500,4,0,5,2,3,4,1,4,0,5,0,5,0,15,9
32,37,1,32800,14750,4,2,305,134,2,1,4,2,3,2,0,0,0,0,0,3,0,3,4
81,34,0,30200,26150,3,1,181,95,1,1,3,1,0,0,0,0,0,0,0,0,0,1,9
48,67,0,30650,21050,4,2,287,110,4,2,4,2,3,1,0,1,0,2,0,1,0,6,3
64,31,1,27150,25950,2,1,31,5,2,1,2,1,2,0,0,1,0,0,0,1,0,7,2
31,40,1,10750,21850,4,5,275,432,2,5,3,5,0,1,3,0,2,0,1,0,4,9,10
45,70,0,23050,26650,4,4,322,394,2,4,4,4,0,0,3,1,1,1,1,1,1,6,7
42,73,0,32600,22500,3,4,300,275,3,4,3,4,3,3,0,1,2,1,1,3,2,14,10
42,73,0,27600,17250,3,3,273,202,2,2,3,3,0,2,1,0,2,0,0,0,3,13,9
0,115,0,35000,27550,5,5,500,500,5,5,5,5,5,5,5,5,5,4,1,5,5,17,16
31,84,0,34300,27250,5,5,500,500,5,5,5,5,5,4,5,2,3,3,1,3,4,10,1
78,40,1,32700,15550,2,2,119,132,2,0,2,1,2,2,0,1,0,2,1,1,0,6,6
89,26,0,33300,25950,5,5,406,354,5,5,5,5,3,1,0,0,1,0,0,4,2,15,16
45,70,0,2800,26800,3,4,124,254,0,4,0,4,0,0,1,0,1,0,0,0,1,3,3
87,28,0,34100,27150,5,3,466,263,5,3,5,3,4,0,0,1,2,2,0,3,0,2,4
71,44,0,28950,26600,5,4,408,367,3,4,5,4,2,1,2,1,2,0,0,4,2,14,11
27,88,0,31050,27350,4,5,400,441,2,5,4,5,3,3,3,2,4,2,1,4,5,2,9
44,71,0,34400,19700,4,4,304,345,4,4,4,4,4,3,1,0,1,1,0,3,1,10,5
0,115,0,4350,3900,5,5,500,500,0,0,4,4,1,1,1,0,0,0,0,0,0,7,9
82,33,0,32500,27650,5,4,482,395,5,4,5,4,4,0,1,1,2,1,1,2,1,24,26
25,90,0,25100,27050,4,4,357,302,1,4,4,4,0,3,1,0,1,0,0,2,2,4,9
16,99,0,31350,26300,5,4,440,380,5,3,5,4,5,2,2,3,3,3,0,3,3,11,1
86,40,1,28050,28150,2,1,174,56,1,1,2,1,1,0,0,1,0,0,0,1,0,11,3
0,115,0,28050,24050,5,5,500,500,3,5,5,5,4,5,4,5,3,5,0,4,4,9,14
0,115,0,17000,26200,5,5,500,500,1,5,3,5,0,3,5,0,5,0,2,0,5,8,4
33,82,0,30950,24900,3,3,271,183,3,2,3,3,3,1,1,1,1,2,0,3,2,5,5
83,32,0,4300,4200,3,5,291,449,0,0,2,4,1,1,1,0,0,0,0,0,1,5,11
91,24,0,15950,25900,5,3,444,175,1,2,5,3,0,0,0,0,1,0,0,0,1,13,15
107,8,0,30550,24850,4,1,347,34,4,1,4,1,2,2,0,0,0,0,0,1,0,9,3
0,115,0,30150,27050,5,5,500,500,2,5,5,5,1,5,5,4,5,3,0,5,5,0,6
110,40,1,32550,26150,1,3,100,227,1,3,1,3,1,0,0,0,0,1,0,0,3,9,3
33,82,0,33500,27150,4,5,400,474,4,5,4,5,4,3,1,2,2,2,0,3,3,16,16
71,44,0,20150,2200,4,4,379,255,4,0,4,0,0,2,0,1,0,0,0,0,1,12,5
111,25,1,33500,26950,2,1,119,30,2,1,2,1,2,0,0,1,0,0,0,1,0,20,19
0,115,0,2500,26800,5,5,500,500,0,5,0,5,0,1,5,0,5,3,4,1,5,3,3
88,27,0,18250,1000,5,4,412,354,4,0,5,0,1,0,0,0,0,1,0,3,0,10,7
57,26,1,23550,26450,1,3,100,275,0,3,1,3,0,0,0,0,0,1,0,0,2,10,15
15,100,0,8950,26750,5,4,500,400,0,4,2,4,0,1,1,0,3,0,0,1,2,12,9
27,88,0,31500,22900,4,3,254,181,4,3,4,3,3,3,0,3,0,2,1,3,2,4,1
41,74,0,6050,27250,3,5,298,341,0,5,1,5,0,0,1,0,1,0,0,0,3,11,15
73,42,0,24650,7300,5,3,333,211,4,0,5,2,3,1,0,2,0,2,0,3,0,2,1
0,115,0,23400,24000,5,5,500,500,2,5,5,5,0,4,5,1,5,2,1,5,5,9,10
31,84,0,20450,8250,5,5,431,387,5,2,5,5,1,3,0,0,0,0,1,1,1,2,1
110,39,1,28000,14050,2,2,200,126,2,0,2,1,2,1,0,1,0,0,0,2,0,4,14
15,100,0,28700,17350,5,5,500,418,4,4,5,5,0,4,2,2,2,2,1,3,5,13,9
110,35,1,31550,10450,3,3,281,104,3,2,3,3,2,0,0,0,0,0,0,1,0,13,7
97,18,0,11800,26850,4,2,313,161,0,2,4,2,0,0,0,0,0,1,0,0,0,6,14
24,91,0,31550,7400,5,4,424,360,5,0,5,3,4,2,0,3,0,1,0,3,1,5,2
81,34,0,33200,22400,5,2,500,172,5,2,5,2,5,3,0,1,0,1,0,1,0,7,1
51,64,0,4450,4200,3,2,300,200,0,0,1,1,1,1,0,0,0,1,0,0,0,11,5
0,115,0,28300,25000,5,5,500,500,3,4,5,5,2,5,4,4,3,4,0,5,4,12,15
58,40,1,33700,26150,4,4,368,400,4,4,4,4,4,3,0,1,1,1,0,3,0,5,5
63,52,0,26400,29100,2,1,155,79,1,1,2,1,0,0,0,1,0,1,0,0,0,9,11
0,115,0,32150,23000,5,5,500,500,5,5,5,5,5,5,4,4,2,4,0,5,5,9,1
61,54,0,12000,21550,4,2,299,200,1,2,2,2,0,2,2,0,1,1,1,0,2,1,2
56,59,0,28200,27050,4,3,373,214,2,3,4,3,1,2,0,0,0,0,0,1,1,15,10
83,32,0,19700,1200,5,5,500,399,4,0,5,0,0,1,0,0,0,0,0,2,0,12,5
25,40,1,1200,22400,5,5,500,500,0,5,0,5,0,0,4,0,3,0,0,1,3,10,9
32,83,0,4450,4300,5,5,417,500,0,0,3,3,1,1,1,0,0,1,0,1,2,0,1
28,87,0,33400,25850,3,3,274,166,3,3,3,3,2,1,2,2,1,1,0,2,1,11,13
0,115,0,21250,15700,5,5,500,500,4,3,5,5,1,4,4,4,2,2,0,4,2,9,8
0,115,0,31800,2450,5,5,500,500,5,0,5,1,2,4,1,4,0,5,0,6,2,12,7
50,65,0,35300,8500,5,5,500,435,5,2,5,2,5,3,1,1,0,1,0,2,1,9,5
63,52,0,13800,26650,3,1,203,94,0,1,1,1,0,0,0,0,0,0,0,0,1,4,5
0,115,0,26250,27050,5,5,500,500,0,5,5,5,1,5,5,5,5,2,0,5,5,2,6
23,92,0,33500,22500,5,2,416,200,5,2,5,2,3,2,0,4,0,3,0,4,0,16,5
20,95,0,4300,4300,5,5,500,500,0,0,4,4,1,1,0,0,1,0,0,0,0,10,6
0,115,0,25200,2500,5,5,500,500,5,0,5,0,2,5,0,4,0,3,0,4,0,12,6
23,92,0,33500,4150,4,1,400,78,4,0,4,0,3,3,0,1,0,2,0,2,0,11,13
19,96,0,32800,25900,4,5,323,484,3,4,4,5,4,4,2,2,3,0,0,3,2,7,14
104,11,0,31650,26650,2,1,200,2,2,1,2,1,2,1,0,1,0,0,0,1,0,18,17
19,96,0,28300,26000,5,4,365,348,2,4,5,4,1,3,1,1,2,2,0,3,1,0,6
92,23,0,31950,28600,5,1,477,16,2,1,5,1,5,0,1,0,0,1,0,1,0,20,20
75,40,0,33500,26750,3,2,300,123,3,2,3,2,2,0,0,0,0,2,2,2,0,7,5
49,40,1,22200,24350,5,4,453,400,1,4,5,4,0,2,0,0,0,1,1,1,2,7,5
0,115,0,34800,26650,5,5,500,500,5,5,5,5,4,5,5,5,4,3,0,4,5,13,16
94,21,0,30100,28150,5,2,460,134,2,2,5,2,3,1,0,0,1,2,0,3,2,1,5
20,95,0,17550,26350,4,5,400,412,2,5,4,5,1,1,3,0,4,1,2,2,3,8,16
60,19,1,4450,4200,4,3,400,253,0,0,2,2,1,1,0,0,0,0,0,0,0,1,0
76,39,0,31150,24750,2,1,200,40,2,1,2,1,2,0,0,1,1,1,0,2,1,15,6
33,82,0,24050,13750,4,4,400,397,4,3,4,4,2,4,2,1,1,2,0,4,2,2,1
77,38,0,32500,25250,4,4,400,385,2,3,4,4,2,0,0,1,0,0,0,1,1,3,3
0,115,0,31650,25950,5,5,500,500,4,5,5,5,2,5,4,6,3,3,0,5,4,12,14
14,101,0,33100,26550,4,5,400,415,4,5,4,5,4,3,2,4,4,1,1,4,2,5,1
90,25,0,23100,18450,4,4,378,229,4,2,4,2,2,0,0,1,0,0,0,1,1,8,11
49,66,0,31400,1200,4,1,327,2,4,0,4,0,2,4,0,1,0,2,0,2,0,14,5
64,40,1,28000,25950,2,2,200,166,2,2,2,2,1,1,0,0,0,1,0,1,1,8,7
39,76,0,32150,23000,3,4,219,399,3,4,3,4,3,1,1,0,1,0,0,1,1,9,1
76,22,1,33700,26150,3,1,241,100,3,1,3,1,3,1,0,0,0,0,0,1,0,5,5
103,12,0,31000,27650,4,3,336,252,2,3,4,3,2,0,0,0,1,1,0,1,1,7,8
74,24,1,4700,4300,2,2,200,117,0,0,2,1,0,1,0,0,0,0,0,0,0,6,10
73,31,1,23550,22750,4,2,242,107,0,2,4,2,0,2,0,1,0,0,0,2,1,4,5
76,39,0,32100,27350,4,2,251,200,4,2,4,2,3,0,1,4,1,3,0,3,0,19,19
42,73,0,28350,26450,4,5,400,412,3,5,4,5,0,2,1,1,1,0,0,1,4,0,4
28,87,0,23950,7500,4,5,321,403,4,1,4,3,2,2,0,4,0,3,0,2,0,11,7
19,96,0,4450,4200,5,5,490,478,0,0,3,4,1,0,1,0,0,0,0,2,1,0,1
96,19,0,21100,9100,4,1,321,6,3,0,4,0,2,1,0,0,0,0,0,2,0,2,1
0,115,0,34700,28150,5,5,500,500,3,5,5,5,3,5,5,5,5,5,3,5,5,27,26
32,83,0,7900,27750,5,5,426,412,0,5,2,5,0,0,1,0,1,0,1,0,4,8,14
70,45,0,26650,6700,5,5,500,500,4,1,5,1,2,2,0,1,0,1,0,3,0,9,15
