RoundTime,RoundTimeLeft,IsBombPlanted,CTEquipmentValue,TEquipmentValue,CTPlayersAlive,TPlayersAlive,CTPlayersTotHealth,TPlayersTotHealth,CTNumHelmets,TNumHelmets,CTNumArmors,TNumArmors,CTNumDefuseKits,CTNumSmokes,TNumSmokes,CTNumMollies,TNumMollies,CTNumHEGrenades,TNumHEGrenades,CTNumFlashes,TNumFlashes,CTScore,TScore
66,26,1,33350,19350,2,5,200,366,2,4,2,5,1,0,0,0,0,1,0,1,0,10,5
0,115,0,24200,26100,5,5,500,500,0,5,4,5,0,5,5,2,5,4,1,3,5,1,4
72,40,1,28950,25200,2,1,200,100,1,1,2,1,1,1,0,0,0,2,0,1,1,9,13
0,115,0,19450,28150,5,5,500,500,3,5,5,5,0,3,5,1,5,1,1,3,5,7,4
0,115,0,1000,23800,5,5,500,500,0,5,0,5,0,0,5,0,4,0,1,0,4,14,15
83,32,0,31750,25850,3,2,296,165,2,2,3,2,2,3,1,0,1,1,0,2,1,2,6
24,91,0,22100,7700,5,3,500,201,5,1,5,3,2,3,1,1,0,2,0,4,0,2,1
26,89,0,34850,27650,4,5,400,413,4,5,4,5,4,2,2,2,4,1,0,4,4,19,19
137,6,1,23200,23200,2,1,183,23,1,1,1,1,0,0,0,0,0,0,0,1,0,10,10
99,20,1,32700,15550,2,1,119,32,2,0,2,0,2,0,0,1,0,1,1,0,0,6,6
48,67,0,20600,25200,4,5,333,500,3,5,4,5,3,0,1,0,2,0,0,2,2,10,9
45,70,0,29100,27650,1,2,46,178,1,2,1,2,0,0,1,0,2,0,0,1,2,11,11
82,12,1,4300,4350,1,2,73,187,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
27,88,0,17850,25550,5,5,470,443,1,5,5,5,0,1,2,1,2,0,1,0,5,11,13
61,31,1,11800,28050,1,3,7,213,1,3,1,3,0,0,2,0,1,0,0,0,2,6,9
0,115,0,6100,26050,5,5,500,500,0,5,4,5,0,0,5,0,5,0,1,2,5,7,13
29,86,0,18750,26750,5,5,500,432,1,5,5,5,1,1,3,0,4,1,0,2,5,3,1
40,75,0,10750,27250,4,2,345,154,1,2,2,2,1,0,1,0,1,0,1,1,0,7,13
0,115,0,14300,26200,5,5,500,500,2,5,4,5,1,3,5,1,5,3,1,3,5,10,8
14,101,0,31850,29150,5,5,500,500,4,5,5,5,4,4,3,3,5,4,2,4,5,10,3
0,115,0,26300,6950,5,5,500,500,3,1,5,2,2,5,1,3,0,2,0,4,1,9,15
93,22,0,26350,26850,5,3,422,248,3,3,5,3,3,0,0,0,2,0,0,3,1,12,13
0,115,0,33100,17100,5,5,500,500,5,5,5,5,5,5,3,4,4,4,0,5,4,14,13
102,13,0,22150,25550,3,2,300,39,0,2,2,2,0,0,0,0,0,0,0,0,0,15,15
70,45,0,29500,20650,1,1,58,3,1,1,1,1,1,1,0,1,0,0,0,1,0,14,1
66,49,0,31950,25500,3,2,300,104,2,2,3,2,3,1,1,1,0,1,0,1,1,13,15
41,74,0,11400,26650,4,4,319,394,0,4,2,4,0,0,0,0,0,0,1,0,1,4,5
38,77,0,30450,26550,4,1,400,4,2,1,4,1,2,4,0,2,0,3,0,2,0,2,9
88,27,0,30200,26350,4,2,347,94,2,2,4,2,3,1,0,0,0,1,0,0,0,11,15
