RoundTime,RoundTimeLeft,IsBombPlanted,CTEquipmentValue,TEquipmentValue,CTPlayersAlive,TPlayersAlive,CTPlayersTotHealth,TPlayersTotHealth,CTNumHelmets,TNumHelmets,CTNumArmors,TNumArmors,CTNumDefuseKits,CTNumSmokes,TNumSmokes,CTNumMollies,TNumMollies,CTNumHEGrenades,TNumHEGrenades,CTNumFlashes,TNumFlashes,CTScore,TScore
53,62,0,14550,25750,2,5,200,358,1,5,2,5,1,1,2,0,2,0,1,2,4,6,13
25,90,0,31850,20700,5,5,467,411,4,5,5,5,4,3,1,1,2,3,0,1,3,8,2
58,57,0,7700,26650,3,5,201,458,0,5,1,5,0,0,2,0,1,0,1,0,3,5,4
0,115,0,28450,26450,5,5,500,500,3,5,5,5,1,5,5,4,4,3,0,4,5,5,3
0,115,0,6050,25400,5,5,500,500,0,5,3,5,0,1,4,0,3,1,1,0,4,0,5
55,40,1,33300,11900,4,4,355,313,4,1,4,2,3,4,0,1,0,1,0,4,0,3,7
0,115,0,33300,22750,5,5,500,500,5,5,5,5,4,5,4,5,2,4,0,5,3,4,6
42,73,0,23950,9350,3,5,300,398,3,1,3,3,1,0,0,3,0,1,0,2,0,11,7
83,32,0,29300,23950,1,3,10,212,1,3,1,3,1,0,1,0,1,0,0,1,1,10,16
21,94,0,4300,4250,5,4,500,371,0,0,4,3,1,1,2,0,0,0,0,0,1,4,12
41,74,0,23500,20700,3,3,171,129,2,3,3,3,1,2,1,0,0,0,0,1,2,9,14
0,115,0,34300,18600,5,5,500,500,5,5,5,5,5,5,3,5,3,4,0,5,3,10,5
38,77,0,22900,27550,4,5,352,478,1,5,3,5,0,1,1,0,2,0,1,1,3,7,13
74,41,0,18800,1100,5,4,341,272,4,0,5,0,1,3,0,2,0,1,0,2,0,10,7
102,13,0,19450,26450,3,1,123,29,0,1,3,1,1,0,0,0,0,0,0,1,0,8,2
62,53,0,29950,26750,5,4,500,346,5,4,5,4,3,1,2,0,0,0,0,2,3,10,12
94,21,0,32750,26550,3,3,127,180,3,3,3,3,3,0,2,1,1,0,1,2,2,9,2
21,94,0,5500,26250,3,4,274,304,0,4,2,4,0,0,4,0,2,0,0,0,4,2,4
29,86,0,33000,22300,5,4,500,293,5,4,5,4,5,3,1,0,1,2,0,4,1,8,1
31,84,0,23600,22900,4,4,308,259,4,4,4,4,1,3,2,2,0,1,2,1,3,12,6
41,74,0,32800,28450,5,5,500,481,5,5,5,5,4,3,2,1,3,0,0,3,3,18,18
71,40,1,30050,26750,4,2,228,194,3,2,4,2,3,0,0,1,0,1,0,2,2,3,6
84,31,0,30550,26650,5,5,466,408,5,5,5,5,3,2,0,0,1,0,0,2,0,9,3
71,33,1,31150,26000,3,1,272,10,3,1,3,1,3,1,0,2,0,1,0,2,0,11,1
40,75,0,33100,26100,4,5,400,490,4,4,4,5,4,2,1,1,1,2,1,2,4,6,6
52,63,0,32700,22350,3,4,300,400,3,3,3,3,3,3,0,1,0,1,1,2,0,13,12
12,103,0,33300,22350,5,3,417,205,5,3,5,3,4,5,3,4,0,3,0,4,1,3,6
33,82,0,33800,8050,5,4,500,341,5,0,5,3,5,4,0,2,0,1,0,3,0,7,0
50,65,0,30800,6550,5,5,498,460,5,1,5,2,3,4,2,2,0,1,1,4,1,9,13
53,29,1,6100,27150,2,3,88,199,0,3,1,3,0,0,1,0,2,0,0,0,2,7,13
84,31,0,10450,17850,1,1,25,11,1,1,1,1,0,0,0,0,0,0,0,1,0,0,2
22,93,0,26450,22800,4,1,379,79,2,1,4,1,1,2,0,0,1,0,0,0,0,12,14
80,40,1,22700,26550,2,3,200,254,1,3,2,3,0,0,1,0,1,0,0,1,1,4,11
53,40,1,11300,17000,4,5,400,417,2,5,4,5,0,0,2,0,1,0,0,0,3,7,10
39,76,0,30450,24100,3,3,273,295,3,3,3,3,3,1,0,0,1,0,0,1,0,8,6
90,25,0,35300,8500,4,2,400,148,4,1,4,1,4,1,0,0,0,1,0,1,0,9,5
0,115,0,200,5300,1,3,100,300,0,0,0,2,0,0,1,0,0,0,0,0,1,0,2
81,34,0,31700,27550,2,4,119,316,2,4,2,4,2,0,0,0,2,0,2,1,3,7,8
0,115,0,33800,7550,5,5,500,500,5,2,5,3,4,5,3,5,0,5,2,5,2,7,0
