RoundTime,RoundTimeLeft,IsBombPlanted,CTEquipmentValue,TEquipmentValue,CTPlayersAlive,TPlayersAlive,CTPlayersTotHealth,TPlayersTotHealth,CTNumHelmets,TNumHelmets,CTNumArmors,TNumArmors,CTNumDefuseKits,CTNumSmokes,TNumSmokes,CTNumMollies,TNumMollies,CTNumHEGrenades,TNumHEGrenades,CTNumFlashes,TNumFlashes,CTScore,TScore
138,7,1,26300,18100,1,1,20,100,1,1,1,1,1,0,0,0,0,0,0,0,0,8,14
16,99,0,30700,23400,5,5,453,500,4,5,5,5,3,4,3,4,2,4,0,4,4,4,3
47,68,0,26500,27150,5,5,407,470,0,5,5,5,1,2,3,1,1,1,1,2,3,16,13
26,89,0,4950,18350,5,3,324,300,0,3,0,3,0,0,2,2,2,0,1,0,2,0,2
58,57,0,4000,4850,1,3,100,269,0,0,1,2,0,0,0,0,0,0,0,0,0,3,13
58,40,1,6750,24800,3,4,178,308,0,4,3,4,0,0,1,0,1,0,2,0,1,9,9
34,81,0,27800,23100,5,5,498,470,3,5,5,5,3,3,1,1,0,0,0,3,2,7,15
130,10,1,30700,22000,2,2,160,99,1,2,2,2,2,0,0,0,0,0,0,0,0,15,12
105,40,1,29000,27800,0,3,0,234,0,3,0,3,0,0,1,0,0,0,0,0,0,6,1
38,31,1,4400,4450,3,3,138,186,0,0,2,2,1,0,0,0,0,0,0,0,0,1,0
43,72,0,27450,25200,5,5,474,380,3,5,5,5,0,3,2,2,4,1,1,2,4,13,13
0,115,0,31050,23900,5,5,500,500,5,5,5,5,4,5,5,5,4,5,2,5,4,7,6
0,115,0,19950,28950,5,5,500,500,4,5,5,5,1,5,5,3,5,3,1,4,5,14,16
17,98,0,2500,25200,5,4,432,318,0,4,0,4,0,1,2,0,3,0,1,0,4,6,15
0,115,0,30450,9800,5,5,500,500,5,4,5,4,3,5,3,5,0,5,0,5,3,7,0
20,95,0,29450,24400,4,5,392,500,4,4,4,5,4,4,3,2,2,1,0,1,3,6,13
89,30,1,28250,25200,2,1,140,8,2,1,2,1,2,0,0,0,0,0,0,0,0,10,9
104,11,0,31750,24000,3,4,300,342,3,4,3,4,3,2,0,0,1,1,0,2,2,9,5
34,81,0,30550,5450,5,3,394,249,5,0,5,1,4,5,1,3,0,2,0,5,0,7,12
67,48,0,24800,27450,4,5,400,434,1,5,4,5,0,1,3,0,1,0,2,2,3,2,4
16,99,0,27900,29050,5,5,427,500,2,5,5,5,2,3,2,3,4,1,3,3,3,4,11
60,55,0,27950,25500,5,3,417,300,3,3,5,3,2,3,0,0,0,0,1,3,1,5,3
85,30,0,20800,20200,3,2,221,62,2,1,3,1,0,1,0,0,0,0,0,1,0,14,3
23,92,0,32150,9400,5,2,428,109,5,1,5,2,4,3,0,1,0,2,0,4,1,8,3
39,76,0,25200,24600,3,2,219,138,2,2,3,2,2,0,0,0,2,0,1,1,1,10,11
43,72,0,27000,29050,2,2,121,142,2,2,2,2,1,1,1,1,1,2,2,2,1,4,11
0,115,0,30350,22800,5,5,500,500,5,5,5,5,3,5,4,5,4,3,0,5,4,13,11
55,60,0,30500,1000,5,3,479,268,4,0,5,0,2,2,0,1,0,0,0,3,0,6,3
76,39,0,23350,22500,2,2,77,176,1,2,2,2,0,0,0,0,0,0,0,0,1,1,4
13,102,0,29950,27450,5,5,500,489,3,5,5,5,4,4,5,4,5,3,0,3,5,19,19
39,76,0,27550,26150,2,2,122,103,2,2,2,2,0,2,1,1,0,0,1,1,1,1,7
61,54,0,30600,18100,3,4,300,190,2,1,3,2,3,1,0,0,0,0,0,0,0,4,3
70,40,1,4250,19050,4,5,400,486,1,5,2,5,0,0,1,0,1,0,0,1,3,0,3
0,115,0,31150,22000,5,5,500,500,5,5,5,5,5,5,4,5,3,5,0,5,4,6,6
42,73,0,31050,24600,5,4,419,268,5,4,5,4,4,4,2,3,4,2,1,3,4,12,11
81,-1,1,30350,17250,1,1,19,50,1,1,1,1,0,0,0,0,0,0,0,0,0,7,7
90,5,1,4250,4400,1,4,42,282,0,0,1,2,0,0,0,0,0,0,0,0,0,9,7
0,115,0,29300,6900,5,5,500,500,5,1,5,1,3,4,0,4,0,4,0,4,0,14,5
50,65,0,26100,2600,5,5,500,368,5,0,5,0,1,3,0,2,0,1,0,2,0,5,3
8,107,0,3400,24350,5,5,500,464,0,5,0,5,0,0,3,0,4,0,0,2,4,15,13
19,96,0,4000,22100,5,4,426,400,0,4,0,4,0,1,3,0,2,0,3,0,3,1,3
52,40,1,4400,4250,3,1,279,100,0,0,2,1,1,0,0,0,0,0,0,0,0,11,5
55,18,1,4450,4200,4,4,400,365,0,0,2,3,1,0,0,0,0,0,0,0,0,4,12
89,37,1,30650,27750,2,3,101,211,2,3,2,3,2,0,0,0,0,0,1,1,1,17,17
102,13,0,28950,25650,4,2,232,114,1,2,4,2,1,3,1,0,1,0,0,3,2,3,7
30,85,0,6200,24300,4,5,330,452,1,5,1,5,1,1,3,0,2,0,5,0,4,2,2
0,115,0,27500,17600,5,5,500,500,5,3,5,5,1,5,3,5,2,3,0,4,4,8,11
92,23,0,26600,24800,3,1,273,9,1,1,3,1,1,2,1,0,0,1,0,1,1,1,7
87,28,0,29750,6100,4,2,338,103,4,0,4,0,4,2,0,0,0,1,0,0,0,7,5
0,115,0,28200,25400,5,5,500,500,3,5,5,5,1,5,5,4,5,5,4,5,5,1,7
65,50,0,18750,1000,5,1,444,77,5,0,5,0,1,3,0,2,0,1,0,3,0,2,0
29,40,1,4350,3550,4,3,379,233,0,0,2,1,1,2,0,0,0,0,0,1,0,1,0
8,107,0,26800,21950,5,5,498,475,0,5,5,5,2,3,4,3,3,2,0,4,3,4,4
88,27,0,22400,23900,3,4,300,195,2,3,3,4,1,1,0,0,0,0,0,2,1,11,7
77,8,1,5300,24700,2,4,38,375,0,4,0,4,0,1,1,0,0,0,0,0,3,3,5
78,21,1,4800,4200,1,1,100,69,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
111,4,0,25350,22900,2,1,142,22,2,1,2,1,1,1,0,0,0,0,0,1,0,3,0
90,28,1,25750,20900,3,4,205,294,3,4,3,4,2,0,0,0,0,0,0,1,2,11,16
14,101,0,28200,27450,5,4,478,386,2,4,5,4,1,4,2,3,4,0,2,2,3,12,11
0,115,0,29400,24300,5,5,500,500,4,5,5,5,3,5,5,4,4,3,3,5,4,4,8
59,56,0,30550,2700,5,1,461,17,5,0,5,0,4,4,0,2,0,2,0,4,0,12,10
56,59,0,30050,15050,5,3,446,173,5,1,5,2,4,1,0,1,0,1,0,2,1,14,8
89,26,0,28450,13900,4,5,378,414,4,1,4,4,3,0,0,1,0,0,0,0,1,13,9
109,6,0,29850,20200,4,2,400,133,4,2,4,2,1,1,0,0,0,0,0,0,0,4,0
42,73,0,27200,27250,3,3,300,90,1,3,3,3,0,1,2,2,2,1,1,1,3,12,15
23,92,0,2200,20200,3,5,300,428,0,5,0,5,1,1,2,0,1,0,0,0,1,0,3
12,103,0,29800,9000,5,5,473,402,5,1,5,5,5,4,3,4,1,4,1,4,1,14,7
0,115,0,24250,22350,5,5,500,500,3,5,5,5,0,5,5,2,5,3,1,4,5,11,7
52,63,0,30250,22550,5,3,497,300,5,2,5,3,3,1,0,0,2,0,1,2,1,5,3
34,40,1,24750,25600,3,4,300,331,2,4,3,4,2,2,1,1,1,1,2,1,3,6,8
92,31,1,2200,18900,3,4,284,313,0,4,0,4,0,0,2,0,2,0,1,0,4,0,3
0,115,0,31900,26400,5,5,500,500,4,4,5,5,4,5,4,5,5,5,2,5,5,14,9
46,69,0,31050,23600,5,5,405,422,5,5,5,5,5,2,3,2,3,2,0,2,5,9,15
117,25,1,15800,26150,3,3,225,144,1,3,3,3,0,0,0,0,1,0,0,0,1,2,2
70,45,0,23450,25100,4,3,334,247,4,3,4,3,3,3,0,0,0,3,1,2,1,5,5
52,63,0,29250,28150,4,5,400,413,1,5,4,5,3,3,0,1,0,1,1,4,2,4,8
62,53,0,22750,26550,2,5,200,426,0,5,2,5,1,0,3,3,2,1,1,1,5,3,10
0,115,0,32150,25850,5,5,500,500,5,5,5,5,5,5,5,5,3,5,0,5,5,15,10
58,57,0,27600,23950,5,4,383,268,4,4,5,4,1,1,1,0,0,2,0,3,0,11,10
44,71,0,28850,21650,5,2,500,113,5,2,5,2,1,2,0,1,0,0,0,3,0,14,12
42,40,1,4650,4950,4,4,328,369,0,0,2,2,1,1,0,0,0,0,0,1,1,1,0
85,15,1,27700,28050,1,2,70,88,1,2,1,2,1,0,0,0,0,0,0,1,0,18,18
94,21,0,23300,26050,3,3,300,188,0,3,3,3,0,1,1,0,2,0,1,0,1,7,14
0,115,0,29850,26050,5,5,500,500,1,5,5,5,1,5,5,5,5,5,1,4,5,8,4
0,115,0,25300,25100,5,5,500,500,3,5,5,5,1,4,5,2,5,3,1,4,5,5,8
47,68,0,14450,27250,1,5,100,472,0,5,1,5,0,1,1,0,3,0,1,0,2,3,9
0,115,0,29300,6600,5,5,500,500,5,1,5,3,4,5,2,5,0,5,0,5,2,7,0
107,39,1,24000,26050,1,2,27,200,0,2,1,2,0,0,2,0,0,0,1,0,0,5,2
0,115,0,23300,25300,5,5,500,500,1,5,5,5,0,5,5,0,5,3,3,2,5,10,14
104,11,0,31050,29800,4,2,390,171,4,2,4,2,3,0,2,0,1,1,0,1,1,9,6
115,14,1,27100,25650,2,2,133,97,2,2,2,2,2,1,0,0,0,0,1,0,0,9,3
0,115,0,4550,4600,5,5,500,500,0,0,3,2,0,2,3,0,1,2,2,2,2,4,12
66,49,0,30950,24300,2,4,200,289,2,4,2,4,2,0,1,1,0,0,0,1,3,9,16
0,115,0,27700,15400,5,5,500,500,2,5,5,5,1,5,5,4,3,3,2,3,4,16,13
112,3,0,28350,24400,2,1,67,10,2,1,2,1,0,0,0,0,0,0,0,0,0,4,8
45,70,0,31650,4500,5,3,405,150,5,0,5,1,4,3,0,1,0,1,0,4,0,5,4
27,88,0,4100,22750,2,4,130,382,0,4,0,4,0,0,3,0,3,0,0,0,2,5,13
35,80,0,31450,26200,5,4,466,275,5,3,5,4,4,4,3,4,2,2,2,2,2,8,2
57,58,0,30200,20500,5,5,499,433,5,5,5,5,5,2,1,2,0,1,0,2,4,16,4
67,40,1,3100,26150,2,3,200,300,0,3,0,3,0,0,0,0,0,0,0,0,2,10,11
8,107,0,27000,1500,5,5,500,431,4,0,5,0,2,4,0,4,0,5,0,5,0,5,3
