RoundTime,RoundTimeLeft,IsBombPlanted,CTEquipmentValue,TEquipmentValue,CTPlayersAlive,TPlayersAlive,CTPlayersTotHealth,TPlayersTotHealth,CTNumHelmets,TNumHelmets,CTNumArmors,TNumArmors,CTNumDefuseKits,CTNumSmokes,TNumSmokes,CTNumMollies,TNumMollies,CTNumHEGrenades,TNumHEGrenades,CTNumFlashes,TNumFlashes,CTScore,TScore
72,43,0,26350,26250,3,2,195,122,1,2,3,2,1,1,1,2,2,1,0,2,0,4,0
50,65,0,30600,12950,4,3,373,212,3,1,4,1,1,1,0,1,0,1,0,3,0,9,15
51,22,1,4450,4200,5,5,489,500,0,0,3,4,1,0,0,1,0,0,0,0,0,4,12
18,97,0,4400,4300,5,2,437,200,0,0,4,2,1,0,0,0,0,0,0,1,0,12,4
106,9,0,30700,23600,2,1,117,15,1,1,2,1,2,0,0,0,0,0,0,0,1,4,6
54,32,1,2150,20700,3,5,142,455,0,5,1,5,0,0,2,0,1,0,0,0,2,0,3
25,90,0,30950,9250,4,4,364,247,4,2,4,3,3,3,1,1,0,1,1,2,1,14,9
54,61,0,29250,26850,4,4,394,302,3,4,4,4,1,1,1,1,2,2,0,2,2,2,6
35,80,0,27400,17250,4,3,338,204,4,3,4,3,1,4,1,0,2,0,0,0,1,13,6
48,40,1,3950,26950,2,5,200,477,0,5,1,5,0,1,2,0,2,0,0,0,3,15,13
47,68,0,16100,26950,4,3,291,251,0,3,1,3,1,0,1,0,0,0,0,1,1,3,5
75,33,1,9200,22950,1,3,12,300,0,3,0,3,0,0,0,0,0,0,0,0,0,5,5
31,84,0,25250,26350,5,5,419,435,0,5,5,5,0,3,2,2,2,2,1,4,5,10,5
26,89,0,24950,26050,5,4,385,374,2,4,5,4,2,4,1,1,2,2,1,2,3,9,15
40,75,0,32050,23850,4,4,373,310,4,3,4,4,3,2,4,1,3,1,0,1,4,8,2
72,19,1,25150,8450,3,2,214,150,3,0,3,0,3,2,0,0,0,0,0,1,0,2,1
30,85,0,32600,20650,5,2,439,134,5,1,5,2,4,4,0,2,0,3,0,3,0,6,7
55,60,0,24900,14700,4,2,354,112,2,0,4,2,1,3,1,0,0,1,0,2,1,9,11
40,75,0,27100,8150,5,3,444,206,5,0,5,2,2,2,2,2,0,1,0,3,1,5,0
29,86,0,28050,23100,4,5,353,475,4,5,4,5,3,3,3,3,2,2,1,4,3,10,11
59,56,0,27000,24500,5,1,441,16,2,1,5,1,1,3,0,1,0,1,0,1,1,14,8
63,40,1,27450,11650,3,5,300,405,2,2,3,3,2,1,0,1,0,0,0,1,1,3,3
17,98,0,25200,26600,4,5,400,406,0,5,4,5,0,3,3,2,5,1,3,2,5,4,7
0,115,0,26100,23000,5,5,500,500,5,5,5,5,2,4,4,4,3,2,1,4,3,11,7
21,94,0,32050,27450,5,5,456,401,5,5,5,5,4,4,3,4,4,3,1,3,5,8,2
57,58,0,24050,17850,3,3,300,300,2,1,3,3,2,1,0,2,0,0,0,0,1,4,5
48,67,0,30300,23650,3,4,259,346,3,4,3,4,2,1,2,2,0,2,0,2,1,7,5
120,8,1,26500,25750,3,5,289,483,0,5,3,5,1,0,0,1,0,0,2,0,2,15,14
19,96,0,23850,20500,5,5,500,422,2,5,5,5,1,4,2,1,3,3,2,3,3,11,9
0,115,0,27400,12800,5,5,500,500,5,3,5,4,2,5,5,4,4,4,1,5,4,3,1
103,12,0,9350,27350,3,2,163,99,0,2,2,2,0,0,2,0,0,0,0,0,0,4,9
82,33,0,10500,21200,3,5,156,351,2,5,3,5,0,0,0,0,0,0,0,0,1,7,16
91,24,0,5550,22050,3,4,294,309,0,4,0,4,0,0,2,0,1,0,0,0,0,9,4
