RoundTime,RoundTimeLeft,IsBombPlanted,CTEquipmentValue,TEquipmentValue,CTPlayersAlive,TPlayersAlive,CTPlayersTotHealth,TPlayersTotHealth,CTNumHelmets,TNumHelmets,CTNumArmors,TNumArmors,CTNumDefuseKits,CTNumSmokes,TNumSmokes,CTNumMollies,TNumMollies,CTNumHEGrenades,TNumHEGrenades,CTNumFlashes,TNumFlashes,CTScore,TScore
0,115,0,30550,7700,5,5,500,500,5,1,5,1,3,5,1,5,0,5,1,5,1,11,10
13,102,0,31750,26550,4,5,400,412,4,5,4,5,4,3,3,2,3,3,1,2,4,9,5
0,115,0,29500,22800,5,5,500,500,5,5,5,5,4,5,5,5,4,5,2,5,4,7,1
103,12,0,27900,25800,2,4,146,270,1,3,2,4,1,1,1,0,0,0,0,0,0,5,8
57,58,0,11150,18850,4,5,293,458,4,5,4,5,0,3,2,0,0,2,1,0,1,0,2
99,16,0,23100,18700,5,5,378,396,5,4,5,4,2,0,1,0,0,0,0,1,2,2,1
83,32,0,15650,23000,1,2,36,101,0,2,0,2,0,0,0,0,0,0,1,0,0,4,3
99,16,0,29350,23400,4,4,400,400,3,3,4,4,4,0,1,0,0,1,0,1,1,4,2
22,93,0,30550,8550,4,1,322,16,4,0,4,1,4,3,0,0,1,0,0,2,0,12,13
21,94,0,30000,21200,5,4,415,360,4,4,5,4,3,3,1,3,1,4,0,4,0,10,11
52,63,0,4300,4300,4,4,389,381,0,0,3,3,0,1,0,0,0,0,0,1,0,1,0
38,77,0,31350,24150,3,5,273,469,3,4,3,5,3,0,3,1,4,0,0,2,3,5,4
0,115,0,3000,23700,5,5,500,500,1,5,1,5,0,0,5,0,5,0,3,0,5,8,10
66,40,1,32200,21800,1,3,100,241,1,3,1,3,1,1,0,0,0,0,0,0,0,15,12
17,98,0,25400,22300,4,4,378,246,3,4,4,4,2,2,2,2,2,2,1,4,2,12,2
35,80,0,15300,26850,5,3,415,226,0,3,4,3,0,3,2,0,0,0,1,0,1,3,7
35,80,0,31050,18700,5,4,408,248,5,3,5,4,5,3,2,4,1,3,0,3,3,15,6
49,66,0,7950,24700,1,2,9,172,0,2,1,2,0,0,0,0,0,0,0,0,2,2,5
120,23,1,32100,28400,3,2,244,115,3,2,3,2,3,1,0,0,0,0,0,0,1,1,10
0,115,0,30750,27550,5,5,500,500,4,5,4,5,5,5,5,5,5,4,5,5,4,10,15
93,22,0,25650,28950,5,3,441,300,3,3,5,3,1,1,0,1,0,0,0,2,0,4,2
0,115,0,31650,26350,5,5,500,500,5,4,5,4,5,5,5,5,4,4,2,4,5,16,13
26,89,0,31450,25400,3,3,300,190,3,3,3,3,2,3,2,0,3,2,2,1,3,8,3
40,75,0,10600,27650,5,5,313,450,2,5,4,5,0,0,1,0,1,0,1,0,3,2,11
47,68,0,3800,25750,2,5,130,352,0,5,0,5,0,0,5,0,3,0,3,0,4,6,15
0,115,0,28300,20200,5,5,500,500,5,5,5,5,4,5,5,5,3,5,1,5,3,16,12
108,13,1,27700,26050,1,1,72,12,0,1,1,1,1,0,0,0,0,0,0,0,0,15,11
68,40,1,14750,27100,2,3,174,300,2,3,2,3,0,0,2,0,1,0,2,1,2,4,4
80,35,0,32250,9850,4,2,320,184,4,1,4,2,3,0,0,1,0,0,0,0,0,7,4
72,9,1,4200,4050,1,1,70,100,0,0,1,0,0,0,0,0,0,0,0,0,0,7,9
66,49,0,15400,26450,5,4,472,253,1,4,5,4,0,2,2,1,2,0,2,1,2,15,15
0,115,0,6850,24750,5,5,500,500,0,5,3,5,0,1,5,0,4,1,3,1,5,1,2
0,115,0,11750,26250,5,5,500,500,2,5,3,5,2,0,4,0,4,1,3,2,4,3,6
36,79,0,30000,19250,5,5,467,430,4,4,5,5,4,4,4,1,2,0,0,2,3,11,10
0,115,0,25000,1500,5,5,500,500,4,0,5,0,3,4,0,4,0,4,0,5,0,9,10
90,23,1,29750,24450,1,1,100,24,0,1,1,1,1,0,0,0,0,0,0,0,1,3,6
79,36,0,31150,8800,4,1,291,12,4,1,4,1,3,3,1,1,0,2,0,2,0,8,15
110,40,1,29300,25650,1,2,22,120,1,2,1,2,1,0,0,0,0,0,0,0,0,9,14
114,1,0,27200,26100,3,1,286,2,0,1,3,1,1,0,1,0,0,0,0,0,0,6,4
47,68,0,30850,28450,3,4,298,349,3,4,3,4,3,3,0,1,2,0,2,1,3,6,6
56,40,1,27700,22600,3,3,158,262,3,2,3,3,3,2,0,1,0,1,1,2,2,10,10
0,115,0,4100,3550,5,5,500,500,0,0,4,3,0,0,1,0,0,0,0,1,1,1,0
30,85,0,27800,10050,5,5,454,437,4,4,5,5,3,4,1,1,0,1,0,3,2,7,5
79,36,0,19950,6900,3,2,99,200,3,0,3,0,0,2,0,0,0,0,0,2,1,1,1
20,95,0,21100,1300,5,5,500,437,5,0,5,0,1,1,0,0,0,1,0,2,0,11,6
28,40,1,11100,27750,2,3,173,279,0,3,2,3,1,0,1,0,2,0,1,1,2,5,9
16,99,0,28900,24900,5,4,405,400,2,4,5,4,4,4,3,2,4,1,1,4,4,10,14
61,54,0,32700,1500,4,4,400,400,4,0,4,0,2,2,0,2,0,0,0,3,0,14,11
86,34,1,23200,26350,2,3,120,91,0,3,2,3,0,1,0,0,0,1,0,0,1,8,13
56,59,0,29150,11900,4,3,215,236,4,2,4,3,3,4,0,1,0,0,0,3,1,10,14
0,115,0,21100,1300,5,5,500,500,5,0,5,0,1,3,0,3,0,1,0,4,1,11,6
